G1,G2,G3,G4,G5,G6
Daniel Berger,Denny McCarthy,Hideki Matsuyama,Justin Thomas,Min Woo Lee,Russell Henley
Daniel Berger,Denny McCarthy,Harris English,Jordan Spieth,Sam Stevens,Scottie Scheffler
Denny McCarthy,Harris English,Justin Thomas,Patrick Cantlay,Sam Stevens,Viktor Hovland
Daniel Berger,Denny McCarthy,Kevin Yu,Patrick Cantlay,Rasmus Hojgaard,Scottie Scheffler
Denny McCarthy,Harris English,Jordan Spieth,Rory McIlroy,Russell Henley,Si Woo Kim
Denny McCarthy,Harris English,Hideki Matsuyama,Max Greyserman,Patrick Cantlay,Shane Lowry
Billy Horschel,Harris English,Max Greyserman,Patrick Cantlay,Patrick Rodgers,Scottie Scheffler
Davis Thompson,Harris English,Kevin Yu,Rasmus Hojgaard,Russell Henley,Scottie Scheffler
Cameron Davis,Michael Kim,Patrick Cantlay,Rory McIlroy,Russell Henley,Sam Stevens
Harris English,Maverick McNealy,Min Woo Lee,Rory McIlroy,Russell Henley,Si Woo Kim
Daniel Berger,Justin Thomas,Min Woo Lee,Russell Henley,Sam Burns,Sepp Straka
Aaron Rai,Collin Morikawa,Daniel Berger,Harris English,Kevin Yu,Scottie Scheffler
Adam Hadwin,Patrick Cantlay,Rory McIlroy,Russell Henley,Sam Stevens,Wyndham Clark
Harris English,Jordan Spieth,Robert Macintyre,Rory McIlroy,Russell Henley,Seamus Power
Christiaan Bezuidenhout,Patrick Cantlay,Robert Macintyre,Rory McIlroy,Russell Henley,Seamus Power
Byeong Hun An,Collin Morikawa,Daniel Berger,Harris English,Justin Thomas,Wyndham Clark
Cameron Davis,Keegan Bradley,Patrick Cantlay,Russell Henley,Sam Burns,Tom Kim
Harris English,Jake Knapp,Jordan Spieth,Justin Thomas,Russell Henley,Tom Kim
Davis Thompson,Patrick Cantlay,Rasmus Hojgaard,Robert Macintyre,Russell Henley,Sam Burns
Andrew Novak,Corey Conners,Harris English,Patrick Cantlay,Sungjae Im,Taylor Pendrith
Cameron Davis,Collin Morikawa,Daniel Berger,Min Woo Lee,Patrick Cantlay,Tom Kim
