G1,G2,G3,G4,G5,G6
Patrick Rodgers,Sahith Theegala,Scottie Scheffler,Shane Lowry,Viktor Hovland,Wyndham Clark
Byeong Hun An,Min Woo Lee,Sam Stevens,Scottie Scheffler,Seamus Power,Viktor Hovland
Andrew Novak,Collin Morikawa,Jake Knapp,Sahith Theegala,Scottie Scheffler,Wyndham Clark
Akshay Bhatia,Andrew Novak,Sam Burns,Scottie Scheffler,Viktor Hovland,Wyndham Clark
Andrew Novak,Cameron Young,Collin Morikawa,Nick Dunlap,Scottie Scheffler,Wyndham Clark
Andrew Novak,Sahith Theegala,Sam Stevens,Scottie Scheffler,Tony Finau,Wyndham Clark
Aaron Rai,Min Woo Lee,Scottie Scheffler,Sepp Straka,Viktor Hovland,Wyndham Clark
Adam Scott,Andrew Novak,Sahith Theegala,Scottie Scheffler,Tony Finau,Wyndham Clark
Kevin Yu,Russell Henley,Sahith Theegala,Scottie Scheffler,Viktor Hovland,Wyndham Clark
Maverick McNealy,Nick Dunlap,Sam Burns,Scottie Scheffler,Sepp Straka,Wyndham Clark
Jake Knapp,Justin Thomas,Nicolas Echavarria,Scottie Scheffler,Si Woo Kim,Viktor Hovland
Aaron Rai,Keegan Bradley,Scottie Scheffler,Viktor Hovland,Will Zalatoris,Wyndham Clark
Corey Conners,J.J. Spaun,Jason Day,Sam Burns,Scottie Scheffler,Seamus Power
Byeong Hun An,Harris English,Sahith Theegala,Sam Stevens,Scottie Scheffler,Wyndham Clark
Andrew Novak,Gary Woodland,Hideki Matsuyama,Scottie Scheffler,Si Woo Kim,Wyndham Clark
Andrew Novak,Min Woo Lee,Scottie Scheffler,Sepp Straka,Si Woo Kim,Viktor Hovland
Andrew Novak,Hideki Matsuyama,Ludvig Aberg,Nick Taylor,Patrick Rodgers,Rory McIlroy
Andrew Novak,Byeong Hun An,Harris English,Sam Burns,Scottie Scheffler,Si Woo Kim
Matthieu Pavon,Max Greyserman,Min Woo Lee,Scottie Scheffler,Sungjae Im,Wyndham Clark
