G1,G2,G3,G4,G5,G6
Ben Griffin,Jesper Svensson,Kevin Roy,Kris Ventura,Michael Kim,Stephan Jaeger
Jesper Svensson,Michael Kim,Ryan Gerard,Stephan Jaeger,Taylor Moore,Vincent Norrman
Kevin Yu,Kris Ventura,Michael Kim,Nicolai Hojgaard,Stephan Jaeger,Vincent Norrman
Jesper Svensson,Kevin Roy,Michael Kim,Stephan Jaeger,Taylor Moore,Vincent Norrman
Kevin Roy,Kevin Yu,Kris Ventura,Michael Kim,Ryan Gerard,Stephan Jaeger
Jesper Svensson,Kevin Roy,Kevin Yu,Kris Ventura,Michael Kim,Stephan Jaeger
Akshay Bhatia,Kevin Roy,Kevin Yu,Kris Ventura,Nicolai Hojgaard,Ryan Gerard
Jesper Svensson,Kevin Roy,Kevin Yu,Ryan Gerard,Stephan Jaeger,Taylor Moore
Akshay Bhatia,Kevin Roy,Kris Ventura,Ryan Gerard,Sam Stevens,Vincent Norrman
Ben Griffin,Jesper Svensson,Joel Dahmen,Kris Ventura,Michael Kim,Rasmus Hojgaard
Ben Griffin,Jesper Svensson,Kevin Roy,Rasmus Hojgaard,Taylor Moore,Vincent Norrman
Joel Dahmen,Kevin Roy,Kevin Yu,Michael Kim,Nicolai Hojgaard,Stephan Jaeger
C.T. Pan,Kevin Roy,Kris Ventura,Ryan Gerard,Sam Stevens,Stephan Jaeger
Ben Griffin,Jesper Svensson,Kevin Roy,Kevin Yu,Michael Kim,Nicolai Hojgaard
Alex Smalley,Ben Griffin,Jake Knapp,Jesper Svensson,Michael Kim,Vincent Norrman
Akshay Bhatia,C.T. Pan,Kris Ventura,Nicolai Hojgaard,Niklas Norgaard Moller,Vincent Norrman
Alex Smalley,Jesper Svensson,Kris Ventura,Michael Kim,Rasmus Hojgaard,Vincent Norrman
Akshay Bhatia,Kevin Roy,Kevin Yu,Niklas Norgaard Moller,Ryan Gerard,Vincent Norrman
Akshay Bhatia,C.T. Pan,Kevin Roy,Kris Ventura,Niklas Norgaard Moller,Ryan Gerard
Akshay Bhatia,Joel Dahmen,Kevin Roy,Kevin Yu,Michael Kim,Vincent Norrman
Ben Griffin,Jackson Suber,Jesper Svensson,Kris Ventura,Michael Kim,Rasmus Hojgaard
Akshay Bhatia,C.T. Pan,Kevin Roy,Nicolai Hojgaard,Niklas Norgaard Moller,Vincent Norrman
Kevin Roy,Kevin Yu,Kris Ventura,Sam Stevens,Stephan Jaeger,Vincent Norrman
Alex Smalley,Jesper Svensson,Kevin Roy,Michael Kim,Rasmus Hojgaard,Vincent Norrman
Ben Griffin,C.T. Pan,Jesper Svensson,Michael Kim,Taylor Moore,Vincent Norrman
Akshay Bhatia,Joel Dahmen,Kris Ventura,Nicolai Hojgaard,Sam Stevens,Vincent Norrman
C.T. Pan,Kevin Yu,Kris Ventura,Niklas Norgaard Moller,Ryan Gerard,Stephan Jaeger
Akshay Bhatia,Joel Dahmen,Kevin Roy,Kris Ventura,Ryan Gerard,Sam Stevens
Jackson Suber,Kevin Roy,Kevin Yu,Michael Kim,Nicolai Hojgaard,Stephan Jaeger
Alex Smalley,Jesper Svensson,Rasmus Hojgaard,Ryan Gerard,Taylor Moore,Vincent Norrman
Akshay Bhatia,Joel Dahmen,Kevin Roy,Nicolai Hojgaard,Sam Stevens,Vincent Norrman
Jesper Svensson,Kevin Roy,Michael Kim,Stephan Jaeger,Taylor Moore,Trey Mullinax
Jesper Svensson,Kevin Yu,Kris Ventura,Michael Kim,Rasmus Hojgaard,Vincent Norrman
Akshay Bhatia,C.T. Pan,Joel Dahmen,Nicolai Hojgaard,Niklas Norgaard Moller,Ryan Gerard
C.T. Pan,Jake Knapp,Kevin Roy,Kevin Yu,Kris Ventura,Stephan Jaeger
Joel Dahmen,Kevin Yu,Kris Ventura,Ryan Gerard,Sam Stevens,Stephan Jaeger
Akshay Bhatia,Kevin Roy,Kurt Kitayama,Ryan Gerard,Trey Mullinax,Vincent Norrman
C.T. Pan,Jesper Svensson,Kevin Roy,Kris Ventura,Michael Kim,Rasmus Hojgaard
