G1,G2,G3,G4,G5,G6
Aaron Rai,Ben Griffin,Joe Highsmith,Kevin Roy,Stephan Jaeger,Victor Perez
Akshay Bhatia,Aldrich Potgieter,Greyson Sigg,Kris Ventura,Taylor Moore,Victor Perez
Aaron Rai,Aldrich Potgieter,Ben Griffin,Michael Thorbjornsen,Patrick Rodgers,Trey Mullinax
Aaron Rai,Adam Svensson,Akshay Bhatia,Aldrich Potgieter,Carson Young,Jacob Bridgeman
Aaron Rai,Aldrich Potgieter,Jacob Bridgeman,Michael Thorbjornsen,Nicolai Hojgaard,Rasmus Hojgaard
Aaron Rai,Andrew Putnam,Ben Griffin,Frankie Capan,Joe Highsmith,Stephan Jaeger
Ben Griffin,Erik Van Rooyen,Harry Hall,Nick Hardy,Nicolai Hojgaard,Stephan Jaeger
Aaron Rai,Ben Griffin,Carson Young,Jacob Bridgeman,Stephan Jaeger,Vincent Norrman
Ben Griffin,Charley Hoffman,Kevin Yu,Matthew McCarty,Nicolai Hojgaard,Stephan Jaeger
Aaron Rai,Ben Griffin,Charley Hoffman,Joe Highsmith,Stephan Jaeger,Vince Whaley
Aaron Rai,Ben Griffin,Henrik Norlander,Nicolai Hojgaard,Patrick Rodgers,Victor Perez
Ben Griffin,Jesper Svensson,Kevin Yu,Patrick Fishburn,Stephan Jaeger,Victor Perez
Aaron Rai,Adam Svensson,Joe Highsmith,Kevin Yu,Stephan Jaeger,Victor Perez
Aaron Rai,Ben Griffin,Joe Highsmith,Kris Ventura,Michael Kim,Ryan Fox
Aaron Rai,Ben Griffin,Kevin Yu,Michael Kim,Patton Kizzire,Vincent Norrman
Aaron Rai,Ben Griffin,Carson Young,Patrick Rodgers,Victor Perez,Vincent Norrman
Ben Griffin,Henrik Norlander,Joe Highsmith,Patrick Fishburn,Patrick Rodgers,Stephan Jaeger
Adam Svensson,Alex Smalley,Ben Griffin,Patrick Fishburn,Stephan Jaeger,Victor Perez
Akshay Bhatia,Erik Van Rooyen,Harry Hall,Lanto Griffin,Luke List,Nicolai Hojgaard
Aaron Rai,Andrew Putnam,Ben Griffin,Erik Van Rooyen,Kevin Yu,Victor Perez
Aaron Rai,Ben Griffin,Joe Highsmith,Michael Kim,Nicolai Hojgaard,Vince Whaley
Adam Svensson,Andrew Putnam,Ben Griffin,Joe Highsmith,Kevin Yu,Stephan Jaeger
Aaron Rai,Adam Svensson,Kevin Yu,Rico Hoey,Stephan Jaeger,Victor Perez
Adam Svensson,Erik Van Rooyen,Harry Hall,Nick Hardy,Patrick Rodgers,Stephan Jaeger
Aaron Rai,Ben Griffin,Carson Young,Ryan Gerard,Taylor Moore,Victor Perez
Aaron Rai,Akshay Bhatia,Andrew Putnam,C.T. Pan,Joe Highsmith,Nick Hardy
Aaron Rai,Alex Smalley,C.T. Pan,Michael Kim,Sam Ryder,Vincent Norrman
Akshay Bhatia,Harry Hall,Lanto Griffin,Niklas Norgaard Moller,Takumi Kanaya,Vincent Norrman
Aaron Rai,Hayden Springer,Kevin Yu,Mac Meissner,Rico Hoey,Stephan Jaeger
Aaron Rai,Ben Griffin,Carson Young,Jesper Svensson,Taylor Moore,Victor Perez
