G1,G2,G3,G4,G5,G6
Aldrich Potgieter,Ben Griffin,Kevin Roy,Rasmus Hojgaard,Sami Valimaki,Stephan Jaeger
Akshay Bhatia,Aldrich Potgieter,Erik Van Rooyen,Hayden Springer,Jesper Svensson,Rasmus Hojgaard
Akshay Bhatia,Aldrich Potgieter,Alex Smalley,Hayden Springer,Kris Ventura,Michael Kim
Aldrich Potgieter,Hayden Springer,Rasmus Hojgaard,Ryan Fox,Stephan Jaeger,Thorbjorn Olesen
Aldrich Potgieter,Alex Smalley,Erik Van Rooyen,Kevin Yu,Nicolai Hojgaard,Stephan Jaeger
Aldrich Potgieter,Davis Riley,Joe Highsmith,Patrick Rodgers,Rasmus Hojgaard,Stephan Jaeger
Aldrich Potgieter,Alex Smalley,Harry Hall,Matti Schmid,Nicolai Hojgaard,Stephan Jaeger
Aldrich Potgieter,Alex Smalley,Andrew Putnam,Ben Griffin,Carson Young,Stephan Jaeger
Akshay Bhatia,Aldrich Potgieter,Greyson Sigg,Jackson Suber,Patrick Rodgers,Ryan Gerard
Akshay Bhatia,Aldrich Potgieter,Alvaro Ortiz,Antoine Rozner,Kevin Yu,Stephan Jaeger
Akshay Bhatia,Aldrich Potgieter,Harry Hall,Karl Vilips,Kyoung-Hoon Lee,Michael Kim
Akshay Bhatia,Aldrich Potgieter,Carson Young,Joe Highsmith,Patrick Rodgers,Ryan Gerard
Aaron Rai,Aldrich Potgieter,Antoine Rozner,Ben Griffin,Greyson Sigg,Kevin Yu
Akshay Bhatia,Aldrich Potgieter,Andrew Putnam,Beau Hossler,Niklas Norgaard Moller,Sami Valimaki
Aldrich Potgieter,Antoine Rozner,Erik Van Rooyen,Kevin Yu,Patrick Rodgers,Stephan Jaeger
Akshay Bhatia,Aldrich Potgieter,Isaiah Salinda,Sam Stevens,Thorbjorn Olesen,Victor Perez
Aaron Rai,Akshay Bhatia,Henrik Norlander,Jackson Suber,Stephan Jaeger,Steven Fisk
Akshay Bhatia,Jesper Svensson,Justin Lower,Kyoung-Hoon Lee,Sami Valimaki,Stephan Jaeger
Akshay Bhatia,Ben Griffin,Hayden Springer,Henrik Norlander,Kris Ventura,Patrick Rodgers
Hayden Springer,Jesper Svensson,Nicolai Hojgaard,Patrick Fishburn,Rasmus Hojgaard,Stephan Jaeger
Akshay Bhatia,Carson Young,Erik Van Rooyen,Hayden Springer,Kevin Roy,Stephan Jaeger
Aldrich Potgieter,Ben Griffin,Harry Hall,Joe Highsmith,Justin Lower,Kevin Yu
Aldrich Potgieter,Ben Griffin,Justin Lower,Kevin Yu,Michael Kim,Victor Perez
Akshay Bhatia,Aldrich Potgieter,Antoine Rozner,C.T. Pan,Joe Highsmith,Michael Kim
Aldrich Potgieter,Alex Smalley,Andrew Putnam,Harry Hall,Henrik Norlander,Rasmus Hojgaard
Aldrich Potgieter,Harry Hall,Hayden Springer,Matt Wallace,Michael Kim,Patrick Rodgers
Akshay Bhatia,Aldrich Potgieter,Antoine Rozner,Joe Highsmith,Patrick Rodgers,Ryan Fox
Aaron Rai,Aldrich Potgieter,Antoine Rozner,Harry Hall,Justin Lower,Thorbjorn Olesen
