G1,G2,G3,G4,G5,G6
Aaron Rai,Ben Griffin,Isaiah Salinda,Joe Highsmith,Stephan Jaeger,Thorbjorn Olesen
Ben Griffin,C.T. Pan,Hayden Springer,Michael Kim,Stephan Jaeger,Vincent Norrman
Aaron Rai,Aldrich Potgieter,Joe Highsmith,Michael Kim,Sam Stevens,Vincent Norrman
Aaron Rai,Aldrich Potgieter,Hayden Springer,Kevin Yu,Michael Kim,Niklas Norgaard Moller
Aaron Rai,Akshay Bhatia,Ben Griffin,Frankie Capan,Joel Dahmen,Vincent Norrman
Aaron Rai,Carson Young,Hayden Springer,Patrick Rodgers,Stephan Jaeger,Vincent Norrman
Aaron Rai,Carson Young,Hayden Springer,Kris Ventura,Michael Kim,Stephan Jaeger
Aaron Rai,Hayden Springer,Matt Wallace,Michael Kim,Stephan Jaeger,Vincent Norrman
Ben Griffin,Hayden Springer,Matteo Manassero,Michael Kim,Niklas Norgaard Moller,Stephan Jaeger
Ben Griffin,Frankie Capan,Michael Kim,Stephan Jaeger,Thorbjorn Olesen,Vincent Norrman
Aaron Rai,Erik Van Rooyen,Isaiah Salinda,Michael Kim,Michael Thorbjornsen,Stephan Jaeger
Ben Griffin,Hayden Springer,Joe Highsmith,Michael Kim,Ryan Fox,Stephan Jaeger
Andrew Putnam,Ben Griffin,Erik Van Rooyen,Niklas Norgaard Moller,Ryan Gerard,Stephan Jaeger
Akshay Bhatia,Andrew Putnam,Erik Van Rooyen,Hayden Springer,Patrick Rodgers,Ryan Gerard
Aaron Rai,Joe Highsmith,Kevin Yu,Ryan Fox,Stephan Jaeger,Vincent Norrman
Aaron Rai,Ben Griffin,Carson Young,Kris Ventura,Patrick Rodgers,Vincent Norrman
Erik Van Rooyen,Hayden Springer,Michael Kim,Sam Stevens,Stephan Jaeger,Vincent Norrman
Aaron Rai,Andrew Putnam,Michael Kim,Ricky Castillo,Stephan Jaeger,Will Gordon
Aaron Rai,Ben Kohles,Ben Silverman,Erik Van Rooyen,Michael Kim,Stephan Jaeger
Ben Griffin,Erik Van Rooyen,Kevin Yu,Kris Ventura,Michael Thorbjornsen,Stephan Jaeger
C.T. Pan,Erik Van Rooyen,Harry Hall,Hayden Springer,Niklas Norgaard Moller,Stephan Jaeger
Aaron Rai,Ben Kohles,Joe Highsmith,Michael Kim,Michael Thorbjornsen,Stephan Jaeger
Aaron Rai,Aldrich Potgieter,Frankie Capan,Kevin Yu,Matt Wallace,Patrick Rodgers
Aaron Rai,Joe Highsmith,Joel Dahmen,Kevin Yu,Ryan Fox,Stephan Jaeger
Ben Griffin,Hayden Springer,Matt Wallace,Patrick Rodgers,Ricky Castillo,Stephan Jaeger
Aaron Rai,Kyoung-Hoon Lee,Matt Wallace,Michael Kim,Stephan Jaeger,Vincent Norrman
Antoine Rozner,Ben Griffin,Ben Silverman,Michael Kim,Ryan Gerard,Stephan Jaeger
Ben Griffin,Ben Kohles,Erik Van Rooyen,Joe Highsmith,Sam Stevens,Stephan Jaeger
Aaron Rai,Carson Young,Joe Highsmith,Michael Kim,Stephan Jaeger,Will Gordon
Andrew Putnam,Ben Griffin,Harry Hall,Joe Highsmith,Kris Ventura,Patrick Rodgers
Antoine Rozner,Beau Hossler,Ben Griffin,C.T. Pan,Hayden Springer,Stephan Jaeger
Ben Griffin,Carson Young,Kris Ventura,Matti Schmid,Patrick Rodgers,Stephan Jaeger
Ben Griffin,Erik Van Rooyen,Joe Highsmith,Kyoung-Hoon Lee,Sam Stevens,Stephan Jaeger
Beau Hossler,Ben Griffin,Joe Highsmith,Kyoung-Hoon Lee,Stephan Jaeger,Thorbjorn Olesen
Aaron Rai,Beau Hossler,Carson Young,Hayden Springer,Rico Hoey,Stephan Jaeger
Ben Kohles,Harry Hall,Joe Highsmith,Sam Stevens,Stephan Jaeger,Vincent Norrman
Ben Griffin,Emiliano Grillo,Erik Van Rooyen,Joe Highsmith,Sam Stevens,Stephan Jaeger
Ben Griffin,Joe Highsmith,Kevin Yu,Kris Ventura,Matt Wallace,Stephan Jaeger
Ben Griffin,Joel Dahmen,Matt Wallace,Patrick Rodgers,Ricky Castillo,Stephan Jaeger
Ben Griffin,C.T. Pan,Joe Highsmith,Kevin Yu,Matti Schmid,Stephan Jaeger
Adam Svensson,Beau Hossler,Ben Griffin,Matt Wallace,Stephan Jaeger,Vincent Norrman
Ben Griffin,Kyoung-Hoon Lee,Michael Kim,Niklas Norgaard Moller,Stephan Jaeger,Will Gordon
Ben Kohles,Joe Highsmith,Patrick Rodgers,Sam Stevens,Stephan Jaeger,Vincent Norrman
Akshay Bhatia,C.T. Pan,Joe Highsmith,Ryan Fox,Ryan Gerard,Thorbjorn Olesen
Akshay Bhatia,Andrew Putnam,Emiliano Grillo,Erik Van Rooyen,Kris Ventura,Patrick Rodgers
Aaron Rai,Kevin Yu,Matt Wallace,Matti Schmid,Stephan Jaeger,Vincent Norrman
Hayden Springer,Matti Schmid,Michael Kim,Michael Thorbjornsen,Patrick Rodgers,Stephan Jaeger
Aaron Rai,Frankie Capan,Kevin Yu,Patrick Rodgers,Thorbjorn Olesen,Vincent Norrman
Akshay Bhatia,Antoine Rozner,Ben Griffin,Jeremy Paul,Matti Schmid,Patrick Rodgers
Aaron Rai,Frankie Capan,Michael Kim,Michael Thorbjornsen,Patrick Rodgers,Vincent Norrman
Beau Hossler,Erik Van Rooyen,Hayden Springer,Joe Highsmith,Sam Stevens,Stephan Jaeger
