G1,G2,G3,G4,G5,G6
Aaron Rai,Alejandro Tosti,Ben Griffin,Jesper Svensson,Kevin Roy,Stephan Jaeger
Akshay Bhatia,Aldrich Potgieter,Joe Highsmith,Patrick Fishburn,Quade Cummins,Rasmus Hojgaard
Alejandro Tosti,Ben Griffin,Erik Van Rooyen,Harry Hall,Jesper Svensson,Stephan Jaeger
Ben Griffin,Harry Hall,Jesper Svensson,Rico Hoey,Stephan Jaeger,Vincent Norrman
Akshay Bhatia,Aldrich Potgieter,Greyson Sigg,Patrick Rodgers,Victor Perez,Vince Whaley
Akshay Bhatia,Ben Griffin,Greyson Sigg,Nicolai Hojgaard,Victor Perez,Vincent Norrman
C.T. Pan,Jesper Svensson,Michael Kim,Nicolai Hojgaard,Stephan Jaeger,Vincent Norrman
Aaron Rai,Hayden Springer,Jacob Bridgeman,Patrick Rodgers,Stephan Jaeger,Victor Perez
Akshay Bhatia,Aldrich Potgieter,Alex Smalley,Chris Gotterup,Kevin Yu,Kris Ventura
Akshay Bhatia,Ben Griffin,Jesper Svensson,Joe Highsmith,Lanto Griffin,Thorbjorn Olesen
Erik Van Rooyen,Kevin Roy,Michael Kim,Nicolai Hojgaard,Stephan Jaeger,Thorbjorn Olesen
Aldrich Potgieter,Kevin Roy,Nicolai Hojgaard,Patrick Fishburn,Patrick Rodgers,Sam Stevens
Aaron Rai,Alex Smalley,Hayden Springer,Lanto Griffin,Patrick Rodgers,Thorbjorn Olesen
Akshay Bhatia,Ben Griffin,Erik Van Rooyen,Karl Vilips,Michael Kim,Trey Mullinax
Akshay Bhatia,Ben Griffin,Erik Van Rooyen,Karl Vilips,Michael Kim,Vince Whaley
Ben Griffin,Jacob Bridgeman,Max McGreevy,Michael Kim,Ryan Fox,Stephan Jaeger
Ben Griffin,Harry Hall,Henrik Norlander,Jesper Svensson,Joe Highsmith,Rasmus Hojgaard
Akshay Bhatia,Erik Van Rooyen,Kevin Yu,Kris Ventura,Lanto Griffin,Thorbjorn Olesen
Aaron Rai,Michael Kim,Nick Hardy,Patrick Rodgers,Thorbjorn Olesen,Vincent Norrman
Aldrich Potgieter,Ben Griffin,Matt Wallace,Patrick Rodgers,Taylor Moore,Trey Mullinax
Akshay Bhatia,Antoine Rozner,Chan Kim,Kevin Roy,Sam Ryder,Stephan Jaeger
Harry Hall,Jacob Bridgeman,Kevin Roy,Michael Kim,Stephan Jaeger,Trey Mullinax
Ben Griffin,C.T. Pan,Greyson Sigg,Joe Highsmith,Kevin Roy,Rasmus Hojgaard
Akshay Bhatia,Jackson Suber,Kris Ventura,Michael Kim,Nicolai Hojgaard,Patrick Fishburn
Ben Griffin,Kris Ventura,Michael Kim,Rasmus Hojgaard,Rico Hoey,Victor Perez
Alex Smalley,Chris Gotterup,Matteo Manassero,Rasmus Hojgaard,Stephan Jaeger,Victor Perez
Aldrich Potgieter,Alex Smalley,Chan Kim,Erik Van Rooyen,Sam Stevens,Taylor Moore
Hayden Springer,Rico Hoey,Ryan Gerard,Sam Stevens,Stephan Jaeger,Taylor Moore
Aaron Rai,Antoine Rozner,Carson Young,Nicolai Hojgaard,Patrick Fishburn,Stephan Jaeger
Beau Hossler,Ben Griffin,Karl Vilips,Michael Kim,Taylor Moore,Vincent Norrman
Akshay Bhatia,Erik Van Rooyen,Lanto Griffin,Michael Thorbjornsen,Nick Hardy,Rasmus Hojgaard
Aaron Rai,Jesper Svensson,Joe Highsmith,Justin Lower,Patrick Fishburn,Patrick Rodgers
Akshay Bhatia,Ben Griffin,Chris Gotterup,Jake Knapp,Kris Ventura,Trey Mullinax
Akshay Bhatia,Chris Gotterup,Jake Knapp,Nicolai Hojgaard,Patrick Fishburn,Ryan Gerard
Adam Svensson,Niklas Norgaard Moller,Rasmus Hojgaard,Stephan Jaeger,Victor Perez,Will Gordon
Beau Hossler,Harry Hall,Jesper Svensson,Joe Highsmith,Lanto Griffin,Patrick Rodgers
Aaron Rai,Jesper Svensson,Matt Wallace,Michael Kim,Nicolai Hojgaard,Patrick Fishburn
Akshay Bhatia,Alex Smalley,Antoine Rozner,Charley Hoffman,Kris Ventura,Nicolai Hojgaard
Carson Young,Joe Highsmith,Max McGreevy,Rasmus Hojgaard,Stephan Jaeger,Thorbjorn Olesen
Erik Van Rooyen,Kevin Roy,Matt Wallace,Patrick Fishburn,Patrick Rodgers,Stephan Jaeger
Erik Van Rooyen,Jesper Svensson,Joe Highsmith,Patrick Fishburn,Patrick Rodgers,Rasmus Hojgaard
Aaron Rai,Joe Highsmith,Luke List,Matt Wallace,Niklas Norgaard Moller,Stephan Jaeger
Ben Griffin,Carson Young,Matt Wallace,Nicolai Hojgaard,Patrick Fishburn,Stephan Jaeger
Aaron Rai,Kyoung-Hoon Lee,Matt Wallace,Matti Schmid,Michael Kim,Stephan Jaeger
Aaron Rai,Erik Van Rooyen,Kevin Yu,Patrick Fishburn,Patrick Rodgers,Takumi Kanaya
Akshay Bhatia,Charley Hoffman,Kris Ventura,Matt Wallace,Nicolai Hojgaard,Thorbjorn Olesen
Harry Hall,Henrik Norlander,Jesper Svensson,Joe Highsmith,Kevin Yu,Rasmus Hojgaard
Ben Griffin,Jesper Svensson,Kurt Kitayama,Taylor Moore,Trey Mullinax,Vincent Norrman
Ben Griffin,Erik Van Rooyen,Kevin Roy,Kevin Yu,Sam Stevens,Victor Perez
Alex Smalley,Chan Kim,Joe Highsmith,Kevin Yu,Patrick Fishburn,Stephan Jaeger
Adam Svensson,Beau Hossler,Jesper Svensson,Michael Thorbjornsen,Niklas Norgaard Moller,Stephan Jaeger
