G1,G2,G3,G4,G5,G6
Aaron Rai,Hayden Springer,Jacob Bridgeman,Michael Kim,Stephan Jaeger,Victor Perez
Ben Griffin,Jesper Svensson,Niklas Norgaard Moller,Stephan Jaeger,Thorbjorn Olesen,Vincent Norrman
Aaron Rai,Beau Hossler,Erik Van Rooyen,Joe Highsmith,Stephan Jaeger,Vincent Norrman
Alex Smalley,Ben Griffin,Chandler Phillips,Jacob Bridgeman,Nicolai Hojgaard,Stephan Jaeger
Aaron Rai,Ben Griffin,Chan Kim,Erik Van Rooyen,Kevin Roy,Michael Kim
Aaron Rai,Ben Griffin,Chandler Phillips,Rasmus Hojgaard,Ricky Castillo,Thriston Lawrence
Akshay Bhatia,Beau Hossler,Jesper Svensson,Nicolai Hojgaard,Victor Perez,Vincent Norrman
Andrew Putnam,Erik Van Rooyen,Kris Ventura,Patrick Rodgers,Stephan Jaeger,Thorbjorn Olesen
Aaron Rai,Andrew Putnam,C.T. Pan,Kris Ventura,Rasmus Hojgaard,Vincent Norrman
Adam Svensson,Harry Hall,Joe Highsmith,Nicolai Hojgaard,Stephan Jaeger,Thorbjorn Olesen
Aaron Rai,Akshay Bhatia,Antoine Rozner,Chandler Phillips,Thorbjorn Olesen,Vincent Norrman
Akshay Bhatia,Ben Griffin,Charley Hoffman,Erik Van Rooyen,Luke List,Thorbjorn Olesen
Aaron Rai,Erik Van Rooyen,Jesper Svensson,Niklas Norgaard Moller,Patrick Rodgers,Victor Perez
Ben Griffin,Erik Van Rooyen,Justin Lower,Rasmus Hojgaard,Ryan Gerard,Victor Perez
Andrew Putnam,Ben Griffin,Jesper Svensson,Max McGreevy,Michael Kim,Patrick Rodgers
Erik Van Rooyen,Frankie Capan,Michael Kim,Nicolai Hojgaard,Niklas Norgaard Moller,Stephan Jaeger
Aaron Rai,Alex Smalley,Ben Griffin,Charley Hoffman,Joe Highsmith,Ryan Fox
Beau Hossler,Ben Griffin,Patrick Fishburn,Stephan Jaeger,Takumi Kanaya,Victor Perez
Ben Griffin,Erik Van Rooyen,Kevin Yu,Ryan Fox,Stephan Jaeger,Vince Whaley
Aaron Rai,Andrew Putnam,Joe Highsmith,Nicolai Hojgaard,Ryan Gerard,Sam Stevens
Aaron Rai,Antoine Rozner,C.T. Pan,Chris Gotterup,Nicolai Hojgaard,Stephan Jaeger
Aaron Rai,Luke List,Ryan Fox,Stephan Jaeger,Takumi Kanaya,Taylor Moore
Mac Meissner,Michael Thorbjornsen,Nicolai Hojgaard,Patrick Rodgers,Stephan Jaeger,Vincent Norrman
Aaron Rai,Ben Griffin,Kris Ventura,Sam Stevens,Trey Mullinax,Victor Perez
C.T. Pan,Jesper Svensson,Joe Highsmith,Sam Stevens,Stephan Jaeger,Victor Perez
Akshay Bhatia,Alex Smalley,C.T. Pan,Erik Van Rooyen,Michael Thorbjornsen,Vincent Norrman
Aaron Rai,Akshay Bhatia,Kevin Roy,Mac Meissner,Rico Hoey,Victor Perez
Aaron Rai,Ben Griffin,Patrick Rodgers,Thorbjorn Olesen,Vince Whaley,Will Gordon
Aaron Rai,Beau Hossler,Ben Griffin,Frankie Capan,Nicolai Hojgaard,Rico Hoey
Aaron Rai,Alex Smalley,Jacob Bridgeman,Jesper Svensson,Sam Stevens,Vincent Norrman
Antoine Rozner,Ben Griffin,Charley Hoffman,Michael Kim,Rico Hoey,Stephan Jaeger
Aaron Rai,Greyson Sigg,Kurt Kitayama,Nicolai Hojgaard,Trey Mullinax,Vincent Norrman
Aaron Rai,Carson Young,Patrick Fishburn,Rico Hoey,Stephan Jaeger,Thorbjorn Olesen
Chan Kim,Jacob Bridgeman,Jesper Svensson,Michael Thorbjornsen,Rasmus Hojgaard,Stephan Jaeger
Akshay Bhatia,Charley Hoffman,Jacob Bridgeman,Michael Kim,Ryan Fox,Vincent Norrman
Andrew Putnam,Nicolai Hojgaard,Rasmus Hojgaard,Rico Hoey,Stephan Jaeger,Vince Whaley
Aaron Rai,Akshay Bhatia,Frankie Capan,Jacob Bridgeman,Max McGreevy,Niklas Norgaard Moller
Aaron Rai,Chris Gotterup,Harry Hall,Patrick Rodgers,Rico Hoey,Vincent Norrman
Alex Smalley,Chris Gotterup,Erik Van Rooyen,Rasmus Hojgaard,Stephan Jaeger,Will Gordon
Alex Smalley,Greyson Sigg,Max McGreevy,Michael Kim,Rasmus Hojgaard,Vincent Norrman
Aaron Rai,Carson Young,Jesper Svensson,Michael Kim,Michael Thorbjornsen,Nicolai Hojgaard
Alex Smalley,Ben Griffin,Erik Van Rooyen,Harry Hall,Jesper Svensson,Matt Wallace
Aaron Rai,Kevin Yu,Michael Kim,Niklas Norgaard Moller,Takumi Kanaya,Vincent Norrman
Alex Smalley,Hayden Springer,Kris Ventura,Michael Kim,Nicolai Hojgaard,Sam Stevens
Aaron Rai,Charley Hoffman,Erik Van Rooyen,Frankie Capan,Harry Hall,Taylor Moore
Akshay Bhatia,Antoine Rozner,Erik Van Rooyen,Greyson Sigg,Jesper Svensson,Kevin Yu
Aaron Rai,Akshay Bhatia,Jesper Svensson,Matt Wallace,Takumi Kanaya,Vince Whaley
Ben Griffin,Mac Meissner,Michael Kim,Nicolai Hojgaard,Thorbjorn Olesen,Victor Perez
Alex Smalley,C.T. Pan,Matt Wallace,Patrick Fishburn,Ryan Gerard,Stephan Jaeger
Antoine Rozner,Chandler Phillips,Harry Hall,Jesper Svensson,Nicolai Hojgaard,Rasmus Hojgaard
Aaron Rai,Antoine Rozner,Frankie Capan,Lanto Griffin,Michael Kim,Patrick Rodgers
Aaron Rai,Justin Lower,Nicolai Hojgaard,Rasmus Hojgaard,Takumi Kanaya,Will Gordon
Aaron Rai,Chan Kim,Jacob Bridgeman,Nicolai Hojgaard,Patrick Rodgers,Ryan Fox
Aaron Rai,Frankie Capan,Jesper Svensson,Joe Highsmith,Kurt Kitayama,Thorbjorn Olesen
Adam Svensson,Beau Hossler,Ben Griffin,Rasmus Hojgaard,Vince Whaley,Vincent Norrman
Aaron Rai,Carson Young,Frankie Capan,Hayden Springer,Kevin Yu,Rasmus Hojgaard
C.T. Pan,Charley Hoffman,Jesper Svensson,Kevin Yu,Nicolai Hojgaard,Patrick Rodgers
Jacob Bridgeman,Kevin Roy,Kurt Kitayama,Michael Kim,Nicolai Hojgaard,Ryan Gerard
Erik Van Rooyen,Jesper Svensson,Michael Kim,Rasmus Hojgaard,Thorbjorn Olesen,Vince Whaley
Beau Hossler,Ben Griffin,Chandler Phillips,Kevin Roy,Taylor Moore,Thorbjorn Olesen
Ben Griffin,C.T. Pan,Frankie Capan,Jesper Svensson,Mac Meissner,Rasmus Hojgaard
Akshay Bhatia,Ben Griffin,Frankie Capan,Matt Wallace,Ryan Fox,Victor Perez
Aaron Rai,Erik Van Rooyen,Kevin Yu,Matt Wallace,Nicolai Hojgaard,Thorbjorn Olesen
Ben Griffin,Carson Young,Max McGreevy,Nicolai Hojgaard,Rasmus Hojgaard,Ryan Fox
Alex Smalley,Ben Griffin,C.T. Pan,Chris Gotterup,Patrick Rodgers,Victor Perez
Greyson Sigg,Joe Highsmith,Matt Wallace,Michael Kim,Ryan Fox,Stephan Jaeger
C.T. Pan,Harry Hall,Matt Wallace,Michael Kim,Nicolai Hojgaard,Vincent Norrman
Adam Svensson,Ben Griffin,Erik Van Rooyen,Kurt Kitayama,Michael Thorbjornsen,Nicolai Hojgaard
Alex Smalley,Jesper Svensson,Mac Meissner,Stephan Jaeger,Taylor Moore,Vince Whaley
Aaron Rai,Erik Van Rooyen,Michael Thorbjornsen,Rasmus Hojgaard,Rico Hoey,Ryan Fox
Aaron Rai,C.T. Pan,Michael Thorbjornsen,Taylor Moore,Thorbjorn Olesen,Victor Perez
Aaron Rai,Ben Griffin,Jacob Bridgeman,Kurt Kitayama,Matti Schmid,Takumi Kanaya
C.T. Pan,Erik Van Rooyen,Greyson Sigg,Jacob Bridgeman,Michael Kim,Patrick Rodgers
Akshay Bhatia,Antoine Rozner,Ben Griffin,C.T. Pan,Chan Kim,Vince Whaley
Aaron Rai,Harry Hall,Mac Meissner,Nicolai Hojgaard,Patrick Fishburn,Vince Whaley
Adam Svensson,Nicolai Hojgaard,Rasmus Hojgaard,Sam Stevens,Thriston Lawrence,Victor Perez
Aaron Rai,Alex Smalley,Antoine Rozner,Rasmus Hojgaard,Victor Perez,Vince Whaley
Akshay Bhatia,Alex Smalley,Chris Gotterup,Nicolai Hojgaard,Rico Hoey,Ryan Fox
Aaron Rai,C.T. Pan,Erik Van Rooyen,Patrick Fishburn,Sam Stevens,Takumi Kanaya
Beau Hossler,Charley Hoffman,Erik Van Rooyen,Jacob Bridgeman,Nicolai Hojgaard,Rasmus Hojgaard
Aaron Rai,Beau Hossler,Hayden Springer,Matt Wallace,Patrick Rodgers,Trey Mullinax
Aaron Rai,C.T. Pan,Jacob Bridgeman,Joe Highsmith,Justin Lower,Kevin Yu
Aaron Rai,Jacob Bridgeman,Luke List,Mac Meissner,Rasmus Hojgaard,Thorbjorn Olesen
C.T. Pan,Michael Kim,Rasmus Hojgaard,Ryan Fox,Takumi Kanaya,Victor Perez
Alex Smalley,Frankie Capan,Michael Thorbjornsen,Nicolai Hojgaard,Rasmus Hojgaard,Thorbjorn Olesen
Aaron Rai,Antoine Rozner,Ben Griffin,Greyson Sigg,Matt Wallace,Niklas Norgaard Moller
Akshay Bhatia,Erik Van Rooyen,Frankie Capan,Mac Meissner,Patrick Rodgers,Vince Whaley
Aaron Rai,Carson Young,Greyson Sigg,Joe Highsmith,Mac Meissner,Patrick Rodgers
Michael Kim,Patrick Rodgers,Sam Stevens,Victor Perez,Vince Whaley,Vincent Norrman
Greyson Sigg,Kevin Roy,Mac Meissner,Nicolai Hojgaard,Niklas Norgaard Moller,Rasmus Hojgaard
Chandler Phillips,Kevin Yu,Kris Ventura,Mac Meissner,Michael Kim,Patrick Rodgers
Aaron Rai,Ben Griffin,Chris Gotterup,Kevin Yu,Mac Meissner,Michael Thorbjornsen
Frankie Capan,Kevin Yu,Matt Wallace,Patrick Rodgers,Stephan Jaeger,Takumi Kanaya
Aaron Rai,Antoine Rozner,Beau Hossler,Chan Kim,Jesper Svensson,Taylor Moore
