PG,SG,SF,PF,C,G,F,UTIL
Cole Anthony,Franz Wagner,Jalen Brunson,Jalen Duren,Paolo Banchero,Ryan Rollins,Santi Aldama,Wendell Carter Jr.
Cole Anthony,Isaiah Stewart,Jalen Brunson,Karl-Anthony Towns,Kevin Porter Jr.,Kyle Kuzma,PJ Washington,Santi Aldama
Franz Wagner,Gary Trent Jr.,Immanuel Quickley,Karl-Anthony Towns,Paolo Banchero,Ryan Rollins,Santi Aldama,Wendell Carter Jr.
Alexandre Sarr,Andrew Wiggins,Donovan Mitchell,Jordan Poole,Kyle Kuzma,PJ Washington,Ryan Rollins,Wendell Carter Jr.
Alexandre Sarr,Bam Adebayo,Donovan Mitchell,Jordan Poole,Khris Middleton,Kyle Kuzma,Ryan Rollins,Wendell Carter Jr.
Donovan Mitchell,Immanuel Quickley,Karl-Anthony Towns,Khris Middleton,Kyle Kuzma,Max Christie,Ryan Rollins,Wendell Carter Jr.
Donovan Mitchell,Immanuel Quickley,Kyle Kuzma,Orlando Robinson,Paolo Banchero,Ryan Rollins,Wendell Carter Jr.,Zion Williamson
AJ Green,Immanuel Quickley,Karl-Anthony Towns,Kyle Kuzma,PJ Washington,Paolo Banchero,Ryan Rollins,Wendell Carter Jr.
Darius Garland,Franz Wagner,Karl-Anthony Towns,Kentavious Caldwell-Pope,Khris Middleton,Kyle Kuzma,Ryan Rollins,Wendell Carter Jr.
Cole Anthony,Franz Wagner,Karl-Anthony Towns,Kentavious Caldwell-Pope,Precious Achiuwa,Ryan Rollins,Wendell Carter Jr.,Zion Williamson
Alexandre Sarr,Donovan Mitchell,Jordan Poole,Kyle Kuzma,Max Christie,Paolo Banchero,Ryan Rollins,Wendell Carter Jr.
AJ Green,Immanuel Quickley,Jalen Brunson,Jaren Jackson Jr.,Kyle Kuzma,Ryan Rollins,Wendell Carter Jr.,Zion Williamson
De'Aaron Fox,Karl-Anthony Towns,Kevin Porter Jr.,Khris Middleton,Kyle Kuzma,PJ Washington,Ryan Rollins,Wendell Carter Jr.
Bam Adebayo,Franz Wagner,Jalen Brunson,Kevin Porter Jr.,Kyle Kuzma,Ryan Rollins,Wendell Carter Jr.,Yves Missi
De'Aaron Fox,Jalen Brunson,Kyle Kuzma,Orlando Robinson,PJ Washington,RJ Barrett,Ryan Rollins,Wendell Carter Jr.
Ausar Thompson,Donovan Mitchell,Immanuel Quickley,Karl-Anthony Towns,Klay Thompson,Kyle Kuzma,Ryan Rollins,Wendell Carter Jr.
Alexandre Sarr,Ausar Thompson,Donovan Mitchell,Immanuel Quickley,Jordan Poole,Kevin Porter Jr.,Paolo Banchero,Santi Aldama
