PG,SG,SF,PF,C,G,F,UTIL
Alexandre Sarr,Bam Adebayo,Donovan Mitchell,Evan Mobley,Immanuel Quickley,Khris Middleton,Ryan Rollins,Wendell Carter Jr.
Bam Adebayo,Brandon Clarke,Cole Anthony,Donovan Mitchell,Kevin Porter Jr.,Khris Middleton,Kyle Kuzma,Paolo Banchero
Brook Lopez,De'Aaron Fox,Donovan Mitchell,Keldon Johnson,Kyle Kuzma,Paolo Banchero,Ryan Rollins,Wendell Carter Jr.
Alexandre Sarr,Bam Adebayo,Corey Kispert,Donovan Mitchell,Franz Wagner,Immanuel Quickley,Kevin Porter Jr.,Wendell Carter Jr.
Brook Lopez,Donovan Mitchell,Jalen Brunson,Kevin Porter Jr.,Khris Middleton,Kyshawn George,Paolo Banchero,Wendell Carter Jr.
Alexandre Sarr,Bam Adebayo,Cole Anthony,Jalen Brunson,Kevin Porter Jr.,Khris Middleton,Paolo Banchero,Wendell Carter Jr.
Desmond Bane,Donovan Mitchell,Kevin Porter Jr.,Khris Middleton,Kyle Kuzma,Paolo Banchero,Santi Aldama,Wendell Carter Jr.
Bam Adebayo,Brandon Clarke,Desmond Bane,Donovan Mitchell,Evan Mobley,Kevin Porter Jr.,Khris Middleton,Wendell Carter Jr.
Donovan Mitchell,Evan Mobley,Gary Trent Jr.,Immanuel Quickley,Kevin Porter Jr.,Khris Middleton,Paolo Banchero,Wendell Carter Jr.
Alexandre Sarr,Donovan Mitchell,Jordan Poole,Kevin Porter Jr.,Kyle Kuzma,Max Strus,Paolo Banchero,Wendell Carter Jr.
Evan Mobley,Ja Morant,Kentavious Caldwell-Pope,Kevin Porter Jr.,Khris Middleton,Kyle Kuzma,Paolo Banchero,Wendell Carter Jr.
De'Aaron Fox,Donovan Mitchell,Khris Middleton,PJ Washington,Paolo Banchero,Ryan Rollins,Santi Aldama,Wendell Carter Jr.
Bam Adebayo,Donovan Mitchell,Goga Bitadze,Immanuel Quickley,Kentavious Caldwell-Pope,Kyle Kuzma,Paolo Banchero,Ryan Rollins
Bam Adebayo,Brandon Clarke,Evan Mobley,Immanuel Quickley,Ja Morant,Kentavious Caldwell-Pope,Kevin Porter Jr.,RJ Barrett
Bam Adebayo,Cole Anthony,Corey Kispert,Immanuel Quickley,Karl-Anthony Towns,Kentavious Caldwell-Pope,Kevin Porter Jr.,Paolo Banchero
Alexandre Sarr,Bam Adebayo,Desmond Bane,Donovan Mitchell,Gary Trent Jr.,Immanuel Quickley,Kevin Porter Jr.,Khris Middleton
Alexandre Sarr,Brook Lopez,Devin Vassell,Donovan Mitchell,Immanuel Quickley,Kevin Porter Jr.,Khris Middleton,Paolo Banchero
Alexandre Sarr,Bam Adebayo,Goga Bitadze,Immanuel Quickley,Ja Morant,Kevin Porter Jr.,Khris Middleton,Kyle Kuzma
AJ Green,Alexandre Sarr,Bam Adebayo,Immanuel Quickley,Ja Morant,Khris Middleton,Paolo Banchero,Wendell Carter Jr.
Gary Trent Jr.,Jalen Brunson,Karl-Anthony Towns,Kevin Porter Jr.,Khris Middleton,Paolo Banchero,Santi Aldama,Wendell Carter Jr.
