PG,SG,SF,PF,C,G,F,UTIL
Aaron Nesmith,Anfernee Simons,Day'Ron Sharpe,Immanuel Quickley,Jalen Brunson,Kawhi Leonard,RJ Barrett,Shaedon Sharpe
Gradey Dick,Immanuel Quickley,Jalen Brunson,Josh Hart,Pascal Siakam,Payton Pritchard,Shaedon Sharpe,Zach Collins
DeMar DeRozan,Immanuel Quickley,Jalen Brunson,Josh Giddey,Lonzo Ball,Matas Buzelis,Shaedon Sharpe,Zach Collins
Anfernee Simons,Day'Ron Sharpe,Deni Avdija,Immanuel Quickley,Jayson Tatum,Kelly Oubre Jr.,Payton Pritchard,Zach Collins
Andre Drummond,Andrew Wiggins,Jayson Tatum,Josh Giddey,Josh Hart,Ochai Agbaji,Payton Pritchard,Shaedon Sharpe
Josh Giddey,Kawhi Leonard,Lonzo Ball,Pascal Siakam,Payton Pritchard,RJ Barrett,Toumani Camara,Zach Collins
Gradey Dick,Jalen Brunson,Josh Hart,Ochai Agbaji,Payton Pritchard,RJ Barrett,Tyler Herro,Zach Collins
Anfernee Simons,Dillon Brooks,Gradey Dick,Immanuel Quickley,Josh Giddey,Josh Hart,Kawhi Leonard,Zach Collins
Aaron Nesmith,Deni Avdija,Gradey Dick,Jalen Brunson,Josh Hart,Payton Pritchard,Tyler Herro,Zach Collins
Andrew Wiggins,Anfernee Simons,Dyson Daniels,Immanuel Quickley,OG Anunoby,Payton Pritchard,RJ Barrett,Zach Collins
Aaron Nesmith,Anfernee Simons,Gradey Dick,Immanuel Quickley,Jalen Brunson,Josh Hart,RJ Barrett,Zach Collins
Aaron Nesmith,Andrew Wiggins,Anfernee Simons,Day'Ron Sharpe,Deni Avdija,Josh Giddey,Kawhi Leonard,RJ Barrett
Aaron Nesmith,Jalen Brunson,Jayson Tatum,Jordan Clarkson,Josh Giddey,Ochai Agbaji,Payton Pritchard,Zach Collins
Day'Ron Sharpe,Immanuel Quickley,Jayson Tatum,Josh Hart,Lonzo Ball,Ochai Agbaji,Payton Pritchard,RJ Barrett
Day'Ron Sharpe,DeMar DeRozan,Jalen Brunson,Matas Buzelis,Ochai Agbaji,Payton Pritchard,RJ Barrett,Tyler Herro
Aaron Nesmith,Anfernee Simons,Immanuel Quickley,Jalen Brunson,Josh Hart,Ochai Agbaji,RJ Barrett,Zach Collins
