PG,SG,SF,PF,C,G,F,UTIL
Day'Ron Sharpe,Jerami Grant,Kawhi Leonard,Lonzo Ball,OG Anunoby,Onyeka Okongwu,Tyler Herro,Tyrese Haliburton
Anfernee Simons,Day'Ron Sharpe,Josh Hart,Kawhi Leonard,Matas Buzelis,Mikal Bridges,Tyrese Haliburton,Zach Collins
Bam Adebayo,Day'Ron Sharpe,Josh Giddey,Mikal Bridges,OG Anunoby,Obi Toppin,Tyler Herro,Zach Collins
Coby White,Day'Ron Sharpe,Jordan Poole,Josh Giddey,Kawhi Leonard,Lonzo Ball,Pascal Siakam,Zach Collins
Cameron Johnson,Donovan Clingan,Jalen Brunson,Kawhi Leonard,Kelly Oubre Jr.,Ochai Agbaji,Tyrese Haliburton,Zach Collins
Andrew Wiggins,Day'Ron Sharpe,Ivica Zubac,Josh Giddey,Josh Hart,OG Anunoby,Payton Pritchard,Shaedon Sharpe
Aaron Nesmith,Cade Cunningham,Day'Ron Sharpe,Jalen Brunson,Pascal Siakam,Paul George,Tosan Evbuomwan,Zach Collins
Gradey Dick,Jalen Brunson,Kawhi Leonard,Lonzo Ball,Myles Turner,Paul George,RJ Barrett,Zach Collins
Coby White,Day'Ron Sharpe,Josh Giddey,Josh Hart,Kelly Oubre Jr.,Ochai Agbaji,Trae Young,Zach Collins
Cameron Johnson,Josh Hart,Kelly Oubre Jr.,Killian Hayes,Mikal Bridges,Scoot Henderson,Tyrese Maxey,Zach Collins
Bam Adebayo,Cameron Johnson,Day'Ron Sharpe,Killian Hayes,Onyeka Okongwu,Pascal Siakam,Tyler Herro,Ziaire Williams
Andrew Wiggins,Day'Ron Sharpe,Jalen Brunson,Jayson Tatum,Obi Toppin,Onyeka Okongwu,Scoot Henderson,Shaedon Sharpe
Andre Drummond,Bam Adebayo,Day'Ron Sharpe,Jordan Clarkson,Kawhi Leonard,Tosan Evbuomwan,Tyler Herro,Tyrese Haliburton
Andre Drummond,Coby White,Jalen Brunson,Kawhi Leonard,RJ Barrett,Tosan Evbuomwan,Tyrese Haliburton,Zach Collins
