PG,SG,SF,PF,C,G,F,UTIL
Giannis Antetokounmpo,Jonathan Isaac,Jordan Hawkins,Moses Brown,Naji Marshall,Nikola Jokic,Seth Curry,Stephen Curry
Giannis Antetokounmpo,Jonathan Isaac,LOCKED,Moses Brown,Nikola Jokic,Ryan Dunn,Stephen Curry,Tyus Jones
Gary Trent Jr.,Grayson Allen,Jeremiah Robinson-Earl,Jonathan Isaac,Klay Thompson,Miles Bridges,Nikola Jokic,Stephen Curry
CJ McCollum,Gary Payton II,Jamal Murray,Jeremiah Robinson-Earl,Moses Brown,Naji Marshall,Nikola Jokic,Stephen Curry
Brook Lopez,Giannis Antetokounmpo,Jamal Murray,Jonathan Isaac,Jordan Hawkins,Klay Thompson,Naji Marshall,Stephen Curry
Jamal Murray,Jeremiah Robinson-Earl,Jordan Hawkins,Miles Bridges,Moses Brown,Nikola Jokic,Ryan Dunn,Stephen Curry
AJ Green,Giannis Antetokounmpo,Jonathan Isaac,Miles Bridges,Moses Brown,Royce O'Neale,Stephen Curry,Trey Murphy III
CJ McCollum,Giannis Antetokounmpo,Jonathan Isaac,Jordan Hawkins,Miles Bridges,Moses Brown,Naji Marshall,Stephen Curry
Giannis Antetokounmpo,LOCKED,LOCKED,Miles Bridges,Moses Brown,Naji Marshall,Stephen Curry,Zeke Nnaji
Giannis Antetokounmpo,Grayson Allen,Jonathan Isaac,Jordan Hawkins,LOCKED,Moses Brown,Naji Marshall,Stephen Curry
AJ Green,Giannis Antetokounmpo,Jeremiah Robinson-Earl,Miles Bridges,Moses Brown,Naji Marshall,Stephen Curry,Trey Murphy III
Bol Bol,Damian Lillard,Giannis Antetokounmpo,Jonathan Isaac,Jordan Hawkins,LOCKED,Naji Marshall,Stephen Curry
Gary Trent Jr.,Giannis Antetokounmpo,Jamal Murray,Karlo Matkovic,Klay Thompson,Naji Marshall,Nick Smith Jr.,Stephen Curry
Gary Payton II,Giannis Antetokounmpo,Jordan Hawkins,LOCKED,Moses Brown,Naji Marshall,Stephen Curry,Trey Murphy III
AJ Green,Giannis Antetokounmpo,Grayson Allen,LOCKED,Moses Brown,Royce O'Neale,Stephen Curry,Zeke Nnaji
Bol Bol,Jamal Murray,Jonathan Isaac,Kyrie Irving,Moses Brown,Naji Marshall,Stephen Curry,Trey Murphy III
Brook Lopez,Gary Trent Jr.,Jamal Murray,Jeremiah Robinson-Earl,Miles Bridges,Naji Marshall,Stephen Curry,Trey Murphy III
Giannis Antetokounmpo,Jeremiah Robinson-Earl,Jonathan Isaac,Jose Alvarado,LOCKED,Naji Marshall,Seth Curry,Stephen Curry
