PG,SG,SF,PF,C,G,F,UTIL
Bol Bol,Christian Braun,Franz Wagner,Giannis Antetokounmpo,Grayson Allen,KJ Simpson,Moses Brown,Paolo Banchero
Franz Wagner,Jamal Murray,KJ Simpson,Klay Thompson,Miles Bridges,Moses Brown,Nick Richards,Paolo Banchero
Devin Booker,Franz Wagner,KJ Simpson,Karlo Matkovic,Kevin Durant,Moses Brown,Paolo Banchero,Tyus Jones
Franz Wagner,KJ Simpson,Karlo Matkovic,LOCKED,Naji Marshall,Paolo Banchero,Trey Murphy III,Tyus Jones
Bol Bol,Devin Booker,Franz Wagner,KJ Simpson,Miles Bridges,Moses Brown,Paolo Banchero,Spencer Dinwiddie
Franz Wagner,Kevin Durant,Moses Brown,Paolo Banchero,Spencer Dinwiddie,Trey Murphy III,Tyus Jones,Yves Missi
Devin Booker,KJ Simpson,LOCKED,Moses Brown,Paolo Banchero,Royce O'Neale,Trey Murphy III,Wendell Carter Jr.
Devin Booker,KJ Simpson,Miles Bridges,Moses Brown,Nick Richards,Paolo Banchero,Tyus Jones,Zion Williamson
Jamal Murray,Kevin Durant,Moses Brown,Naji Marshall,Nick Richards,Paolo Banchero,Trey Murphy III,Tyus Jones
Franz Wagner,Grayson Allen,KJ Simpson,Klay Thompson,LOCKED,Moses Brown,Naji Marshall,Nikola Jokic
Bol Bol,Damian Lillard,Jamal Murray,KJ Simpson,Miles Bridges,Moses Brown,Paolo Banchero,Royce O'Neale
Bol Bol,Franz Wagner,Giannis Antetokounmpo,Jose Alvarado,Moses Brown,Naji Marshall,Trey Murphy III,Tyus Jones
Devin Booker,Jamal Murray,KJ Simpson,Kevin Durant,Moses Brown,Naji Marshall,Paolo Banchero,Spencer Dinwiddie
Kevin Durant,Max Christie,Miles Bridges,Moses Brown,Paolo Banchero,Royce O'Neale,Trey Murphy III,Tyus Jones
Bol Bol,Franz Wagner,Grayson Allen,Jose Alvarado,Kevin Durant,Naji Marshall,Paolo Banchero,Tyus Jones
Bol Bol,Devin Booker,Grayson Allen,KJ Simpson,Kevin Durant,Naji Marshall,Paolo Banchero,Wendell Carter Jr.
Brook Lopez,Giannis Antetokounmpo,Grayson Allen,Jamal Murray,Miles Bridges,Moses Brown,Royce O'Neale,Russell Westbrook
Bol Bol,KJ Simpson,Klay Thompson,Miles Bridges,Naji Marshall,Nikola Jokic,Russell Westbrook,Yves Missi
