PG,SG,SF,PF,C,G,F,UTIL
Aaron Gordon,Christian Braun,Giannis Antetokounmpo,Jamal Murray,KJ Simpson,Moses Brown,Naji Marshall,Paolo Banchero
Devin Booker,Jose Alvarado,Moses Brown,Naji Marshall,Paolo Banchero,Russell Westbrook,Wendell Carter Jr.,Zion Williamson
Aaron Gordon,CJ McCollum,Giannis Antetokounmpo,Max Christie,Moses Brown,Naji Marshall,Paolo Banchero,Russell Westbrook
Bol Bol,Dante Exum,Giannis Antetokounmpo,Jamal Murray,Jose Alvarado,Moses Brown,Paolo Banchero,Russell Westbrook
Aaron Gordon,Bol Bol,Brandin Podziemski,Brook Lopez,Jose Alvarado,Paolo Banchero,Russell Westbrook,Zion Williamson
KJ Simpson,Kevin Durant,LOCKED,Michael Porter Jr.,Moses Brown,Naji Marshall,Paolo Banchero,Russell Westbrook
Devin Booker,Grayson Allen,LOCKED,Michael Porter Jr.,Moses Brown,Naji Marshall,Paolo Banchero,Wendell Carter Jr.
Aaron Gordon,Brook Lopez,Franz Wagner,Kyrie Irving,Miles Bridges,Moses Brown,Nick Smith Jr.,Russell Westbrook
Bol Bol,Dante Exum,Giannis Antetokounmpo,LOCKED,Moses Brown,Naji Marshall,Nikola Jokic,Russell Westbrook
Brook Lopez,Jose Alvarado,KJ Simpson,Kevin Durant,Michael Porter Jr.,Moses Brown,Paolo Banchero,Trey Murphy III
Dante Exum,Grayson Allen,Jamal Murray,Moses Brown,Naji Marshall,Nikola Jokic,Russell Westbrook,Trey Murphy III
Aaron Gordon,Brandin Podziemski,Brook Lopez,Devin Booker,Franz Wagner,Grayson Allen,Moses Brown,Trey Murphy III
Giannis Antetokounmpo,Klay Thompson,LOCKED,Michael Porter Jr.,Moses Brown,Naji Marshall,Russell Westbrook,Wendell Carter Jr.
Franz Wagner,Kyrie Irving,Max Christie,Michael Porter Jr.,Miles Bridges,Moses Brown,Royce O'Neale,Russell Westbrook
Brook Lopez,Christian Braun,Franz Wagner,Karlo Matkovic,LOCKED,Royce O'Neale,Russell Westbrook,Wendell Carter Jr.
Bol Bol,Brandin Podziemski,Jamal Murray,LOCKED,Moses Brown,Nikola Jokic,Royce O'Neale,Russell Westbrook
KJ Simpson,Moses Brown,Naji Marshall,Nick Smith Jr.,Nikola Jokic,Trey Murphy III,Tyus Jones,Zion Williamson
Aaron Gordon,Christian Braun,LOCKED,LOCKED,Max Christie,Moses Brown,Paolo Banchero,Russell Westbrook
Brook Lopez,Grayson Allen,Jamal Murray,Moses Brown,Paolo Banchero,Spencer Dinwiddie,Trey Murphy III,Zion Williamson
Bol Bol,Jamal Murray,Jose Alvarado,KJ Simpson,Kevin Durant,Naji Marshall,Paolo Banchero,Wendell Carter Jr.
Grayson Allen,Jamal Murray,KJ Simpson,LOCKED,Miles Bridges,Moses Brown,Naji Marshall,Paolo Banchero
