CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Jalen Hurts,DeVonta Smith,Eagles,Jake Elliott,Patrick Mahomes,Xavier Worthy
Jalen Hurts,A.J. Brown,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Eagles,Johnny Wilson,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Jalen Hurts,Eagles,Patrick Mahomes,Peyton Hendershot,Saquon Barkley,Xavier Worthy
Xavier Worthy,Chiefs,Dallas Goedert,DeVonta Smith,Jalen Hurts,Patrick Mahomes
Dallas Goedert,DeVonta Smith,Eagles,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,A.J. Brown,Jahan Dotson,Jalen Hurts,Kareem Hunt,Patrick Mahomes
Xavier Worthy,A.J. Brown,Dallas Goedert,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Jalen Hurts,Dallas Goedert,Harrison Butker,Jake Elliott,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Eagles,Jalen Hurts,Kareem Hunt,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeVonta Smith,Noah Gray,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Jahan Dotson,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Dallas Goedert,Jalen Hurts,Noah Gray,Patrick Mahomes,Travis Kelce
Xavier Worthy,Dallas Goedert,Jalen Hurts,Patrick Mahomes,Travis Kelce,Will Shipley
Jalen Hurts,A.J. Brown,Dallas Goedert,Eagles,Jake Elliott,Patrick Mahomes
Patrick Mahomes,Dallas Goedert,Jahan Dotson,Jalen Hurts,Travis Kelce,Xavier Worthy
DeVonta Smith,A.J. Brown,DeAndre Hopkins,Eagles,Jalen Hurts,Patrick Mahomes
Dallas Goedert,Jake Elliott,Jalen Hurts,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Grant Calcaterra,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Eagles,A.J. Brown,Dallas Goedert,Jalen Hurts,Travis Kelce,Xavier Worthy
Hollywood Brown,Dallas Goedert,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
A.J. Brown,Dallas Goedert,Jalen Hurts,Justin Watson,Patrick Mahomes,Xavier Worthy
JuJu Smith-Schuster,A.J. Brown,Jalen Hurts,Patrick Mahomes,Travis Kelce,Xavier Worthy
Dallas Goedert,DeVonta Smith,Isiah Pacheco,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,A.J. Brown,Chiefs,Eagles,Travis Kelce,Xavier Worthy
JuJu Smith-Schuster,Dallas Goedert,Jalen Hurts,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Dallas Goedert,Jalen Hurts,Justin Watson,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Dallas Goedert,DeVonta Smith,Harrison Butker,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Eagles,A.J. Brown,Jahan Dotson,Jalen Hurts,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,Chiefs,DeAndre Hopkins,Eagles,Jalen Hurts,Saquon Barkley
Eagles,Dallas Goedert,DeAndre Hopkins,Jalen Hurts,Patrick Mahomes,Saquon Barkley
Saquon Barkley,DeAndre Hopkins,Jake Elliott,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Jalen Hurts,Dallas Goedert,DeAndre Hopkins,Jake Elliott,Patrick Mahomes,Travis Kelce
Saquon Barkley,Chiefs,Dallas Goedert,Eagles,Patrick Mahomes,Xavier Worthy
Eagles,A.J. Brown,Jalen Hurts,Justin Watson,Patrick Mahomes,Saquon Barkley
Saquon Barkley,Chiefs,Eagles,Harrison Butker,Jalen Hurts,Xavier Worthy
DeAndre Hopkins,A.J. Brown,Eagles,Jalen Hurts,Patrick Mahomes,Travis Kelce
Patrick Mahomes,Dallas Goedert,DeVonta Smith,Jake Elliott,Jalen Hurts,Kareem Hunt
DeVonta Smith,DeAndre Hopkins,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
Jalen Hurts,A.J. Brown,Grant Calcaterra,Jake Elliott,Patrick Mahomes,Travis Kelce
Saquon Barkley,DeVonta Smith,Eagles,Isiah Pacheco,Jake Elliott,Jalen Hurts
DeVonta Smith,Dallas Goedert,Hollywood Brown,Jalen Hurts,Travis Kelce,Xavier Worthy
Eagles,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Travis Kelce
Eagles,DeVonta Smith,Jalen Hurts,Kareem Hunt,Patrick Mahomes,Travis Kelce
Jalen Hurts,Harrison Butker,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
DeVonta Smith,A.J. Brown,Chiefs,DeAndre Hopkins,Jalen Hurts,Patrick Mahomes
Jalen Hurts,Eagles,Isiah Pacheco,Noah Gray,Patrick Mahomes,Saquon Barkley
Eagles,Dallas Goedert,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Saquon Barkley
Saquon Barkley,DeVonta Smith,Jahan Dotson,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Jalen Hurts,Dallas Goedert,DeVonta Smith,Jahan Dotson,Patrick Mahomes,Travis Kelce
Dallas Goedert,DeVonta Smith,Eagles,Jalen Hurts,Patrick Mahomes,Travis Kelce
Travis Kelce,DeVonta Smith,Jake Elliott,Jalen Hurts,Kenneth Gainwell,Patrick Mahomes
Travis Kelce,Chiefs,DeVonta Smith,Eagles,Jalen Hurts,Patrick Mahomes
Jalen Hurts,A.J. Brown,Grant Calcaterra,Jahan Dotson,Patrick Mahomes,Saquon Barkley
