CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Jalen Hurts,A.J. Brown,DeVonta Smith,Eagles,Jake Elliott,Xavier Worthy
Jake Elliott,DeVonta Smith,Eagles,Jalen Hurts,Saquon Barkley,Xavier Worthy
Xavier Worthy,DeVonta Smith,Eagles,Harrison Butker,Jalen Hurts,Patrick Mahomes
Eagles,DeVonta Smith,Jake Elliott,Jalen Hurts,Saquon Barkley,Xavier Worthy
Xavier Worthy,Dallas Goedert,Eagles,Jake Elliott,Jalen Hurts,Saquon Barkley
Xavier Worthy,A.J. Brown,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Peyton Hendershot
Xavier Worthy,A.J. Brown,Carson Steele,DeVonta Smith,Jalen Hurts,Patrick Mahomes
Xavier Worthy,DeVonta Smith,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Eagles,Jake Elliott,Kareem Hunt,Patrick Mahomes,Saquon Barkley
Eagles,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Jalen Hurts,DeVonta Smith,Eagles,Jahan Dotson,Saquon Barkley,Xavier Worthy
Saquon Barkley,DeAndre Hopkins,Eagles,Jake Elliott,Patrick Mahomes,Xavier Worthy
Eagles,A.J. Brown,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,DeVonta Smith,Jalen Hurts,JuJu Smith-Schuster,Kareem Hunt,Patrick Mahomes
Saquon Barkley,Eagles,Jahan Dotson,Jake Elliott,Jalen Hurts,Xavier Worthy
A.J. Brown,Eagles,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Eagles,A.J. Brown,Harrison Butker,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,DeAndre Hopkins,Jake Elliott,Kareem Hunt,Patrick Mahomes,Saquon Barkley
Eagles,Dallas Goedert,Jalen Hurts,Patrick Mahomes,Travis Kelce,Xavier Worthy
Saquon Barkley,DeVonta Smith,Eagles,Jahan Dotson,Jalen Hurts,Xavier Worthy
Eagles,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Travis Kelce,Xavier Worthy
DeVonta Smith,Chiefs,Eagles,Jalen Hurts,Saquon Barkley,Xavier Worthy
Saquon Barkley,Eagles,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Eagles,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Travis Kelce
Jalen Hurts,DeVonta Smith,Kareem Hunt,Patrick Mahomes,Samaje Perine,Xavier Worthy
Saquon Barkley,DeVonta Smith,Eagles,Jalen Hurts,Samaje Perine,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Jalen Hurts,Kareem Hunt,Samaje Perine,Xavier Worthy
Xavier Worthy,Dallas Goedert,Isiah Pacheco,Jake Elliott,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Chiefs,Jake Elliott,Kareem Hunt,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,DeAndre Hopkins,DeVonta Smith,Noah Gray,Saquon Barkley,Xavier Worthy
Patrick Mahomes,Dallas Goedert,DeAndre Hopkins,Harrison Butker,Jalen Hurts,Xavier Worthy
Saquon Barkley,Dallas Goedert,DeVonta Smith,Eagles,Jake Elliott,Xavier Worthy
Saquon Barkley,DeAndre Hopkins,Eagles,Harrison Butker,Jalen Hurts,Xavier Worthy
Xavier Worthy,Eagles,Harrison Butker,Hollywood Brown,Patrick Mahomes,Saquon Barkley
Eagles,A.J. Brown,Dallas Goedert,Jalen Hurts,Travis Kelce,Xavier Worthy
Jake Elliott,A.J. Brown,Dallas Goedert,Patrick Mahomes,Travis Kelce,Xavier Worthy
Xavier Worthy,Eagles,Harrison Butker,Kareem Hunt,Patrick Mahomes,Saquon Barkley
DeVonta Smith,DeAndre Hopkins,Jake Elliott,Jalen Hurts,Patrick Mahomes,Travis Kelce
Xavier Worthy,A.J. Brown,Chiefs,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
Saquon Barkley,DeAndre Hopkins,Eagles,Harrison Butker,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Dallas Goedert,Eagles,Jalen Hurts,JuJu Smith-Schuster,Xavier Worthy
Patrick Mahomes,DeAndre Hopkins,DeVonta Smith,Hollywood Brown,Travis Kelce,Xavier Worthy
Saquon Barkley,Eagles,Jake Elliott,Jalen Hurts,Patrick Mahomes,Samaje Perine
Patrick Mahomes,Dallas Goedert,Jalen Hurts,JuJu Smith-Schuster,Kareem Hunt,Xavier Worthy
Saquon Barkley,A.J. Brown,Eagles,Hollywood Brown,Jake Elliott,Xavier Worthy
Chiefs,A.J. Brown,Dallas Goedert,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Carson Steele,Jake Elliott,Patrick Mahomes,Travis Kelce,Xavier Worthy
Saquon Barkley,Dallas Goedert,Eagles,Jalen Hurts,Noah Gray,Xavier Worthy
Saquon Barkley,Dallas Goedert,Eagles,Jalen Hurts,Kenneth Gainwell,Xavier Worthy
Saquon Barkley,Dallas Goedert,Eagles,Jalen Hurts,Samaje Perine,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Jalen Hurts,Kareem Hunt,Noah Gray,Xavier Worthy
Saquon Barkley,Dallas Goedert,Eagles,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Saquon Barkley,DeAndre Hopkins,Jake Elliott,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Xavier Worthy,DeAndre Hopkins,Harrison Butker,Kareem Hunt,Patrick Mahomes,Saquon Barkley
A.J. Brown,Hollywood Brown,Jake Elliott,Jalen Hurts,Kareem Hunt,Xavier Worthy
Saquon Barkley,Eagles,Hollywood Brown,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
A.J. Brown,DeVonta Smith,Jake Elliott,Jalen Hurts,Noah Gray,Patrick Mahomes
Patrick Mahomes,Dallas Goedert,DeVonta Smith,Jake Elliott,Jalen Hurts,Kareem Hunt
Saquon Barkley,Jake Elliott,Kareem Hunt,Noah Gray,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Eagles,Hollywood Brown,Noah Gray,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeAndre Hopkins,DeVonta Smith,Eagles,Saquon Barkley
Jalen Hurts,A.J. Brown,DeVonta Smith,Eagles,Samaje Perine,Saquon Barkley
Patrick Mahomes,DeVonta Smith,JuJu Smith-Schuster,Kareem Hunt,Travis Kelce,Xavier Worthy
Hollywood Brown,DeAndre Hopkins,Jake Elliott,Jalen Hurts,Patrick Mahomes,Saquon Barkley
Dallas Goedert,DeAndre Hopkins,Eagles,Jalen Hurts,Patrick Mahomes,Saquon Barkley
DeVonta Smith,A.J. Brown,Jake Elliott,Jalen Hurts,JuJu Smith-Schuster,Saquon Barkley
Saquon Barkley,Eagles,Hollywood Brown,Jahan Dotson,Jalen Hurts,Patrick Mahomes
Patrick Mahomes,JuJu Smith-Schuster,Noah Gray,Saquon Barkley,Travis Kelce,Xavier Worthy
Saquon Barkley,A.J. Brown,JuJu Smith-Schuster,Patrick Mahomes,Samaje Perine,Xavier Worthy
Xavier Worthy,Chiefs,Harrison Butker,Kareem Hunt,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,A.J. Brown,Isiah Pacheco,JuJu Smith-Schuster,Travis Kelce,Xavier Worthy
Xavier Worthy,A.J. Brown,Harrison Butker,Hollywood Brown,Isiah Pacheco,Patrick Mahomes
Saquon Barkley,DeAndre Hopkins,DeVonta Smith,Eagles,Hollywood Brown,Jalen Hurts
Patrick Mahomes,DeAndre Hopkins,Hollywood Brown,Jalen Hurts,JuJu Smith-Schuster,Saquon Barkley
Saquon Barkley,Eagles,Jake Elliott,Jalen Hurts,JuJu Smith-Schuster,Travis Kelce
Patrick Mahomes,A.J. Brown,DeVonta Smith,Jalen Hurts,Kareem Hunt,Samaje Perine
Saquon Barkley,A.J. Brown,Carson Steele,DeVonta Smith,Eagles,Jalen Hurts
Patrick Mahomes,Harrison Butker,Hollywood Brown,JuJu Smith-Schuster,Saquon Barkley,Xavier Worthy
Patrick Mahomes,A.J. Brown,Harrison Butker,Noah Gray,Travis Kelce,Xavier Worthy
Saquon Barkley,Eagles,Jake Elliott,Jalen Hurts,Noah Gray,Travis Kelce
Patrick Mahomes,A.J. Brown,Chiefs,Hollywood Brown,Kareem Hunt,Xavier Worthy
Patrick Mahomes,Harrison Butker,JuJu Smith-Schuster,Kareem Hunt,Saquon Barkley,Xavier Worthy
Hollywood Brown,DeVonta Smith,Jahan Dotson,Jalen Hurts,Patrick Mahomes,Saquon Barkley
DeVonta Smith,Isiah Pacheco,Jalen Hurts,Patrick Mahomes,Samaje Perine,Saquon Barkley
Jalen Hurts,Dallas Goedert,DeVonta Smith,Eagles,Harrison Butker,Saquon Barkley
Saquon Barkley,Eagles,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Travis Kelce
Saquon Barkley,Dallas Goedert,Eagles,Hollywood Brown,Jake Elliott,Jalen Hurts
Dallas Goedert,Jake Elliott,Jalen Hurts,Noah Gray,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,DeVonta Smith,Isiah Pacheco,Jalen Hurts,JuJu Smith-Schuster,Travis Kelce
Saquon Barkley,Noah Gray,Patrick Mahomes,Samaje Perine,Travis Kelce,Xavier Worthy
Saquon Barkley,Dallas Goedert,DeVonta Smith,Jake Elliott,Jalen Hurts,JuJu Smith-Schuster
Saquon Barkley,Dallas Goedert,Eagles,Jake Elliott,Jalen Hurts,Kareem Hunt
