CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Xavier Worthy,Dallas Goedert,Eagles,Jake Elliott,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Eagles,Hollywood Brown,Jake Elliott,Patrick Mahomes,Saquon Barkley
Jalen Hurts,A.J. Brown,Dallas Goedert,Eagles,Jake Elliott,Xavier Worthy
Xavier Worthy,Jahan Dotson,Jalen Hurts,Noah Gray,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,Jake Elliott,Jalen Hurts,Samaje Perine,Travis Kelce,Xavier Worthy
Saquon Barkley,Eagles,Jake Elliott,Jalen Hurts,Noah Gray,Xavier Worthy
Patrick Mahomes,DeAndre Hopkins,Jalen Hurts,JuJu Smith-Schuster,Travis Kelce,Xavier Worthy
Xavier Worthy,A.J. Brown,Chiefs,Jake Elliott,Patrick Mahomes,Travis Kelce
DeVonta Smith,A.J. Brown,Eagles,Hollywood Brown,Jalen Hurts,Xavier Worthy
Patrick Mahomes,Chiefs,DeAndre Hopkins,Jake Elliott,Saquon Barkley,Xavier Worthy
Xavier Worthy,Chiefs,Hollywood Brown,Jake Elliott,Patrick Mahomes,Saquon Barkley
DeVonta Smith,A.J. Brown,Eagles,Harrison Butker,Jalen Hurts,Xavier Worthy
Saquon Barkley,DeAndre Hopkins,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Hollywood Brown,Eagles,Jake Elliott,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Jalen Hurts,DeAndre Hopkins,Harrison Butker,Hollywood Brown,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Eagles,Harrison Butker,Hollywood Brown,Patrick Mahomes,Saquon Barkley
Jalen Hurts,A.J. Brown,Dallas Goedert,DeVonta Smith,JuJu Smith-Schuster,Xavier Worthy
Saquon Barkley,DeVonta Smith,Eagles,Jake Elliott,Kareem Hunt,Xavier Worthy
Saquon Barkley,DeAndre Hopkins,DeVonta Smith,Eagles,Jake Elliott,Jalen Hurts
Patrick Mahomes,Hollywood Brown,Jake Elliott,Noah Gray,Saquon Barkley,Xavier Worthy
