CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
DeVonta Smith,Eagles,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,DeVonta Smith,Hollywood Brown,Jake Elliott,Jalen Hurts,Patrick Mahomes
DeVonta Smith,DeAndre Hopkins,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,DeVonta Smith,Harrison Butker,Jake Elliott,Jalen Hurts,Patrick Mahomes
Xavier Worthy,Dallas Goedert,DeAndre Hopkins,DeVonta Smith,Jalen Hurts,Patrick Mahomes
DeVonta Smith,Hollywood Brown,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Isiah Pacheco,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Eagles,Isiah Pacheco,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Harrison Butker,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,DeVonta Smith,Grant Calcaterra,Jalen Hurts,Patrick Mahomes,Travis Kelce
Xavier Worthy,A.J. Brown,Hollywood Brown,Jahan Dotson,Jalen Hurts,Patrick Mahomes
DeVonta Smith,Dallas Goedert,DeAndre Hopkins,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Dallas Goedert,DeAndre Hopkins,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeVonta Smith,DeAndre Hopkins,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeVonta Smith,DeAndre Hopkins,Isiah Pacheco,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeAndre Hopkins,Dallas Goedert,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeVonta Smith,Noah Gray,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,A.J. Brown,Hollywood Brown,Jahan Dotson,Jalen Hurts,Xavier Worthy
Eagles,Dallas Goedert,DeVonta Smith,Patrick Mahomes,Saquon Barkley,Xavier Worthy
DeAndre Hopkins,A.J. Brown,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeVonta Smith,A.J. Brown,Eagles,Jalen Hurts,Kareem Hunt,Xavier Worthy
DeVonta Smith,Eagles,Jake Elliott,Jalen Hurts,Patrick Mahomes,Travis Kelce
Noah Gray,A.J. Brown,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Jahan Dotson,Jalen Hurts,Travis Kelce,Xavier Worthy
DeVonta Smith,Chiefs,Jalen Hurts,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Hollywood Brown,Jahan Dotson,Jalen Hurts,Travis Kelce,Xavier Worthy
DeVonta Smith,Jalen Hurts,Kareem Hunt,Noah Gray,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Harrison Butker,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Harrison Butker,Isiah Pacheco,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Dallas Goedert,DeVonta Smith,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeVonta Smith,A.J. Brown,DeAndre Hopkins,Jalen Hurts,Kareem Hunt,Xavier Worthy
Jake Elliott,A.J. Brown,Dallas Goedert,Patrick Mahomes,Travis Kelce,Xavier Worthy
Hollywood Brown,Dallas Goedert,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeVonta Smith,DeAndre Hopkins,Jake Elliott,Jalen Hurts,Patrick Mahomes,Travis Kelce
Kenneth Gainwell,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Travis Kelce,Xavier Worthy
Dallas Goedert,DeVonta Smith,Isiah Pacheco,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeAndre Hopkins,Dallas Goedert,DeVonta Smith,Patrick Mahomes,Saquon Barkley,Xavier Worthy
A.J. Brown,Dallas Goedert,Jalen Hurts,Patrick Mahomes,Samaje Perine,Xavier Worthy
Isiah Pacheco,Dallas Goedert,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Travis Kelce,Dallas Goedert,DeVonta Smith,Jake Elliott,Patrick Mahomes,Xavier Worthy
Dallas Goedert,DeVonta Smith,Harrison Butker,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Travis Kelce,Dallas Goedert,Jahan Dotson,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Eagles,A.J. Brown,DeVonta Smith,Hollywood Brown,Jalen Hurts,Patrick Mahomes
Dallas Goedert,A.J. Brown,Jalen Hurts,Noah Gray,Patrick Mahomes,Xavier Worthy
Chiefs,A.J. Brown,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Jalen Hurts,JuJu Smith-Schuster,Kareem Hunt,Saquon Barkley,Xavier Worthy
Saquon Barkley,Dallas Goedert,Jake Elliott,Noah Gray,Patrick Mahomes,Xavier Worthy
Noah Gray,A.J. Brown,Dallas Goedert,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Jake Elliott,DeVonta Smith,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Travis Kelce
Hollywood Brown,A.J. Brown,Jalen Hurts,Kenneth Gainwell,Patrick Mahomes,Xavier Worthy
DeVonta Smith,JuJu Smith-Schuster,Kareem Hunt,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Eagles,Dallas Goedert,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Travis Kelce
DeVonta Smith,DeAndre Hopkins,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
Chiefs,Dallas Goedert,Jalen Hurts,Patrick Mahomes,Travis Kelce,Xavier Worthy
Eagles,A.J. Brown,DeAndre Hopkins,DeVonta Smith,Patrick Mahomes,Saquon Barkley
Jalen Hurts,A.J. Brown,DeVonta Smith,Hollywood Brown,Jahan Dotson,Patrick Mahomes
A.J. Brown,DeVonta Smith,Jalen Hurts,Kareem Hunt,Noah Gray,Xavier Worthy
Chiefs,A.J. Brown,DeVonta Smith,Patrick Mahomes,Travis Kelce,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeVonta Smith,Jahan Dotson,Patrick Mahomes,Travis Kelce
Hollywood Brown,DeVonta Smith,Jake Elliott,Jalen Hurts,Patrick Mahomes,Travis Kelce
Dallas Goedert,DeVonta Smith,Eagles,Jalen Hurts,Patrick Mahomes,Travis Kelce
A.J. Brown,DeAndre Hopkins,DeVonta Smith,Jalen Hurts,Noah Gray,Patrick Mahomes
DeAndre Hopkins,DeVonta Smith,Jake Elliott,Patrick Mahomes,Saquon Barkley,Travis Kelce
Eagles,A.J. Brown,Dallas Goedert,Hollywood Brown,Jalen Hurts,Patrick Mahomes
Jalen Hurts,Dallas Goedert,DeVonta Smith,JuJu Smith-Schuster,Patrick Mahomes,Travis Kelce
Patrick Mahomes,DeVonta Smith,Hollywood Brown,Jahan Dotson,Jalen Hurts,Travis Kelce
DeAndre Hopkins,Dallas Goedert,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Travis Kelce
Dallas Goedert,DeVonta Smith,Jalen Hurts,Kareem Hunt,Travis Kelce,Xavier Worthy
DeVonta Smith,A.J. Brown,Eagles,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
Harrison Butker,A.J. Brown,DeVonta Smith,Hollywood Brown,Jalen Hurts,Xavier Worthy
DeVonta Smith,Hollywood Brown,Jalen Hurts,Justin Watson,Patrick Mahomes,Saquon Barkley
DeVonta Smith,Jahan Dotson,Jake Elliott,Patrick Mahomes,Saquon Barkley,Travis Kelce
Harrison Butker,A.J. Brown,DeVonta Smith,Jalen Hurts,Kareem Hunt,Xavier Worthy
Noah Gray,A.J. Brown,Dallas Goedert,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Kareem Hunt,DeVonta Smith,Hollywood Brown,Jalen Hurts,Travis Kelce,Xavier Worthy
DeVonta Smith,Eagles,Jalen Hurts,JuJu Smith-Schuster,Saquon Barkley,Travis Kelce
DeVonta Smith,A.J. Brown,Eagles,Noah Gray,Patrick Mahomes,Saquon Barkley
A.J. Brown,DeVonta Smith,Hollywood Brown,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Chiefs,A.J. Brown,Eagles,Jalen Hurts,Patrick Mahomes,Travis Kelce
Dallas Goedert,DeAndre Hopkins,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Travis Kelce
DeVonta Smith,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Travis Kelce
DeVonta Smith,Jalen Hurts,Kenneth Gainwell,Noah Gray,Patrick Mahomes,Saquon Barkley
