CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Jalen Hurts,A.J. Brown,DeVonta Smith,Eagles,Jake Elliott,Xavier Worthy
Jake Elliott,DeVonta Smith,Eagles,Jalen Hurts,Saquon Barkley,Xavier Worthy
Jake Elliott,DeAndre Hopkins,DeVonta Smith,Jalen Hurts,Saquon Barkley,Xavier Worthy
Jalen Hurts,DeVonta Smith,Jake Elliott,JuJu Smith-Schuster,Saquon Barkley,Xavier Worthy
DeVonta Smith,A.J. Brown,Jalen Hurts,Justin Watson,Patrick Mahomes,Xavier Worthy
Eagles,Dallas Goedert,DeVonta Smith,Jalen Hurts,Saquon Barkley,Xavier Worthy
Jake Elliott,A.J. Brown,Jalen Hurts,JuJu Smith-Schuster,Saquon Barkley,Xavier Worthy
Jalen Hurts,DeAndre Hopkins,Eagles,Harrison Butker,Saquon Barkley,Xavier Worthy
Eagles,DeVonta Smith,Harrison Butker,Jalen Hurts,Saquon Barkley,Xavier Worthy
DeVonta Smith,A.J. Brown,DeAndre Hopkins,Jake Elliott,Saquon Barkley,Xavier Worthy
Saquon Barkley,DeAndre Hopkins,Jake Elliott,Jalen Hurts,Kenneth Gainwell,Xavier Worthy
Jalen Hurts,A.J. Brown,Dallas Goedert,Hollywood Brown,Jake Elliott,Xavier Worthy
Jalen Hurts,Dallas Goedert,Jake Elliott,Kenneth Gainwell,Saquon Barkley,Xavier Worthy
A.J. Brown,DeVonta Smith,Eagles,Hollywood Brown,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Jalen Hurts,Kareem Hunt,Noah Gray,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Hollywood Brown,Jake Elliott,Kenneth Gainwell,Saquon Barkley,Xavier Worthy
DeVonta Smith,Jahan Dotson,Jake Elliott,Jalen Hurts,Patrick Mahomes,Saquon Barkley
Jalen Hurts,DeVonta Smith,Eagles,Justin Watson,Patrick Mahomes,Saquon Barkley
Jalen Hurts,A.J. Brown,Hollywood Brown,Jake Elliott,Kareem Hunt,Xavier Worthy
Eagles,Jake Elliott,Jalen Hurts,Kareem Hunt,Patrick Mahomes,Saquon Barkley
Jalen Hurts,A.J. Brown,Harrison Butker,Jake Elliott,Kareem Hunt,Xavier Worthy
DeVonta Smith,Eagles,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
Jake Elliott,Dallas Goedert,DeAndre Hopkins,Jalen Hurts,Patrick Mahomes,Saquon Barkley
A.J. Brown,Grant Calcaterra,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Eagles,DeVonta Smith,Jake Elliott,Jalen Hurts,Saquon Barkley,Travis Kelce
Saquon Barkley,Dallas Goedert,Eagles,Jalen Hurts,Kenneth Gainwell,Xavier Worthy
Jalen Hurts,Hollywood Brown,Jahan Dotson,Jake Elliott,Patrick Mahomes,Saquon Barkley
Jalen Hurts,A.J. Brown,DeAndre Hopkins,Harrison Butker,Jake Elliott,Patrick Mahomes
Jake Elliott,DeVonta Smith,Eagles,Patrick Mahomes,Saquon Barkley,Travis Kelce
Jalen Hurts,DeVonta Smith,Eagles,Harrison Butker,Jake Elliott,Saquon Barkley
Eagles,A.J. Brown,DeVonta Smith,Kareem Hunt,Saquon Barkley,Xavier Worthy
Saquon Barkley,DeVonta Smith,Hollywood Brown,Jalen Hurts,Justin Watson,Xavier Worthy
Saquon Barkley,A.J. Brown,Eagles,Harrison Butker,Jake Elliott,Xavier Worthy
DeVonta Smith,Hollywood Brown,Jalen Hurts,Noah Gray,Saquon Barkley,Xavier Worthy
Jake Elliott,DeVonta Smith,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Travis Kelce
Jalen Hurts,A.J. Brown,DeAndre Hopkins,DeVonta Smith,Noah Gray,Patrick Mahomes
Saquon Barkley,Harrison Butker,Jake Elliott,Jalen Hurts,Kenneth Gainwell,Xavier Worthy
Jalen Hurts,DeVonta Smith,Hollywood Brown,Jake Elliott,Kareem Hunt,Patrick Mahomes
DeVonta Smith,A.J. Brown,Dallas Goedert,Harrison Butker,Jalen Hurts,Xavier Worthy
DeVonta Smith,A.J. Brown,Eagles,Harrison Butker,Saquon Barkley,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeAndre Hopkins,DeVonta Smith,Eagles,Saquon Barkley
Jalen Hurts,A.J. Brown,DeVonta Smith,Eagles,Justin Watson,Saquon Barkley
Saquon Barkley,DeAndre Hopkins,Eagles,Jalen Hurts,Noah Gray,Patrick Mahomes
Eagles,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Travis Kelce
Eagles,DeVonta Smith,Jalen Hurts,Kareem Hunt,Patrick Mahomes,Travis Kelce
Jake Elliott,A.J. Brown,Eagles,Jalen Hurts,Kareem Hunt,Saquon Barkley
Saquon Barkley,DeVonta Smith,Grant Calcaterra,Harrison Butker,Jalen Hurts,Xavier Worthy
Saquon Barkley,DeVonta Smith,Eagles,Hollywood Brown,Jake Elliott,Patrick Mahomes
Saquon Barkley,DeVonta Smith,Eagles,Harrison Butker,Jake Elliott,Jalen Hurts
Saquon Barkley,A.J. Brown,DeAndre Hopkins,Harrison Butker,Jake Elliott,Xavier Worthy
A.J. Brown,Jahan Dotson,Kenneth Gainwell,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Jalen Hurts,DeVonta Smith,JuJu Smith-Schuster,Noah Gray,Patrick Mahomes,Saquon Barkley
Jalen Hurts,A.J. Brown,DeAndre Hopkins,Jake Elliott,Kenneth Gainwell,Saquon Barkley
Jake Elliott,A.J. Brown,Eagles,Kareem Hunt,Patrick Mahomes,Saquon Barkley
Jalen Hurts,Dallas Goedert,DeAndre Hopkins,DeVonta Smith,Kareem Hunt,Patrick Mahomes
Saquon Barkley,Dallas Goedert,Jake Elliott,Jalen Hurts,Justin Watson,Patrick Mahomes
Jalen Hurts,Eagles,Harrison Butker,Noah Gray,Patrick Mahomes,Saquon Barkley
Jalen Hurts,A.J. Brown,JuJu Smith-Schuster,Justin Watson,Patrick Mahomes,Saquon Barkley
Jalen Hurts,DeAndre Hopkins,Hollywood Brown,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
Jalen Hurts,A.J. Brown,DeAndre Hopkins,DeVonta Smith,Justin Watson,Saquon Barkley
Jalen Hurts,DeVonta Smith,Grant Calcaterra,Noah Gray,Patrick Mahomes,Saquon Barkley
Saquon Barkley,A.J. Brown,Grant Calcaterra,Noah Gray,Patrick Mahomes,Xavier Worthy
A.J. Brown,DeVonta Smith,Eagles,Jahan Dotson,Patrick Mahomes,Saquon Barkley
Saquon Barkley,DeAndre Hopkins,DeVonta Smith,Jake Elliott,Jalen Hurts,Kenneth Gainwell
Jalen Hurts,A.J. Brown,Dallas Goedert,DeVonta Smith,Hollywood Brown,Jake Elliott
Saquon Barkley,Grant Calcaterra,Hollywood Brown,Jake Elliott,Jalen Hurts,Patrick Mahomes
Saquon Barkley,A.J. Brown,Eagles,Jake Elliott,Noah Gray,Patrick Mahomes
Jake Elliott,A.J. Brown,DeVonta Smith,Eagles,Saquon Barkley,Travis Kelce
Saquon Barkley,A.J. Brown,Eagles,Grant Calcaterra,Travis Kelce,Xavier Worthy
A.J. Brown,DeVonta Smith,Hollywood Brown,Jahan Dotson,Jalen Hurts,Patrick Mahomes
Jalen Hurts,A.J. Brown,Dallas Goedert,Jake Elliott,JuJu Smith-Schuster,Saquon Barkley
Jalen Hurts,A.J. Brown,Dallas Goedert,DeVonta Smith,Jake Elliott,Kareem Hunt
Saquon Barkley,Eagles,Jalen Hurts,Justin Watson,Kareem Hunt,Patrick Mahomes
Saquon Barkley,Grant Calcaterra,Isiah Pacheco,Jake Elliott,Jalen Hurts,Patrick Mahomes
Saquon Barkley,DeAndre Hopkins,DeVonta Smith,Isiah Pacheco,Jake Elliott,Patrick Mahomes
Saquon Barkley,DeAndre Hopkins,Hollywood Brown,Jahan Dotson,Jalen Hurts,Patrick Mahomes
DeVonta Smith,Grant Calcaterra,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Saquon Barkley
Jalen Hurts,A.J. Brown,Dallas Goedert,DeVonta Smith,Eagles,Kareem Hunt
DeVonta Smith,A.J. Brown,DeAndre Hopkins,Jalen Hurts,JuJu Smith-Schuster,Saquon Barkley
Saquon Barkley,DeAndre Hopkins,Isiah Pacheco,Jahan Dotson,Jalen Hurts,Patrick Mahomes
Saquon Barkley,Hollywood Brown,Isiah Pacheco,Jalen Hurts,Noah Gray,Xavier Worthy
Jalen Hurts,DeVonta Smith,Eagles,Harrison Butker,Hollywood Brown,Saquon Barkley
Saquon Barkley,DeVonta Smith,Eagles,Jalen Hurts,Justin Watson,Travis Kelce
A.J. Brown,Harrison Butker,Isiah Pacheco,Jake Elliott,Jalen Hurts,Patrick Mahomes
Jalen Hurts,A.J. Brown,Eagles,JuJu Smith-Schuster,Kareem Hunt,Saquon Barkley
Jalen Hurts,Grant Calcaterra,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Travis Kelce
Saquon Barkley,DeVonta Smith,Grant Calcaterra,Jalen Hurts,Noah Gray,Patrick Mahomes
Saquon Barkley,Harrison Butker,Hollywood Brown,Jalen Hurts,Noah Gray,Xavier Worthy
Jalen Hurts,DeAndre Hopkins,DeVonta Smith,Grant Calcaterra,Saquon Barkley,Travis Kelce
Saquon Barkley,A.J. Brown,Hollywood Brown,Jahan Dotson,Jake Elliott,Jalen Hurts
Saquon Barkley,Dallas Goedert,DeVonta Smith,Jake Elliott,Jalen Hurts,Noah Gray
Jalen Hurts,Dallas Goedert,Hollywood Brown,Justin Watson,Patrick Mahomes,Saquon Barkley
