CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Jalen Hurts,A.J. Brown,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Jalen Hurts,A.J. Brown,Eagles,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Dallas Goedert,DeVonta Smith,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Jalen Hurts,A.J. Brown,DeAndre Hopkins,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Eagles,Jake Elliott,Saquon Barkley,Xavier Worthy
Dallas Goedert,DeVonta Smith,Eagles,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Chiefs,Dallas Goedert,Jake Elliott,Jalen Hurts,Xavier Worthy
Patrick Mahomes,Chiefs,Dallas Goedert,Jake Elliott,Jalen Hurts,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Jake Elliott,JuJu Smith-Schuster,Saquon Barkley,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Eagles,JuJu Smith-Schuster,Saquon Barkley,Xavier Worthy
Patrick Mahomes,Dallas Goedert,DeAndre Hopkins,Jake Elliott,Saquon Barkley,Xavier Worthy
Dallas Goedert,DeAndre Hopkins,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Jalen Hurts,A.J. Brown,Chiefs,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Jalen Hurts,A.J. Brown,Chiefs,Noah Gray,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,DeAndre Hopkins,DeVonta Smith,JuJu Smith-Schuster,Saquon Barkley,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Jake Elliott,JuJu Smith-Schuster,Saquon Barkley,Xavier Worthy
Dallas Goedert,DeVonta Smith,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Chiefs,Dallas Goedert,Jake Elliott,Saquon Barkley,Xavier Worthy
Dallas Goedert,Chiefs,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Jake Elliott,Noah Gray,Saquon Barkley,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Jake Elliott,Noah Gray,Saquon Barkley,Xavier Worthy
Dallas Goedert,DeVonta Smith,Jalen Hurts,Noah Gray,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Chiefs,Dallas Goedert,Hollywood Brown,Jalen Hurts,Xavier Worthy
Dallas Goedert,DeVonta Smith,Harrison Butker,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Hollywood Brown,JuJu Smith-Schuster,Saquon Barkley,Xavier Worthy
