CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Patrick Mahomes,DeAndre Hopkins,DeVonta Smith,Jake Elliott,Jalen Hurts,Xavier Worthy
Xavier Worthy,DeAndre Hopkins,DeVonta Smith,Eagles,Patrick Mahomes,Saquon Barkley
Jalen Hurts,A.J. Brown,DeAndre Hopkins,DeVonta Smith,Jake Elliott,Xavier Worthy
Xavier Worthy,A.J. Brown,Dallas Goedert,DeVonta Smith,Jake Elliott,Jalen Hurts
Xavier Worthy,Dallas Goedert,Jake Elliott,Jalen Hurts,Kareem Hunt,Patrick Mahomes
Xavier Worthy,Jahan Dotson,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
Dallas Goedert,DeVonta Smith,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Dallas Goedert,Hollywood Brown,Jake Elliott,Patrick Mahomes,Xavier Worthy
Hollywood Brown,DeVonta Smith,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Dallas Goedert,DeAndre Hopkins,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeVonta Smith,DeAndre Hopkins,Eagles,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Patrick Mahomes,Jake Elliott,Jalen Hurts,Samaje Perine,Travis Kelce,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeVonta Smith,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
DeVonta Smith,DeAndre Hopkins,Isiah Pacheco,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Chiefs,DeVonta Smith,Harrison Butker,Jalen Hurts,Patrick Mahomes
Jalen Hurts,Dallas Goedert,Harrison Butker,Jake Elliott,Patrick Mahomes,Xavier Worthy
Jalen Hurts,DeVonta Smith,Hollywood Brown,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Jahan Dotson,Jalen Hurts,JuJu Smith-Schuster,Saquon Barkley,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Harrison Butker,Jake Elliott,Jalen Hurts,Xavier Worthy
Xavier Worthy,A.J. Brown,Harrison Butker,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Patrick Mahomes,Jahan Dotson,Jalen Hurts,Noah Gray,Saquon Barkley,Xavier Worthy
Jalen Hurts,DeVonta Smith,Hollywood Brown,Kenneth Gainwell,Patrick Mahomes,Xavier Worthy
Dallas Goedert,DeAndre Hopkins,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Chiefs,Jake Elliott,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Xavier Worthy,A.J. Brown,Chiefs,Jake Elliott,Patrick Mahomes,Travis Kelce
Xavier Worthy,Dallas Goedert,Harrison Butker,Jake Elliott,Jalen Hurts,Saquon Barkley
Jalen Hurts,Justin Watson,Noah Gray,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Saquon Barkley,DeVonta Smith,Eagles,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Saquon Barkley,DeVonta Smith,Jake Elliott,Patrick Mahomes,Samaje Perine,Xavier Worthy
DeVonta Smith,Chiefs,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
