CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Xavier Worthy,Dallas Goedert,Eagles,Jake Elliott,Jalen Hurts,Saquon Barkley
DeVonta Smith,Dallas Goedert,Eagles,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Eagles,Jalen Hurts,JuJu Smith-Schuster,Travis Kelce,Xavier Worthy
Patrick Mahomes,Eagles,Jalen Hurts,Justin Watson,Travis Kelce,Xavier Worthy
Patrick Mahomes,Eagles,Jalen Hurts,Noah Gray,Travis Kelce,Xavier Worthy
Eagles,Dallas Goedert,Jalen Hurts,Patrick Mahomes,Travis Kelce,Xavier Worthy
Patrick Mahomes,Eagles,Jalen Hurts,Samaje Perine,Travis Kelce,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Harrison Butker,Jake Elliott,Jalen Hurts,Xavier Worthy
Jake Elliott,DeVonta Smith,Hollywood Brown,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Jake Elliott,DeVonta Smith,Harrison Butker,Jalen Hurts,Saquon Barkley,Xavier Worthy
Saquon Barkley,DeVonta Smith,Eagles,Jalen Hurts,JuJu Smith-Schuster,Xavier Worthy
Saquon Barkley,DeVonta Smith,Eagles,Jalen Hurts,JuJu Smith-Schuster,Xavier Worthy
Xavier Worthy,Dallas Goedert,Harrison Butker,Jake Elliott,Jalen Hurts,Saquon Barkley
Samaje Perine,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Patrick Mahomes,Dallas Goedert,DeVonta Smith,Jake Elliott,Travis Kelce,Xavier Worthy
Xavier Worthy,Dallas Goedert,Jalen Hurts,Noah Gray,Patrick Mahomes,Travis Kelce
Xavier Worthy,Dallas Goedert,Isiah Pacheco,Jake Elliott,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Dallas Goedert,Harrison Butker,Jake Elliott,Patrick Mahomes,Saquon Barkley
Jalen Hurts,A.J. Brown,DeVonta Smith,Eagles,Jahan Dotson,Patrick Mahomes
Xavier Worthy,Harrison Butker,Hollywood Brown,Jake Elliott,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,DeVonta Smith,Harrison Butker,Jake Elliott,Travis Kelce,Xavier Worthy
Patrick Mahomes,Hollywood Brown,Jalen Hurts,JuJu Smith-Schuster,Travis Kelce,Xavier Worthy
Saquon Barkley,Jalen Hurts,Justin Watson,Noah Gray,Patrick Mahomes,Xavier Worthy
