CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Jalen Hurts,Eagles,Harrison Butker,Jake Elliott,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Chiefs,Jahan Dotson,Jalen Hurts,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,Eagles,Hollywood Brown,Jake Elliott,Saquon Barkley,Xavier Worthy
Patrick Mahomes,Eagles,Isiah Pacheco,Jake Elliott,Saquon Barkley,Xavier Worthy
Patrick Mahomes,Eagles,Harrison Butker,Jake Elliott,Saquon Barkley,Xavier Worthy
Xavier Worthy,DeVonta Smith,Jake Elliott,Kareem Hunt,Patrick Mahomes,Travis Kelce
Jalen Hurts,DeVonta Smith,JuJu Smith-Schuster,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Jalen Hurts,DeVonta Smith,Isiah Pacheco,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Eagles,Chiefs,DeVonta Smith,Jalen Hurts,Saquon Barkley,Xavier Worthy
Saquon Barkley,Chiefs,Eagles,Jake Elliott,Patrick Mahomes,Xavier Worthy
Xavier Worthy,DeVonta Smith,Eagles,Kareem Hunt,Patrick Mahomes,Travis Kelce
Jalen Hurts,DeVonta Smith,Isiah Pacheco,Noah Gray,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Dallas Goedert,Jahan Dotson,Patrick Mahomes,Travis Kelce,Xavier Worthy
Xavier Worthy,Dallas Goedert,Jalen Hurts,Noah Gray,Patrick Mahomes,Travis Kelce
Jalen Hurts,DeVonta Smith,Eagles,Harrison Butker,Jake Elliott,Patrick Mahomes
Jalen Hurts,DeVonta Smith,Isiah Pacheco,Jahan Dotson,Saquon Barkley,Xavier Worthy
Xavier Worthy,DeAndre Hopkins,DeVonta Smith,Kareem Hunt,Patrick Mahomes,Travis Kelce
Jalen Hurts,Dallas Goedert,Justin Watson,Patrick Mahomes,Travis Kelce,Xavier Worthy
Xavier Worthy,DeVonta Smith,JuJu Smith-Schuster,Kareem Hunt,Patrick Mahomes,Saquon Barkley
Jalen Hurts,Dallas Goedert,Patrick Mahomes,Samaje Perine,Travis Kelce,Xavier Worthy
Eagles,Chiefs,Jalen Hurts,Saquon Barkley,Travis Kelce,Xavier Worthy
Saquon Barkley,Chiefs,DeAndre Hopkins,Eagles,Patrick Mahomes,Xavier Worthy
Jalen Hurts,A.J. Brown,Eagles,Harrison Butker,Jake Elliott,Patrick Mahomes
Hollywood Brown,Dallas Goedert,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Jalen Hurts,DeVonta Smith,Isiah Pacheco,Justin Watson,Saquon Barkley,Xavier Worthy
Eagles,Chiefs,Patrick Mahomes,Saquon Barkley,Travis Kelce,Xavier Worthy
Jalen Hurts,DeVonta Smith,Isiah Pacheco,Samaje Perine,Saquon Barkley,Xavier Worthy
Jalen Hurts,DeVonta Smith,Isiah Pacheco,Johnny Wilson,Saquon Barkley,Xavier Worthy
Jalen Hurts,DeVonta Smith,Grant Calcaterra,Isiah Pacheco,Saquon Barkley,Xavier Worthy
Eagles,A.J. Brown,Dallas Goedert,DeVonta Smith,Jalen Hurts,Patrick Mahomes
Saquon Barkley,Jahan Dotson,Jake Elliott,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Chiefs,Harrison Butker,Jake Elliott,Saquon Barkley,Xavier Worthy
Jalen Hurts,A.J. Brown,DeVonta Smith,Kareem Hunt,Noah Gray,Xavier Worthy
Saquon Barkley,Jake Elliott,Johnny Wilson,Patrick Mahomes,Travis Kelce,Xavier Worthy
Eagles,A.J. Brown,DeVonta Smith,Hollywood Brown,Jalen Hurts,Patrick Mahomes
Jalen Hurts,Eagles,Harrison Butker,Jake Elliott,Patrick Mahomes,Travis Kelce
Eagles,A.J. Brown,Chiefs,DeVonta Smith,Jalen Hurts,Patrick Mahomes
Eagles,A.J. Brown,DeVonta Smith,Isiah Pacheco,Jalen Hurts,Patrick Mahomes
Xavier Worthy,Chiefs,DeVonta Smith,Kareem Hunt,Patrick Mahomes,Travis Kelce
Saquon Barkley,Jake Elliott,JuJu Smith-Schuster,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Chiefs,Dallas Goedert,Eagles,Patrick Mahomes,Xavier Worthy
Saquon Barkley,DeVonta Smith,Jahan Dotson,Jake Elliott,Travis Kelce,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Kareem Hunt,Samaje Perine,Saquon Barkley,Xavier Worthy
Saquon Barkley,Chiefs,Eagles,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Chiefs,Eagles,Hollywood Brown,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Jake Elliott,Justin Watson,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Xavier Worthy,DeVonta Smith,Kareem Hunt,Noah Gray,Patrick Mahomes,Travis Kelce
Jalen Hurts,Dallas Goedert,Eagles,Harrison Butker,Jake Elliott,Patrick Mahomes
Eagles,A.J. Brown,DeVonta Smith,Harrison Butker,Jalen Hurts,Patrick Mahomes
Xavier Worthy,Justin Watson,Kareem Hunt,Patrick Mahomes,Saquon Barkley,Travis Kelce
Saquon Barkley,Jake Elliott,Kareem Hunt,Noah Gray,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Chiefs,Eagles,Isiah Pacheco,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Jake Elliott,Kareem Hunt,Patrick Mahomes,Samaje Perine,Xavier Worthy
Xavier Worthy,DeVonta Smith,Harrison Butker,Kareem Hunt,Patrick Mahomes,Travis Kelce
Jalen Hurts,Dallas Goedert,DeVonta Smith,Harrison Butker,Jake Elliott,Patrick Mahomes
Saquon Barkley,DeVonta Smith,Jake Elliott,JuJu Smith-Schuster,Travis Kelce,Xavier Worthy
Saquon Barkley,Chiefs,Eagles,Noah Gray,Patrick Mahomes,Xavier Worthy
Jalen Hurts,DeVonta Smith,Harrison Butker,Hollywood Brown,Jake Elliott,Patrick Mahomes
Jalen Hurts,Eagles,Harrison Butker,Jake Elliott,Kareem Hunt,Patrick Mahomes
Saquon Barkley,DeVonta Smith,Jake Elliott,Justin Watson,Travis Kelce,Xavier Worthy
Saquon Barkley,Chiefs,Eagles,Harrison Butker,Patrick Mahomes,Xavier Worthy
Jalen Hurts,DeVonta Smith,Harrison Butker,Jake Elliott,Kareem Hunt,Patrick Mahomes
Jalen Hurts,DeVonta Smith,Harrison Butker,Isiah Pacheco,Jake Elliott,Patrick Mahomes
Saquon Barkley,DeVonta Smith,Jake Elliott,Noah Gray,Travis Kelce,Xavier Worthy
Saquon Barkley,DeVonta Smith,Jake Elliott,Samaje Perine,Travis Kelce,Xavier Worthy
Patrick Mahomes,Chiefs,JuJu Smith-Schuster,Saquon Barkley,Travis Kelce,Xavier Worthy
DeVonta Smith,Dallas Goedert,Jake Elliott,Jalen Hurts,Kareem Hunt,Patrick Mahomes
DeVonta Smith,Dallas Goedert,Isiah Pacheco,Jake Elliott,Jalen Hurts,Patrick Mahomes
Saquon Barkley,DeVonta Smith,Jake Elliott,Johnny Wilson,Travis Kelce,Xavier Worthy
Saquon Barkley,DeVonta Smith,Grant Calcaterra,Jake Elliott,Travis Kelce,Xavier Worthy
