CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Xavier Worthy,Jake Elliott,Jalen Hurts,Johnny Wilson,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Carson Steele,Jake Elliott,Jalen Hurts,Patrick Mahomes,Saquon Barkley
Jalen Hurts,A.J. Brown,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Eagles,Nikko Remigio,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Jalen Hurts,Eagles,Parris Campbell,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Jalen Hurts,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Travis Kelce,Xavier Worthy
Xavier Worthy,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Samaje Perine,Travis Kelce
Dallas Goedert,DeVonta Smith,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Dallas Goedert,Hollywood Brown,Jake Elliott,Patrick Mahomes,Xavier Worthy
Dallas Goedert,DeVonta Smith,Eagles,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,A.J. Brown,Dallas Goedert,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Jalen Hurts,Jahan Dotson,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Xavier Worthy,Jalen Hurts,JuJu Smith-Schuster,Noah Gray,Patrick Mahomes,Saquon Barkley
Jalen Hurts,Dallas Goedert,DeVonta Smith,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Dallas Goedert,Harrison Butker,Jake Elliott,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Hollywood Brown,Jalen Hurts,Nikko Remigio,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Hollywood Brown,Jalen Hurts,Johnny Wilson,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Peyton Hendershot,Saquon Barkley
Xavier Worthy,Carson Steele,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Hollywood Brown,Jalen Hurts,Khari Blasingame,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Hollywood Brown,Jalen Hurts,Parris Campbell,Patrick Mahomes,Saquon Barkley
Xavier Worthy,E.J. Jenkins,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Saquon Barkley
Xavier Worthy,A.J. Brown,Dallas Goedert,Jalen Hurts,Patrick Mahomes,Samaje Perine
Xavier Worthy,Dallas Goedert,Jahan Dotson,Jalen Hurts,Patrick Mahomes,Travis Kelce
Jalen Hurts,Jahan Dotson,Noah Gray,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Xavier Worthy,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Travis Kelce
Jalen Hurts,Dallas Goedert,DeVonta Smith,Noah Gray,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeVonta Smith,Patrick Mahomes,Samaje Perine,Xavier Worthy
Xavier Worthy,Dallas Goedert,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Travis Kelce
Xavier Worthy,Eagles,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Travis Kelce
Xavier Worthy,Jake Elliott,Patrick Mahomes,Samaje Perine,Saquon Barkley,Travis Kelce
Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Samaje Perine,Saquon Barkley,Xavier Worthy
Jalen Hurts,A.J. Brown,Dallas Goedert,Justin Watson,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Dallas Goedert,Hollywood Brown,Jake Elliott,Patrick Mahomes,Saquon Barkley
