CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Xavier Worthy,Dallas Goedert,DeVonta Smith,Eagles,Jalen Hurts,Patrick Mahomes
DeVonta Smith,Dallas Goedert,Eagles,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Harrison Butker,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Dallas Goedert,Eagles,Jalen Hurts,Kareem Hunt,Patrick Mahomes
Eagles,Dallas Goedert,Jalen Hurts,Patrick Mahomes,Travis Kelce,Xavier Worthy
Jalen Hurts,Dallas Goedert,Harrison Butker,Jake Elliott,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Dallas Goedert,DeVonta Smith,Jalen Hurts,Noah Gray,Xavier Worthy
DeVonta Smith,A.J. Brown,Dallas Goedert,Eagles,Jalen Hurts,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Hollywood Brown,Jalen Hurts,Noah Gray,Xavier Worthy
Patrick Mahomes,Dallas Goedert,DeVonta Smith,Jake Elliott,Travis Kelce,Xavier Worthy
Xavier Worthy,Dallas Goedert,Eagles,Hollywood Brown,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Dallas Goedert,Eagles,Harrison Butker,Jalen Hurts,Saquon Barkley
Patrick Mahomes,Dallas Goedert,Jahan Dotson,Jalen Hurts,Travis Kelce,Xavier Worthy
Xavier Worthy,Dallas Goedert,Harrison Butker,Jake Elliott,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Dallas Goedert,Eagles,Harrison Butker,Patrick Mahomes,Saquon Barkley
Hollywood Brown,Dallas Goedert,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Jalen Hurts,A.J. Brown,Dallas Goedert,Harrison Butker,Jake Elliott,Xavier Worthy
Xavier Worthy,DeVonta Smith,Harrison Butker,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
JuJu Smith-Schuster,Dallas Goedert,Jalen Hurts,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Hollywood Brown,Jalen Hurts,JuJu Smith-Schuster,Xavier Worthy
Travis Kelce,Dallas Goedert,DeVonta Smith,Jake Elliott,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Dallas Goedert,Eagles,Jalen Hurts,JuJu Smith-Schuster,Xavier Worthy
A.J. Brown,Dallas Goedert,Eagles,Jake Elliott,Jalen Hurts,Patrick Mahomes
Dallas Goedert,DeVonta Smith,Harrison Butker,Jalen Hurts,Patrick Mahomes,Xavier Worthy
A.J. Brown,Harrison Butker,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Dallas Goedert,DeVonta Smith,Harrison Butker,Jalen Hurts,Travis Kelce
Travis Kelce,Dallas Goedert,DeVonta Smith,Eagles,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Eagles,Harrison Butker,Saquon Barkley,Xavier Worthy
Harrison Butker,Dallas Goedert,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Harrison Butker,Hollywood Brown,Jalen Hurts,Xavier Worthy
Saquon Barkley,Chiefs,Dallas Goedert,Eagles,Patrick Mahomes,Xavier Worthy
Travis Kelce,Dallas Goedert,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Harrison Butker,JuJu Smith-Schuster,Saquon Barkley,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Jake Elliott,Jalen Hurts,JuJu Smith-Schuster,Saquon Barkley
DeVonta Smith,A.J. Brown,Dallas Goedert,Harrison Butker,Jalen Hurts,Xavier Worthy
Jalen Hurts,Dallas Goedert,Jake Elliott,Patrick Mahomes,Samaje Perine,Saquon Barkley
Patrick Mahomes,Dallas Goedert,Harrison Butker,Jake Elliott,Travis Kelce,Xavier Worthy
Kareem Hunt,Dallas Goedert,Eagles,Jalen Hurts,Saquon Barkley,Xavier Worthy
Saquon Barkley,DeVonta Smith,Eagles,Isiah Pacheco,Jake Elliott,Jalen Hurts
Patrick Mahomes,A.J. Brown,Dallas Goedert,JuJu Smith-Schuster,Travis Kelce,Xavier Worthy
Eagles,Dallas Goedert,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Saquon Barkley
DeVonta Smith,Dallas Goedert,Harrison Butker,Jalen Hurts,Travis Kelce,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Johnny Wilson,Saquon Barkley,Travis Kelce,Xavier Worthy
Jake Elliott,A.J. Brown,Dallas Goedert,Jalen Hurts,Kareem Hunt,Patrick Mahomes
Saquon Barkley,A.J. Brown,Eagles,Jake Elliott,Jalen Hurts,Noah Gray
Jalen Hurts,A.J. Brown,Dallas Goedert,DeVonta Smith,Patrick Mahomes,Samaje Perine
A.J. Brown,Eagles,Jake Elliott,Jalen Hurts,Noah Gray,Saquon Barkley
Dallas Goedert,Harrison Butker,Jalen Hurts,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Dallas Goedert,Eagles,Jalen Hurts,Patrick Mahomes,Samaje Perine
Saquon Barkley,A.J. Brown,Chiefs,Dallas Goedert,Eagles,Xavier Worthy
Travis Kelce,A.J. Brown,Jake Elliott,Jalen Hurts,Patrick Mahomes,Samaje Perine
A.J. Brown,Chiefs,Dallas Goedert,Eagles,Jalen Hurts,Patrick Mahomes
Patrick Mahomes,Dallas Goedert,Harrison Butker,Jake Elliott,Jalen Hurts,Travis Kelce
