CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Jalen Hurts,A.J. Brown,DeVonta Smith,Eagles,Jake Elliott,Xavier Worthy
Xavier Worthy,DeVonta Smith,Eagles,Jake Elliott,Jalen Hurts,Travis Kelce
Xavier Worthy,A.J. Brown,Dallas Goedert,Eagles,Jake Elliott,Jalen Hurts
Xavier Worthy,Chiefs,DeVonta Smith,Eagles,Patrick Mahomes,Saquon Barkley
Xavier Worthy,A.J. Brown,DeVonta Smith,Eagles,Harrison Butker,Jalen Hurts
Saquon Barkley,DeVonta Smith,Jahan Dotson,Jake Elliott,Patrick Mahomes,Xavier Worthy
A.J. Brown,Dallas Goedert,Eagles,Jake Elliott,Jalen Hurts,Xavier Worthy
Xavier Worthy,A.J. Brown,Jake Elliott,Jalen Hurts,Samaje Perine,Travis Kelce
Saquon Barkley,DeVonta Smith,Jake Elliott,Jalen Hurts,Samaje Perine,Xavier Worthy
Jalen Hurts,DeVonta Smith,Eagles,Isiah Pacheco,Travis Kelce,Xavier Worthy
Jake Elliott,DeVonta Smith,Harrison Butker,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Jalen Hurts,DeVonta Smith,Harrison Butker,Jake Elliott,Travis Kelce,Xavier Worthy
DeVonta Smith,A.J. Brown,Eagles,Jalen Hurts,Kareem Hunt,Xavier Worthy
Xavier Worthy,A.J. Brown,DeAndre Hopkins,Justin Watson,Patrick Mahomes,Saquon Barkley
DeVonta Smith,A.J. Brown,Harrison Butker,Jake Elliott,Jalen Hurts,Xavier Worthy
Xavier Worthy,A.J. Brown,Hollywood Brown,Jake Elliott,Jalen Hurts,Kareem Hunt
A.J. Brown,DeVonta Smith,Harrison Butker,Jake Elliott,Jalen Hurts,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeVonta Smith,Eagles,Kareem Hunt,Xavier Worthy
Saquon Barkley,DeVonta Smith,Eagles,Patrick Mahomes,Samaje Perine,Xavier Worthy
Xavier Worthy,Dallas Goedert,Hollywood Brown,Jalen Hurts,Kareem Hunt,Patrick Mahomes
Jalen Hurts,Dallas Goedert,Jake Elliott,Samaje Perine,Saquon Barkley,Xavier Worthy
Xavier Worthy,Dallas Goedert,Eagles,Harrison Butker,Patrick Mahomes,Saquon Barkley
Kareem Hunt,A.J. Brown,DeVonta Smith,Jake Elliott,Jalen Hurts,Xavier Worthy
Isiah Pacheco,DeVonta Smith,Jake Elliott,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Dallas Goedert,DeAndre Hopkins,Jake Elliott,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Harrison Butker,DeVonta Smith,Eagles,Jalen Hurts,Saquon Barkley,Xavier Worthy
Xavier Worthy,Chiefs,DeVonta Smith,Jalen Hurts,Kareem Hunt,Travis Kelce
Jalen Hurts,Dallas Goedert,Jake Elliott,Kareem Hunt,Travis Kelce,Xavier Worthy
Saquon Barkley,Dallas Goedert,Jake Elliott,Jalen Hurts,Noah Gray,Xavier Worthy
A.J. Brown,Chiefs,Eagles,Jalen Hurts,Travis Kelce,Xavier Worthy
Jalen Hurts,A.J. Brown,DeAndre Hopkins,Samaje Perine,Travis Kelce,Xavier Worthy
A.J. Brown,Grant Calcaterra,Jake Elliott,Jalen Hurts,Travis Kelce,Xavier Worthy
Xavier Worthy,A.J. Brown,Jalen Hurts,JuJu Smith-Schuster,Kareem Hunt,Travis Kelce
Xavier Worthy,A.J. Brown,Harrison Butker,Patrick Mahomes,Samaje Perine,Saquon Barkley
Saquon Barkley,Chiefs,Eagles,Hollywood Brown,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Hollywood Brown,Jake Elliott,Patrick Mahomes,Samaje Perine,Xavier Worthy
Xavier Worthy,A.J. Brown,Chiefs,Harrison Butker,Jalen Hurts,Travis Kelce
Saquon Barkley,A.J. Brown,Jahan Dotson,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Dallas Goedert,Eagles,Grant Calcaterra,Patrick Mahomes,Xavier Worthy
Dallas Goedert,Harrison Butker,Jake Elliott,Jalen Hurts,Saquon Barkley,Xavier Worthy
