CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Xavier Worthy,A.J. Brown,DeVonta Smith,Eagles,Jake Elliott,Jalen Hurts
Xavier Worthy,DeVonta Smith,Hollywood Brown,Jake Elliott,Jalen Hurts,Patrick Mahomes
Xavier Worthy,Jake Elliott,Jalen Hurts,Justin Watson,Patrick Mahomes,Saquon Barkley
Eagles,DeVonta Smith,Jake Elliott,Jalen Hurts,Saquon Barkley,Xavier Worthy
Eagles,DeVonta Smith,Isiah Pacheco,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Jake Elliott,Jalen Hurts,Samaje Perine,Travis Kelce,Xavier Worthy
Jalen Hurts,DeVonta Smith,Hollywood Brown,Jahan Dotson,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeVonta Smith,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Hollywood Brown,Jalen Hurts,Nikko Remigio,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,Dallas Goedert,DeVonta Smith,Jalen Hurts,JuJu Smith-Schuster,Xavier Worthy
Jalen Hurts,DeVonta Smith,JuJu Smith-Schuster,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeVonta Smith,Noah Gray,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Isiah Pacheco,Jalen Hurts,Johnny Wilson,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Harrison Butker,Jalen Hurts,Justin Watson,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Jalen Hurts,Noah Gray,Patrick Mahomes,Samaje Perine,Saquon Barkley
Xavier Worthy,A.J. Brown,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Samaje Perine
Eagles,DeVonta Smith,Jalen Hurts,Kenneth Gainwell,Saquon Barkley,Xavier Worthy
Jalen Hurts,A.J. Brown,Dallas Goedert,Justin Watson,Patrick Mahomes,Xavier Worthy
DeVonta Smith,A.J. Brown,Jake Elliott,Jalen Hurts,Kenneth Gainwell,Xavier Worthy
Xavier Worthy,Dallas Goedert,Isiah Pacheco,Jake Elliott,Patrick Mahomes,Saquon Barkley
Jalen Hurts,DeVonta Smith,Harrison Butker,Noah Gray,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,A.J. Brown,Hollywood Brown,Jalen Hurts,Justin Watson,Xavier Worthy
Hollywood Brown,Eagles,Jalen Hurts,Patrick Mahomes,Travis Kelce,Xavier Worthy
Jalen Hurts,Eagles,Grant Calcaterra,Saquon Barkley,Travis Kelce,Xavier Worthy
Jalen Hurts,Dallas Goedert,Jake Elliott,Kenneth Gainwell,Saquon Barkley,Xavier Worthy
DeVonta Smith,Hollywood Brown,Jalen Hurts,Noah Gray,Patrick Mahomes,Xavier Worthy
Xavier Worthy,A.J. Brown,Dallas Goedert,DeVonta Smith,Jalen Hurts,Kenneth Gainwell
DeVonta Smith,Harrison Butker,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Eagles,Dallas Goedert,Jake Elliott,Jalen Hurts,Patrick Mahomes,Saquon Barkley
Jalen Hurts,Carson Steele,DeVonta Smith,Jake Elliott,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,Jake Elliott,Samaje Perine,Saquon Barkley,Travis Kelce,Xavier Worthy
Xavier Worthy,Chiefs,Hollywood Brown,Jalen Hurts,Kareem Hunt,Patrick Mahomes
Saquon Barkley,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Samaje Perine,Xavier Worthy
