CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Xavier Worthy,A.J. Brown,DeVonta Smith,Jalen Hurts,Justin Watson,Patrick Mahomes
Jake Elliott,DeVonta Smith,Jalen Hurts,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeVonta Smith,Noah Gray,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Harrison Butker,Jake Elliott,Jalen Hurts,Kareem Hunt,Xavier Worthy
Saquon Barkley,Jahan Dotson,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Dallas Goedert,DeVonta Smith,Jake Elliott,Travis Kelce,Xavier Worthy
Noah Gray,A.J. Brown,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Dallas Goedert,Hollywood Brown,Jalen Hurts,Kareem Hunt,Patrick Mahomes
Saquon Barkley,Jalen Hurts,Justin Watson,Noah Gray,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Dallas Goedert,DeAndre Hopkins,DeVonta Smith,Travis Kelce,Xavier Worthy
Harrison Butker,A.J. Brown,DeAndre Hopkins,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Jalen Hurts,Patrick Mahomes,Samaje Perine,Will Shipley,Xavier Worthy
Jake Elliott,A.J. Brown,Jalen Hurts,Justin Watson,Patrick Mahomes,Saquon Barkley
Saquon Barkley,DeAndre Hopkins,Jake Elliott,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Saquon Barkley,DeVonta Smith,Hollywood Brown,Jalen Hurts,Justin Watson,Xavier Worthy
Saquon Barkley,Dallas Goedert,DeVonta Smith,Jalen Hurts,Johnny Wilson,Xavier Worthy
Kareem Hunt,DeVonta Smith,Jake Elliott,Patrick Mahomes,Travis Kelce,Xavier Worthy
DeVonta Smith,A.J. Brown,Dallas Goedert,Harrison Butker,Jalen Hurts,Xavier Worthy
Jalen Hurts,A.J. Brown,Grant Calcaterra,Jake Elliott,Patrick Mahomes,Travis Kelce
Saquon Barkley,DeAndre Hopkins,Jake Elliott,Jalen Hurts,Patrick Mahomes,Will Shipley
Saquon Barkley,DeVonta Smith,Hollywood Brown,Patrick Mahomes,Samaje Perine,Xavier Worthy
Saquon Barkley,DeVonta Smith,Grant Calcaterra,Hollywood Brown,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Eagles,Isiah Pacheco,Jalen Hurts,Patrick Mahomes,Travis Kelce
Xavier Worthy,Dallas Goedert,Kareem Hunt,Kenneth Gainwell,Patrick Mahomes,Saquon Barkley
Dallas Goedert,DeAndre Hopkins,Eagles,Jalen Hurts,Patrick Mahomes,Saquon Barkley
Jake Elliott,A.J. Brown,Jalen Hurts,Kenneth Gainwell,Patrick Mahomes,Travis Kelce
Saquon Barkley,Jahan Dotson,Jalen Hurts,Noah Gray,Travis Kelce,Xavier Worthy
Saquon Barkley,Chiefs,Eagles,Jahan Dotson,Jalen Hurts,Patrick Mahomes
Jalen Hurts,Dallas Goedert,DeAndre Hopkins,DeVonta Smith,Kareem Hunt,Patrick Mahomes
Jalen Hurts,Dallas Goedert,DeAndre Hopkins,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
Saquon Barkley,DeVonta Smith,Jahan Dotson,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Kareem Hunt,DeAndre Hopkins,DeVonta Smith,Patrick Mahomes,Travis Kelce,Xavier Worthy
Patrick Mahomes,Harrison Butker,Jake Elliott,Jalen Hurts,Noah Gray,Saquon Barkley
Patrick Mahomes,A.J. Brown,Harrison Butker,Isiah Pacheco,Jake Elliott,Jalen Hurts
Saquon Barkley,Jahan Dotson,Kenneth Gainwell,Patrick Mahomes,Travis Kelce,Xavier Worthy
Saquon Barkley,Chiefs,Eagles,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
DeVonta Smith,Dallas Goedert,Jalen Hurts,Justin Watson,Patrick Mahomes,Saquon Barkley
Hollywood Brown,A.J. Brown,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Xavier Worthy
