CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Xavier Worthy,DeVonta Smith,Hollywood Brown,Jake Elliott,Jalen Hurts,Patrick Mahomes
A.J. Brown,DeVonta Smith,Eagles,Jake Elliott,Jalen Hurts,Xavier Worthy
Saquon Barkley,DeAndre Hopkins,Eagles,Jake Elliott,Jalen Hurts,Xavier Worthy
Jalen Hurts,Eagles,Hollywood Brown,Jake Elliott,Saquon Barkley,Xavier Worthy
Xavier Worthy,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Samaje Perine,Travis Kelce
Xavier Worthy,A.J. Brown,Dallas Goedert,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Xavier Worthy,A.J. Brown,Hollywood Brown,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Xavier Worthy,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Travis Kelce
Saquon Barkley,DeVonta Smith,Eagles,Jalen Hurts,JuJu Smith-Schuster,Xavier Worthy
Xavier Worthy,Dallas Goedert,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Travis Kelce
Xavier Worthy,Dallas Goedert,Hollywood Brown,Jake Elliott,Patrick Mahomes,Saquon Barkley
DeVonta Smith,Jalen Hurts,Patrick Mahomes,Samaje Perine,Travis Kelce,Xavier Worthy
Xavier Worthy,Dallas Goedert,Jalen Hurts,Noah Gray,Patrick Mahomes,Travis Kelce
Saquon Barkley,Eagles,Harrison Butker,Jake Elliott,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Hollywood Brown,Jake Elliott,Travis Kelce,Xavier Worthy
Xavier Worthy,Dallas Goedert,Hollywood Brown,Jalen Hurts,Kareem Hunt,Patrick Mahomes
Xavier Worthy,Harrison Butker,Hollywood Brown,Jake Elliott,Patrick Mahomes,Saquon Barkley
DeVonta Smith,Harrison Butker,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Jake Elliott,Samaje Perine,Saquon Barkley,Travis Kelce,Xavier Worthy
Saquon Barkley,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Samaje Perine,Xavier Worthy
Patrick Mahomes,Hollywood Brown,Jalen Hurts,JuJu Smith-Schuster,Travis Kelce,Xavier Worthy
Dallas Goedert,DeVonta Smith,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Hollywood Brown,Dallas Goedert,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Dallas Goedert,Harrison Butker,Jalen Hurts,Kareem Hunt,Patrick Mahomes
Patrick Mahomes,Dallas Goedert,Jalen Hurts,Samaje Perine,Travis Kelce,Xavier Worthy
Patrick Mahomes,Harrison Butker,Jalen Hurts,JuJu Smith-Schuster,Travis Kelce,Xavier Worthy
A.J. Brown,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Samaje Perine,Xavier Worthy
Jalen Hurts,DeVonta Smith,Eagles,Hollywood Brown,Jake Elliott,Saquon Barkley
Dallas Goedert,DeVonta Smith,Harrison Butker,Jalen Hurts,Patrick Mahomes,Xavier Worthy
A.J. Brown,Harrison Butker,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Saquon Barkley,A.J. Brown,Eagles,Hollywood Brown,Jake Elliott,Xavier Worthy
Eagles,DeVonta Smith,Jake Elliott,Jalen Hurts,Saquon Barkley,Travis Kelce
Saquon Barkley,Carson Steele,Jake Elliott,Patrick Mahomes,Travis Kelce,Xavier Worthy
Saquon Barkley,Jake Elliott,Johnny Wilson,Patrick Mahomes,Travis Kelce,Xavier Worthy
Saquon Barkley,Jake Elliott,Patrick Mahomes,Peyton Hendershot,Travis Kelce,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Harrison Butker,Hollywood Brown,Jalen Hurts,Xavier Worthy
Travis Kelce,Dallas Goedert,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Travis Kelce,Eagles,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Saquon Barkley,A.J. Brown,Eagles,Harrison Butker,Jake Elliott,Xavier Worthy
Xavier Worthy,Dallas Goedert,Patrick Mahomes,Samaje Perine,Saquon Barkley,Travis Kelce
Saquon Barkley,Dallas Goedert,Eagles,Jake Elliott,Travis Kelce,Xavier Worthy
Travis Kelce,Jake Elliott,Patrick Mahomes,Samaje Perine,Saquon Barkley,Xavier Worthy
Saquon Barkley,Hollywood Brown,Jake Elliott,Noah Gray,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Hollywood Brown,Patrick Mahomes,Samaje Perine,Saquon Barkley,Travis Kelce
Saquon Barkley,Eagles,Hollywood Brown,Jake Elliott,Travis Kelce,Xavier Worthy
Xavier Worthy,Harrison Butker,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Travis Kelce
Xavier Worthy,DeVonta Smith,Harrison Butker,Kareem Hunt,Patrick Mahomes,Travis Kelce
Travis Kelce,Dallas Goedert,Jalen Hurts,Patrick Mahomes,Samaje Perine,Xavier Worthy
Saquon Barkley,DeVonta Smith,Eagles,Isiah Pacheco,Jake Elliott,Jalen Hurts
Travis Kelce,A.J. Brown,DeVonta Smith,Eagles,Jake Elliott,Jalen Hurts
Eagles,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Travis Kelce
Patrick Mahomes,DeAndre Hopkins,Harrison Butker,Hollywood Brown,Saquon Barkley,Xavier Worthy
Jalen Hurts,A.J. Brown,DeVonta Smith,Eagles,Samaje Perine,Saquon Barkley
Xavier Worthy,Harrison Butker,Patrick Mahomes,Samaje Perine,Saquon Barkley,Travis Kelce
Saquon Barkley,Eagles,Harrison Butker,Jake Elliott,Travis Kelce,Xavier Worthy
Saquon Barkley,DeVonta Smith,Eagles,Harrison Butker,Jake Elliott,Jalen Hurts
Saquon Barkley,A.J. Brown,Eagles,Jake Elliott,Jalen Hurts,JuJu Smith-Schuster
A.J. Brown,Chiefs,Eagles,Jake Elliott,Jalen Hurts,Saquon Barkley
Patrick Mahomes,DeVonta Smith,Harrison Butker,Hollywood Brown,Travis Kelce,Xavier Worthy
Patrick Mahomes,A.J. Brown,Hollywood Brown,JuJu Smith-Schuster,Travis Kelce,Xavier Worthy
Saquon Barkley,A.J. Brown,Eagles,Jake Elliott,Jalen Hurts,Noah Gray
Hollywood Brown,DeVonta Smith,Jake Elliott,Jalen Hurts,Patrick Mahomes,Travis Kelce
Patrick Mahomes,A.J. Brown,JuJu Smith-Schuster,Kareem Hunt,Travis Kelce,Xavier Worthy
A.J. Brown,Jake Elliott,Jalen Hurts,Patrick Mahomes,Samaje Perine,Travis Kelce
Saquon Barkley,Eagles,Hollywood Brown,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Saquon Barkley,Hollywood Brown,Jake Elliott,Jalen Hurts,Patrick Mahomes,Samaje Perine
Jalen Hurts,Dallas Goedert,DeVonta Smith,JuJu Smith-Schuster,Patrick Mahomes,Travis Kelce
Saquon Barkley,A.J. Brown,Eagles,Samaje Perine,Travis Kelce,Xavier Worthy
Patrick Mahomes,Dallas Goedert,DeVonta Smith,Jalen Hurts,JuJu Smith-Schuster,Travis Kelce
Saquon Barkley,Eagles,Jake Elliott,Jalen Hurts,Noah Gray,Travis Kelce
Patrick Mahomes,DeVonta Smith,Hollywood Brown,Jalen Hurts,JuJu Smith-Schuster,Travis Kelce
Saquon Barkley,Eagles,Jake Elliott,Jalen Hurts,Kenneth Gainwell,Travis Kelce
Jalen Hurts,Dallas Goedert,DeVonta Smith,Eagles,Harrison Butker,Saquon Barkley
Saquon Barkley,Dallas Goedert,Eagles,Hollywood Brown,Jake Elliott,Jalen Hurts
A.J. Brown,Harrison Butker,Hollywood Brown,Jake Elliott,Jalen Hurts,Patrick Mahomes
Travis Kelce,Dallas Goedert,DeVonta Smith,Harrison Butker,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Dallas Goedert,Eagles,Jake Elliott,Jalen Hurts,Kareem Hunt
Dallas Goedert,Eagles,Jake Elliott,Jalen Hurts,Saquon Barkley,Travis Kelce
DeVonta Smith,A.J. Brown,Eagles,Hollywood Brown,Jalen Hurts,Travis Kelce
A.J. Brown,Chiefs,DeVonta Smith,Jake Elliott,Jalen Hurts,Travis Kelce
Hollywood Brown,DeVonta Smith,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,Dallas Goedert,Hollywood Brown,Kareem Hunt,Travis Kelce,Xavier Worthy
Patrick Mahomes,Dallas Goedert,DeAndre Hopkins,Hollywood Brown,Jalen Hurts,Travis Kelce
DeVonta Smith,A.J. Brown,Harrison Butker,Jake Elliott,Jalen Hurts,Travis Kelce
Saquon Barkley,Dallas Goedert,Eagles,Harrison Butker,Jake Elliott,Jalen Hurts
