CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Eagles,DeVonta Smith,Jake Elliott,Jalen Hurts,Saquon Barkley,Xavier Worthy
Xavier Worthy,A.J. Brown,Eagles,Jalen Hurts,Noah Gray,Patrick Mahomes
Eagles,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Xavier Worthy,A.J. Brown,DeAndre Hopkins,Jalen Hurts,Kenneth Gainwell,Patrick Mahomes
Xavier Worthy,DeVonta Smith,Jake Elliott,Noah Gray,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Dallas Goedert,DeAndre Hopkins,Jake Elliott,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Jahan Dotson,Jalen Hurts,Noah Gray,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Dallas Goedert,DeVonta Smith,Jalen Hurts,Kenneth Gainwell,Patrick Mahomes
Eagles,Dallas Goedert,Jake Elliott,Jalen Hurts,Saquon Barkley,Xavier Worthy
Xavier Worthy,DeVonta Smith,Jalen Hurts,Kareem Hunt,Noah Gray,Patrick Mahomes
Xavier Worthy,Dallas Goedert,Jahan Dotson,Jalen Hurts,Patrick Mahomes,Travis Kelce
DeAndre Hopkins,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Saquon Barkley,Eagles,Jake Elliott,Jalen Hurts,Noah Gray,Xavier Worthy
Saquon Barkley,Eagles,Jake Elliott,Jalen Hurts,Kenneth Gainwell,Xavier Worthy
JuJu Smith-Schuster,A.J. Brown,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Chiefs,Eagles,Jake Elliott,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Eagles,Jake Elliott,Noah Gray,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Dallas Goedert,DeAndre Hopkins,Hollywood Brown,Jalen Hurts,Xavier Worthy
Xavier Worthy,Chiefs,Eagles,Kareem Hunt,Patrick Mahomes,Saquon Barkley
DeVonta Smith,Jalen Hurts,Kareem Hunt,Noah Gray,Patrick Mahomes,Xavier Worthy
Eagles,Hollywood Brown,Jake Elliott,Jalen Hurts,Patrick Mahomes,Saquon Barkley
Noah Gray,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Travis Kelce,Xavier Worthy
Saquon Barkley,DeVonta Smith,Eagles,Jake Elliott,Kareem Hunt,Xavier Worthy
Xavier Worthy,Chiefs,Dallas Goedert,DeAndre Hopkins,Patrick Mahomes,Saquon Barkley
JuJu Smith-Schuster,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Saquon Barkley,Eagles,Jake Elliott,Jalen Hurts,Patrick Mahomes,Samaje Perine
Samaje Perine,A.J. Brown,Jalen Hurts,Patrick Mahomes,Travis Kelce,Xavier Worthy
Saquon Barkley,Eagles,Jalen Hurts,JuJu Smith-Schuster,Kareem Hunt,Xavier Worthy
DeVonta Smith,Eagles,Jalen Hurts,Patrick Mahomes,Samaje Perine,Saquon Barkley
Saquon Barkley,Eagles,Hollywood Brown,Jalen Hurts,Noah Gray,Xavier Worthy
Hollywood Brown,A.J. Brown,Jalen Hurts,Noah Gray,Patrick Mahomes,Xavier Worthy
Saquon Barkley,DeAndre Hopkins,Eagles,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Jalen Hurts,A.J. Brown,Eagles,Jake Elliott,Noah Gray,Saquon Barkley
