CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
DeVonta Smith,Eagles,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Harrison Butker,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,DeAndre Hopkins,DeVonta Smith,Jalen Hurts,Noah Gray,Xavier Worthy
Jalen Hurts,Dallas Goedert,Isiah Pacheco,Jake Elliott,Patrick Mahomes,Xavier Worthy
Xavier Worthy,A.J. Brown,Dallas Goedert,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Jalen Hurts,Dallas Goedert,DeVonta Smith,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Dallas Goedert,Eagles,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Peyton Hendershot,Saquon Barkley
Patrick Mahomes,DeVonta Smith,Jalen Hurts,Peyton Hendershot,Travis Kelce,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Jake Elliott,Noah Gray,Saquon Barkley,Xavier Worthy
Patrick Mahomes,Jahan Dotson,Jalen Hurts,Noah Gray,Saquon Barkley,Xavier Worthy
Xavier Worthy,A.J. Brown,Jalen Hurts,Kareem Hunt,Patrick Mahomes,Samaje Perine
Xavier Worthy,A.J. Brown,Harrison Butker,Jalen Hurts,Noah Gray,Patrick Mahomes
Patrick Mahomes,Chiefs,Jalen Hurts,Justin Watson,Saquon Barkley,Xavier Worthy
Saquon Barkley,DeVonta Smith,Jake Elliott,Justin Watson,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Dallas Goedert,DeVonta Smith,Jake Elliott,Travis Kelce,Xavier Worthy
DeVonta Smith,Chiefs,Dallas Goedert,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Eagles,Jake Elliott,Jalen Hurts,Patrick Mahomes,Travis Kelce
Saquon Barkley,DeVonta Smith,Jake Elliott,Patrick Mahomes,Samaje Perine,Xavier Worthy
Patrick Mahomes,Eagles,Jahan Dotson,Saquon Barkley,Travis Kelce,Xavier Worthy
Xavier Worthy,Dallas Goedert,Harrison Butker,Jake Elliott,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,A.J. Brown,Chiefs,Jalen Hurts,Noah Gray,Xavier Worthy
Jalen Hurts,A.J. Brown,Kenneth Gainwell,Noah Gray,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Jalen Hurts,Kareem Hunt,Noah Gray,Patrick Mahomes,Xavier Worthy
Jalen Hurts,A.J. Brown,Grant Calcaterra,Harrison Butker,Patrick Mahomes,Xavier Worthy
Dallas Goedert,DeVonta Smith,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Grant Calcaterra,Jake Elliott,Saquon Barkley,Travis Kelce,Xavier Worthy
Xavier Worthy,Dallas Goedert,Harrison Butker,Jalen Hurts,Kareem Hunt,Patrick Mahomes
Patrick Mahomes,Dallas Goedert,Jalen Hurts,Samaje Perine,Travis Kelce,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Jalen Hurts,Peyton Hendershot,Travis Kelce,Xavier Worthy
Xavier Worthy,A.J. Brown,Hollywood Brown,Justin Watson,Patrick Mahomes,Saquon Barkley
Dallas Goedert,Jalen Hurts,Justin Watson,Patrick Mahomes,Saquon Barkley,Xavier Worthy
A.J. Brown,Jalen Hurts,Justin Watson,Kareem Hunt,Patrick Mahomes,Xavier Worthy
A.J. Brown,Chiefs,Jalen Hurts,Noah Gray,Patrick Mahomes,Xavier Worthy
Dallas Goedert,DeVonta Smith,Harrison Butker,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Eagles,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
Saquon Barkley,Eagles,Jalen Hurts,Peyton Hendershot,Travis Kelce,Xavier Worthy
Jalen Hurts,A.J. Brown,JuJu Smith-Schuster,Noah Gray,Saquon Barkley,Xavier Worthy
Patrick Mahomes,Harrison Butker,Isiah Pacheco,Jake Elliott,Saquon Barkley,Xavier Worthy
Hollywood Brown,Eagles,Jake Elliott,Jalen Hurts,Patrick Mahomes,Saquon Barkley
Travis Kelce,Dallas Goedert,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Harrison Butker,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Jake Elliott,Harrison Butker,Kareem Hunt,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Isiah Pacheco,Grant Calcaterra,Jalen Hurts,Patrick Mahomes,Saquon Barkley,Xavier Worthy
A.J. Brown,DeAndre Hopkins,Grant Calcaterra,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Jalen Hurts,Dallas Goedert,Eagles,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
DeVonta Smith,DeAndre Hopkins,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
