CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Xavier Worthy,DeVonta Smith,Hollywood Brown,Jake Elliott,Jalen Hurts,Patrick Mahomes
Xavier Worthy,Eagles,Jalen Hurts,Patrick Mahomes,Samaje Perine,Saquon Barkley
Xavier Worthy,Dallas Goedert,DeAndre Hopkins,DeVonta Smith,Jalen Hurts,Patrick Mahomes
Jalen Hurts,A.J. Brown,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Xavier Worthy,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Samaje Perine,Travis Kelce
Jalen Hurts,Dallas Goedert,Hollywood Brown,Jake Elliott,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Jake Elliott,Jalen Hurts,Noah Gray,Travis Kelce,Xavier Worthy
Jake Elliott,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Travis Kelce,Xavier Worthy
Patrick Mahomes,Eagles,Hollywood Brown,Jake Elliott,Saquon Barkley,Xavier Worthy
Xavier Worthy,A.J. Brown,Dallas Goedert,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Xavier Worthy,Jalen Hurts,JuJu Smith-Schuster,Noah Gray,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,Hollywood Brown,Jake Elliott,Jalen Hurts,Kareem Hunt,Xavier Worthy
Jalen Hurts,Eagles,Hollywood Brown,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Eagles,Jalen Hurts,Kareem Hunt,Xavier Worthy
Xavier Worthy,A.J. Brown,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Samaje Perine
Jalen Hurts,Harrison Butker,Jake Elliott,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,A.J. Brown,Dallas Goedert,DeVonta Smith,Eagles,Xavier Worthy
Xavier Worthy,Dallas Goedert,Eagles,Hollywood Brown,Jalen Hurts,Saquon Barkley
Xavier Worthy,A.J. Brown,DeAndre Hopkins,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,DeVonta Smith,Hollywood Brown,Jalen Hurts,Noah Gray,Xavier Worthy
Xavier Worthy,Hollywood Brown,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Travis Kelce
Xavier Worthy,Dallas Goedert,Hollywood Brown,Jake Elliott,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Dallas Goedert,Jalen Hurts,Noah Gray,Patrick Mahomes,Travis Kelce
Patrick Mahomes,Jalen Hurts,JuJu Smith-Schuster,Samaje Perine,Saquon Barkley,Xavier Worthy
Jalen Hurts,Noah Gray,Patrick Mahomes,Samaje Perine,Saquon Barkley,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Hollywood Brown,Jake Elliott,Travis Kelce,Xavier Worthy
Jalen Hurts,A.J. Brown,Hollywood Brown,Patrick Mahomes,Samaje Perine,Xavier Worthy
