CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Xavier Worthy,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Samaje Perine,Travis Kelce
Patrick Mahomes,Dallas Goedert,Hollywood Brown,Jake Elliott,Jalen Hurts,Xavier Worthy
Xavier Worthy,A.J. Brown,Dallas Goedert,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Patrick Mahomes,DeAndre Hopkins,Jalen Hurts,Parris Campbell,Saquon Barkley,Xavier Worthy
Patrick Mahomes,DeAndre Hopkins,Jalen Hurts,Johnny Wilson,Saquon Barkley,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeAndre Hopkins,Eagles,Saquon Barkley,Xavier Worthy
Xavier Worthy,Hollywood Brown,Jalen Hurts,Parris Campbell,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Hollywood Brown,Jalen Hurts,Johnny Wilson,Patrick Mahomes,Saquon Barkley
Xavier Worthy,E.J. Jenkins,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,DeVonta Smith,E.J. Jenkins,Jalen Hurts,Travis Kelce,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Jalen Hurts,Nikko Remigio,Travis Kelce,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Jalen Hurts,Khari Blasingame,Travis Kelce,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Jalen Hurts,Peyton Hendershot,Travis Kelce,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Jalen Hurts,Parris Campbell,Travis Kelce,Xavier Worthy
Patrick Mahomes,Carson Steele,DeVonta Smith,Jalen Hurts,Travis Kelce,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Jalen Hurts,Johnny Wilson,Travis Kelce,Xavier Worthy
Jalen Hurts,Jahan Dotson,Noah Gray,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Patrick Mahomes,Jahan Dotson,Jalen Hurts,Noah Gray,Saquon Barkley,Xavier Worthy
Patrick Mahomes,A.J. Brown,Hollywood Brown,Jahan Dotson,Jalen Hurts,Xavier Worthy
Patrick Mahomes,Dallas Goedert,DeVonta Smith,Jalen Hurts,Noah Gray,Xavier Worthy
Xavier Worthy,Dallas Goedert,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Travis Kelce
Patrick Mahomes,Dallas Goedert,DeVonta Smith,Jalen Hurts,Kenneth Gainwell,Xavier Worthy
