CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Xavier Worthy,DeVonta Smith,Hollywood Brown,Jake Elliott,Jalen Hurts,Patrick Mahomes
Xavier Worthy,DeVonta Smith,Eagles,Hollywood Brown,Jalen Hurts,Patrick Mahomes
DeVonta Smith,A.J. Brown,Eagles,Jake Elliott,Jalen Hurts,Xavier Worthy
Xavier Worthy,Chiefs,Eagles,Jalen Hurts,Patrick Mahomes,Travis Kelce
DeVonta Smith,Eagles,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,DeVonta Smith,Grant Calcaterra,Jalen Hurts,Patrick Mahomes,Travis Kelce
Xavier Worthy,Chiefs,DeVonta Smith,Hollywood Brown,Jalen Hurts,Patrick Mahomes
Hollywood Brown,DeVonta Smith,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Jalen Hurts,DeVonta Smith,Hollywood Brown,Jahan Dotson,Patrick Mahomes,Xavier Worthy
DeVonta Smith,DeAndre Hopkins,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Hollywood Brown,DeVonta Smith,Eagles,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Jalen Hurts,DeVonta Smith,Hollywood Brown,Noah Gray,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Jalen Hurts,Justin Watson,Patrick Mahomes,Travis Kelce,Xavier Worthy
Xavier Worthy,DeVonta Smith,Harrison Butker,Jake Elliott,Patrick Mahomes,Travis Kelce
Jalen Hurts,DeVonta Smith,Harrison Butker,Jake Elliott,Travis Kelce,Xavier Worthy
Jalen Hurts,A.J. Brown,Hollywood Brown,Justin Watson,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Grant Calcaterra,Jalen Hurts,Patrick Mahomes,Travis Kelce,Xavier Worthy
Jalen Hurts,A.J. Brown,Grant Calcaterra,Hollywood Brown,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Hollywood Brown,Jalen Hurts,Noah Gray,Patrick Mahomes,Xavier Worthy
Saquon Barkley,DeAndre Hopkins,Eagles,Hollywood Brown,Patrick Mahomes,Xavier Worthy
Hollywood Brown,DeVonta Smith,Eagles,Patrick Mahomes,Saquon Barkley,Xavier Worthy
DeVonta Smith,DeAndre Hopkins,Jake Elliott,Jalen Hurts,Patrick Mahomes,Travis Kelce
Hollywood Brown,Harrison Butker,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Hollywood Brown,Chiefs,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Hollywood Brown,A.J. Brown,Jahan Dotson,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Jalen Hurts,A.J. Brown,DeAndre Hopkins,Hollywood Brown,Jake Elliott,Patrick Mahomes
Jalen Hurts,Dallas Goedert,Harrison Butker,Hollywood Brown,Patrick Mahomes,Xavier Worthy
Travis Kelce,Chiefs,DeVonta Smith,Jake Elliott,Patrick Mahomes,Xavier Worthy
Kareem Hunt,DeVonta Smith,Jake Elliott,Jalen Hurts,Travis Kelce,Xavier Worthy
Jalen Hurts,DeVonta Smith,Jake Elliott,Noah Gray,Patrick Mahomes,Travis Kelce
