CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
DeVonta Smith,Jake Elliott,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Xavier Worthy,DeVonta Smith,Jake Elliott,Jalen Hurts,Kenneth Gainwell,Saquon Barkley
DeVonta Smith,Jake Elliott,Jalen Hurts,Noah Gray,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,DeAndre Hopkins,DeVonta Smith,Jalen Hurts,JuJu Smith-Schuster,Xavier Worthy
Xavier Worthy,DeVonta Smith,Eagles,Jalen Hurts,Kenneth Gainwell,Saquon Barkley
Xavier Worthy,DeVonta Smith,Jahan Dotson,Jalen Hurts,Kareem Hunt,Patrick Mahomes
Xavier Worthy,Jalen Hurts,Kenneth Gainwell,Patrick Mahomes,Samaje Perine,Saquon Barkley
Saquon Barkley,Eagles,Jake Elliott,Jalen Hurts,Kenneth Gainwell,Xavier Worthy
Xavier Worthy,Grant Calcaterra,Jalen Hurts,Noah Gray,Patrick Mahomes,Saquon Barkley
DeVonta Smith,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Xavier Worthy
DeVonta Smith,Eagles,Jalen Hurts,Kenneth Gainwell,Saquon Barkley,Xavier Worthy
Xavier Worthy,Dallas Goedert,Jalen Hurts,Justin Watson,Patrick Mahomes,Travis Kelce
Eagles,A.J. Brown,Jalen Hurts,Kenneth Gainwell,Saquon Barkley,Xavier Worthy
DeVonta Smith,Dallas Goedert,Jalen Hurts,Patrick Mahomes,Samaje Perine,Xavier Worthy
Jalen Hurts,A.J. Brown,DeAndre Hopkins,Johnny Wilson,Saquon Barkley,Xavier Worthy
DeVonta Smith,Harrison Butker,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,A.J. Brown,Jalen Hurts,Noah Gray,Samaje Perine,Xavier Worthy
Jalen Hurts,Dallas Goedert,Eagles,Kenneth Gainwell,Saquon Barkley,Xavier Worthy
Patrick Mahomes,DeAndre Hopkins,Hollywood Brown,Jake Elliott,Travis Kelce,Xavier Worthy
