CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Jalen Hurts,A.J. Brown,DeVonta Smith,Eagles,Jake Elliott,Xavier Worthy
A.J. Brown,DeVonta Smith,Eagles,Jake Elliott,Jalen Hurts,Xavier Worthy
DeVonta Smith,Hollywood Brown,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,A.J. Brown,Dallas Goedert,DeVonta Smith,Jake Elliott,Patrick Mahomes
Xavier Worthy,Chiefs,Dallas Goedert,DeVonta Smith,Jalen Hurts,Patrick Mahomes
Xavier Worthy,Chiefs,DeVonta Smith,Eagles,Patrick Mahomes,Saquon Barkley
Jalen Hurts,A.J. Brown,Chiefs,DeVonta Smith,Jake Elliott,Xavier Worthy
Xavier Worthy,A.J. Brown,Jahan Dotson,Jalen Hurts,Kareem Hunt,Patrick Mahomes
DeVonta Smith,A.J. Brown,Jalen Hurts,Justin Watson,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Chiefs,Eagles,Jalen Hurts,Saquon Barkley,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeVonta Smith,Eagles,Travis Kelce,Xavier Worthy
Jalen Hurts,A.J. Brown,Isiah Pacheco,Jahan Dotson,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Dallas Goedert,DeAndre Hopkins,Jake Elliott,Saquon Barkley,Xavier Worthy
Xavier Worthy,A.J. Brown,Chiefs,Eagles,Jalen Hurts,Travis Kelce
Jalen Hurts,A.J. Brown,Dallas Goedert,Justin Watson,Patrick Mahomes,Xavier Worthy
Samaje Perine,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Xavier Worthy,Chiefs,Dallas Goedert,Jake Elliott,Patrick Mahomes,Saquon Barkley
Jalen Hurts,DeVonta Smith,Harrison Butker,Jake Elliott,Travis Kelce,Xavier Worthy
Saquon Barkley,DeVonta Smith,Eagles,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Dallas Goedert,Eagles,Hollywood Brown,Patrick Mahomes,Saquon Barkley
Noah Gray,A.J. Brown,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Chiefs,Dallas Goedert,Eagles,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,Dallas Goedert,Jahan Dotson,Jalen Hurts,Travis Kelce,Xavier Worthy
A.J. Brown,DeVonta Smith,Harrison Butker,Jake Elliott,Jalen Hurts,Xavier Worthy
Xavier Worthy,Dallas Goedert,Harrison Butker,Jake Elliott,Patrick Mahomes,Saquon Barkley
