CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Patrick Mahomes,DeAndre Hopkins,DeVonta Smith,Jake Elliott,Jalen Hurts,Xavier Worthy
Xavier Worthy,Jake Elliott,Jalen Hurts,Justin Watson,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Dallas Goedert,DeAndre Hopkins,DeVonta Smith,Jalen Hurts,Patrick Mahomes
Patrick Mahomes,Jahan Dotson,Jake Elliott,Jalen Hurts,Travis Kelce,Xavier Worthy
Xavier Worthy,DeVonta Smith,Jalen Hurts,Justin Watson,Patrick Mahomes,Travis Kelce
A.J. Brown,Jake Elliott,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Dallas Goedert,DeAndre Hopkins,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,A.J. Brown,Dallas Goedert,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Xavier Worthy,Dallas Goedert,DeVonta Smith,Jake Elliott,Patrick Mahomes,Travis Kelce
Patrick Mahomes,Chiefs,Jake Elliott,Jalen Hurts,Kareem Hunt,Xavier Worthy
Jake Elliott,Harrison Butker,Jalen Hurts,Patrick Mahomes,Travis Kelce,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Jalen Hurts,Johnny Wilson,Travis Kelce,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Jake Elliott,Noah Gray,Saquon Barkley,Xavier Worthy
A.J. Brown,DeAndre Hopkins,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,A.J. Brown,Jake Elliott,Justin Watson,Saquon Barkley,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Hollywood Brown,Jake Elliott,Travis Kelce,Xavier Worthy
Patrick Mahomes,Grant Calcaterra,Jake Elliott,Saquon Barkley,Travis Kelce,Xavier Worthy
Saquon Barkley,DeAndre Hopkins,DeVonta Smith,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Jalen Hurts,A.J. Brown,DeVonta Smith,Eagles,Noah Gray,Patrick Mahomes
Travis Kelce,Dallas Goedert,DeVonta Smith,Jake Elliott,Patrick Mahomes,Xavier Worthy
A.J. Brown,Jalen Hurts,Justin Watson,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Hollywood Brown,JuJu Smith-Schuster,Saquon Barkley,Xavier Worthy
Jalen Hurts,A.J. Brown,DeVonta Smith,Kareem Hunt,Noah Gray,Xavier Worthy
Xavier Worthy,A.J. Brown,Grant Calcaterra,Isiah Pacheco,Patrick Mahomes,Saquon Barkley
Jake Elliott,DeVonta Smith,Eagles,Patrick Mahomes,Saquon Barkley,Travis Kelce
Jalen Hurts,DeVonta Smith,Eagles,Kenneth Gainwell,Patrick Mahomes,Travis Kelce
Xavier Worthy,Dallas Goedert,Patrick Mahomes,Samaje Perine,Saquon Barkley,Travis Kelce
Jalen Hurts,DeAndre Hopkins,Hollywood Brown,Jake Elliott,Patrick Mahomes,Travis Kelce
Patrick Mahomes,Dallas Goedert,Jake Elliott,Kareem Hunt,Travis Kelce,Xavier Worthy
Travis Kelce,Grant Calcaterra,Jake Elliott,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Jake Elliott,Jalen Hurts,Justin Watson,Patrick Mahomes,Saquon Barkley,Travis Kelce
DeVonta Smith,Harrison Butker,Jalen Hurts,Noah Gray,Saquon Barkley,Xavier Worthy
Eagles,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Travis Kelce
Dallas Goedert,Jalen Hurts,Patrick Mahomes,Travis Kelce,Will Shipley,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeVonta Smith,Harrison Butker,Kareem Hunt,Xavier Worthy
Jalen Hurts,Harrison Butker,JuJu Smith-Schuster,Kareem Hunt,Saquon Barkley,Xavier Worthy
JuJu Smith-Schuster,Jake Elliott,Jalen Hurts,Patrick Mahomes,Saquon Barkley,Travis Kelce
Travis Kelce,Dallas Goedert,Jake Elliott,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Saquon Barkley,DeAndre Hopkins,DeVonta Smith,Eagles,Hollywood Brown,Jalen Hurts
