CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Eagles,A.J. Brown,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Chiefs,DeVonta Smith,Jake Elliott,Jalen Hurts,Patrick Mahomes
Jalen Hurts,Dallas Goedert,Eagles,Jake Elliott,Patrick Mahomes,Xavier Worthy
Xavier Worthy,DeVonta Smith,Eagles,Isiah Pacheco,Jalen Hurts,Patrick Mahomes
Xavier Worthy,Jake Elliott,Jalen Hurts,Khari Blasingame,Patrick Mahomes,Saquon Barkley
Xavier Worthy,DeVonta Smith,Eagles,Harrison Butker,Jalen Hurts,Patrick Mahomes
DeVonta Smith,A.J. Brown,Eagles,Jake Elliott,Jalen Hurts,Xavier Worthy
Xavier Worthy,A.J. Brown,Dallas Goedert,DeVonta Smith,Eagles,Jalen Hurts
DeVonta Smith,Eagles,Isiah Pacheco,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Dallas Goedert,DeVonta Smith,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Xavier Worthy,Dallas Goedert,Harrison Butker,Jake Elliott,Jalen Hurts,Patrick Mahomes
Xavier Worthy,Jahan Dotson,Jalen Hurts,Noah Gray,Patrick Mahomes,Saquon Barkley
Dallas Goedert,DeVonta Smith,Eagles,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,A.J. Brown,DeAndre Hopkins,Jalen Hurts,JuJu Smith-Schuster,Xavier Worthy
Xavier Worthy,Chiefs,DeVonta Smith,Isiah Pacheco,Jalen Hurts,Patrick Mahomes
Xavier Worthy,A.J. Brown,Eagles,Jalen Hurts,Samaje Perine,Saquon Barkley
Saquon Barkley,Eagles,Jake Elliott,Jalen Hurts,JuJu Smith-Schuster,Xavier Worthy
DeVonta Smith,DeAndre Hopkins,Isiah Pacheco,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Chiefs,Eagles,Jake Elliott,Jalen Hurts,Xavier Worthy
DeVonta Smith,A.J. Brown,Carson Steele,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Eagles,Jake Elliott,Jalen Hurts,Noah Gray,Xavier Worthy
DeVonta Smith,Jake Elliott,Jalen Hurts,Noah Gray,Saquon Barkley,Xavier Worthy
Jalen Hurts,DeVonta Smith,Hollywood Brown,Noah Gray,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Eagles,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
DeVonta Smith,A.J. Brown,Dallas Goedert,Eagles,Jalen Hurts,Xavier Worthy
A.J. Brown,DeAndre Hopkins,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Xavier Worthy,A.J. Brown,Grant Calcaterra,Jalen Hurts,Kareem Hunt,Patrick Mahomes
Jalen Hurts,DeVonta Smith,Isiah Pacheco,Noah Gray,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Eagles,Harrison Butker,Hollywood Brown,Jalen Hurts,Xavier Worthy
Eagles,A.J. Brown,Jalen Hurts,JuJu Smith-Schuster,Saquon Barkley,Xavier Worthy
Eagles,DeVonta Smith,Isiah Pacheco,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Dallas Goedert,A.J. Brown,DeVonta Smith,Jake Elliott,Jalen Hurts,Xavier Worthy
Eagles,A.J. Brown,Jalen Hurts,Noah Gray,Saquon Barkley,Xavier Worthy
DeVonta Smith,Chiefs,Isiah Pacheco,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Chiefs,Dallas Goedert,Jalen Hurts,Kareem Hunt,Patrick Mahomes
Saquon Barkley,Jalen Hurts,JuJu Smith-Schuster,Justin Watson,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Jalen Hurts,Kareem Hunt,Noah Gray,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Dallas Goedert,Eagles,Jahan Dotson,Jalen Hurts,Xavier Worthy
A.J. Brown,Chiefs,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Dallas Goedert,Harrison Butker,Isiah Pacheco,Jalen Hurts,Patrick Mahomes
Patrick Mahomes,Eagles,Samaje Perine,Saquon Barkley,Travis Kelce,Xavier Worthy
Patrick Mahomes,Chiefs,Jalen Hurts,Noah Gray,Travis Kelce,Xavier Worthy
Isiah Pacheco,Dallas Goedert,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
