CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Jalen Hurts,Dallas Goedert,Eagles,Jake Elliott,Patrick Mahomes,Xavier Worthy
Jalen Hurts,A.J. Brown,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Jalen Hurts,A.J. Brown,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,A.J. Brown,Jake Elliott,Jalen Hurts,JuJu Smith-Schuster,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Eagles,Harrison Butker,Jalen Hurts,Xavier Worthy
Saquon Barkley,DeAndre Hopkins,Eagles,Jake Elliott,Jalen Hurts,Xavier Worthy
Xavier Worthy,Dallas Goedert,Jake Elliott,Jalen Hurts,Kareem Hunt,Patrick Mahomes
Xavier Worthy,DeVonta Smith,Jalen Hurts,Justin Watson,Patrick Mahomes,Travis Kelce
DeVonta Smith,Harrison Butker,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Samaje Perine,Travis Kelce
Xavier Worthy,Dallas Goedert,Eagles,Jalen Hurts,Kareem Hunt,Patrick Mahomes
Dallas Goedert,DeVonta Smith,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Chiefs,DeVonta Smith,Eagles,Patrick Mahomes,Saquon Barkley
A.J. Brown,Jake Elliott,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Eagles,Harrison Butker,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Jake Elliott,Patrick Mahomes,Travis Kelce,Will Shipley,Xavier Worthy
Jalen Hurts,Chiefs,Dallas Goedert,Jake Elliott,Patrick Mahomes,Xavier Worthy
Dallas Goedert,DeVonta Smith,Eagles,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Jake Elliott,Jalen Hurts,Travis Kelce,Will Shipley,Xavier Worthy
Jalen Hurts,Chiefs,Dallas Goedert,Eagles,Patrick Mahomes,Xavier Worthy
Xavier Worthy,DeVonta Smith,Jalen Hurts,Kareem Hunt,Noah Gray,Patrick Mahomes
Jalen Hurts,Dallas Goedert,Eagles,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Dallas Goedert,Harrison Butker,Jake Elliott,Patrick Mahomes,Xavier Worthy
Xavier Worthy,DeVonta Smith,Jalen Hurts,Kareem Hunt,Nikko Remigio,Patrick Mahomes
Jalen Hurts,Jahan Dotson,Noah Gray,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeVonta Smith,Noah Gray,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Jahan Dotson,Patrick Mahomes,Samaje Perine,Saquon Barkley,Xavier Worthy
Jalen Hurts,Dallas Goedert,Eagles,Harrison Butker,Patrick Mahomes,Xavier Worthy
DeVonta Smith,DeAndre Hopkins,Harrison Butker,Jalen Hurts,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Jalen Hurts,Justin Watson,Patrick Mahomes,Travis Kelce,Xavier Worthy
