CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
DeVonta Smith,Eagles,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Jake Elliott,Jalen Hurts,Johnny Wilson,Patrick Mahomes,Saquon Barkley
Xavier Worthy,DeAndre Hopkins,Jalen Hurts,Johnny Wilson,Patrick Mahomes,Saquon Barkley
DeVonta Smith,Eagles,Isiah Pacheco,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Hollywood Brown,Jake Elliott,Jalen Hurts,Xavier Worthy
Jalen Hurts,Dallas Goedert,Eagles,Hollywood Brown,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Dallas Goedert,DeVonta Smith,Jake Elliott,Patrick Mahomes,Travis Kelce
Jalen Hurts,Dallas Goedert,DeVonta Smith,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Dallas Goedert,Jahan Dotson,Jalen Hurts,Patrick Mahomes,Travis Kelce
Patrick Mahomes,Dallas Goedert,DeVonta Smith,Jalen Hurts,JuJu Smith-Schuster,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeVonta Smith,Noah Gray,Patrick Mahomes,Xavier Worthy
Xavier Worthy,A.J. Brown,Grant Calcaterra,Jalen Hurts,Kareem Hunt,Patrick Mahomes
Xavier Worthy,Harrison Butker,Jalen Hurts,Johnny Wilson,Patrick Mahomes,Saquon Barkley
Xavier Worthy,DeVonta Smith,Jahan Dotson,Jalen Hurts,Kareem Hunt,Saquon Barkley
Jalen Hurts,DeVonta Smith,Grant Calcaterra,Kareem Hunt,Patrick Mahomes,Xavier Worthy
DeVonta Smith,A.J. Brown,Eagles,Jalen Hurts,Kareem Hunt,Xavier Worthy
DeVonta Smith,Jake Elliott,Noah Gray,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Patrick Mahomes,A.J. Brown,Dallas Goedert,Jalen Hurts,Johnny Wilson,Xavier Worthy
Jalen Hurts,A.J. Brown,Eagles,Hollywood Brown,Jake Elliott,Patrick Mahomes
Xavier Worthy,Dallas Goedert,Hollywood Brown,Jalen Hurts,Kareem Hunt,Patrick Mahomes
A.J. Brown,Hollywood Brown,Jahan Dotson,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Dallas Goedert,Justin Watson,Patrick Mahomes,Travis Kelce,Xavier Worthy
A.J. Brown,Jake Elliott,Justin Watson,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Jalen Hurts,Dallas Goedert,Patrick Mahomes,Samaje Perine,Travis Kelce,Xavier Worthy
Dallas Goedert,DeVonta Smith,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Hollywood Brown,Dallas Goedert,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Dallas Goedert,Harrison Butker,Jalen Hurts,Kareem Hunt,Patrick Mahomes
Xavier Worthy,A.J. Brown,DeVonta Smith,Harrison Butker,Isiah Pacheco,Jalen Hurts
Jalen Hurts,Dallas Goedert,JuJu Smith-Schuster,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Jalen Hurts,A.J. Brown,Harrison Butker,Jake Elliott,Kareem Hunt,Xavier Worthy
A.J. Brown,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Samaje Perine,Xavier Worthy
A.J. Brown,Grant Calcaterra,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Dallas Goedert,Kareem Hunt,Noah Gray,Patrick Mahomes,Xavier Worthy
Travis Kelce,Dallas Goedert,Jahan Dotson,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Dallas Goedert,Jalen Hurts,Johnny Wilson,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Saquon Barkley,DeAndre Hopkins,DeVonta Smith,Eagles,Jake Elliott,Patrick Mahomes
Patrick Mahomes,Dallas Goedert,DeVonta Smith,Samaje Perine,Saquon Barkley,Xavier Worthy
A.J. Brown,Hollywood Brown,Jake Elliott,Jalen Hurts,Kareem Hunt,Xavier Worthy
A.J. Brown,Jake Elliott,Kenneth Gainwell,Patrick Mahomes,Travis Kelce,Xavier Worthy
Patrick Mahomes,Hollywood Brown,Jahan Dotson,Jake Elliott,Jalen Hurts,Saquon Barkley
Saquon Barkley,Dallas Goedert,Eagles,Jake Elliott,Travis Kelce,Xavier Worthy
Patrick Mahomes,Dallas Goedert,DeVonta Smith,Hollywood Brown,Jake Elliott,Jalen Hurts
Jalen Hurts,A.J. Brown,DeAndre Hopkins,DeVonta Smith,Noah Gray,Patrick Mahomes
Jalen Hurts,Dallas Goedert,DeVonta Smith,Eagles,Hollywood Brown,Patrick Mahomes
DeVonta Smith,JuJu Smith-Schuster,Kareem Hunt,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Jalen Hurts,Dallas Goedert,Eagles,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
Xavier Worthy,A.J. Brown,Dallas Goedert,Kenneth Gainwell,Patrick Mahomes,Travis Kelce
Patrick Mahomes,Hollywood Brown,Jake Elliott,Jalen Hurts,JuJu Smith-Schuster,Saquon Barkley
DeVonta Smith,Hollywood Brown,Noah Gray,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Hollywood Brown,Dallas Goedert,Jake Elliott,Patrick Mahomes,Saquon Barkley,Xavier Worthy
A.J. Brown,Harrison Butker,Jake Elliott,Jalen Hurts,Kareem Hunt,Xavier Worthy
Dallas Goedert,Jalen Hurts,Kenneth Gainwell,Patrick Mahomes,Travis Kelce,Xavier Worthy
Patrick Mahomes,A.J. Brown,Jake Elliott,Jalen Hurts,Johnny Wilson,Travis Kelce
Xavier Worthy,A.J. Brown,Dallas Goedert,Hollywood Brown,Kareem Hunt,Patrick Mahomes
Saquon Barkley,DeVonta Smith,Eagles,Hollywood Brown,Jake Elliott,Patrick Mahomes
Xavier Worthy,A.J. Brown,Dallas Goedert,Harrison Butker,Jalen Hurts,Kareem Hunt
Patrick Mahomes,A.J. Brown,Dallas Goedert,JuJu Smith-Schuster,Travis Kelce,Xavier Worthy
Dallas Goedert,Hollywood Brown,Jalen Hurts,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Harrison Butker,Johnny Wilson,Saquon Barkley,Travis Kelce,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeAndre Hopkins,DeVonta Smith,Kareem Hunt,Patrick Mahomes
Jalen Hurts,Dallas Goedert,DeVonta Smith,Jahan Dotson,Patrick Mahomes,Travis Kelce
DeVonta Smith,A.J. Brown,Eagles,Jalen Hurts,JuJu Smith-Schuster,Saquon Barkley
