CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Xavier Worthy,A.J. Brown,Jake Elliott,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Xavier Worthy,Dallas Goedert,Eagles,Jake Elliott,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,A.J. Brown,Jake Elliott,Jalen Hurts,Samaje Perine,Xavier Worthy
Xavier Worthy,DeVonta Smith,Jake Elliott,Noah Gray,Patrick Mahomes,Saquon Barkley
Xavier Worthy,A.J. Brown,Dallas Goedert,Jahan Dotson,Jalen Hurts,Patrick Mahomes
Jalen Hurts,DeVonta Smith,Eagles,JuJu Smith-Schuster,Saquon Barkley,Xavier Worthy
Jalen Hurts,Dallas Goedert,Isiah Pacheco,Jake Elliott,Patrick Mahomes,Xavier Worthy
Xavier Worthy,DeVonta Smith,Jalen Hurts,Kareem Hunt,Patrick Mahomes,Samaje Perine
Xavier Worthy,Chiefs,DeVonta Smith,Harrison Butker,Jalen Hurts,Patrick Mahomes
Jalen Hurts,DeVonta Smith,JuJu Smith-Schuster,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Xavier Worthy,DeVonta Smith,Isiah Pacheco,Jake Elliott,Patrick Mahomes,Travis Kelce
Xavier Worthy,Hollywood Brown,Jahan Dotson,Jalen Hurts,Patrick Mahomes,Travis Kelce
Jalen Hurts,Dallas Goedert,DeVonta Smith,Patrick Mahomes,Samaje Perine,Xavier Worthy
Xavier Worthy,Grant Calcaterra,Jalen Hurts,Noah Gray,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Grant Calcaterra,Jake Elliott,Patrick Mahomes,Saquon Barkley,Travis Kelce
Xavier Worthy,A.J. Brown,Harrison Butker,Jalen Hurts,Patrick Mahomes,Samaje Perine
DeVonta Smith,Grant Calcaterra,Jalen Hurts,Patrick Mahomes,Travis Kelce,Xavier Worthy
Travis Kelce,Jake Elliott,Jalen Hurts,Noah Gray,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Dallas Goedert,Jalen Hurts,Patrick Mahomes,Samaje Perine,Travis Kelce
Xavier Worthy,A.J. Brown,Jake Elliott,Noah Gray,Patrick Mahomes,Travis Kelce
DeVonta Smith,Eagles,Jake Elliott,Jalen Hurts,Patrick Mahomes,Travis Kelce
Saquon Barkley,DeVonta Smith,Jake Elliott,Patrick Mahomes,Samaje Perine,Xavier Worthy
