CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
A.J. Brown,DeVonta Smith,Eagles,Jake Elliott,Jalen Hurts,Xavier Worthy
Xavier Worthy,A.J. Brown,Dallas Goedert,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Xavier Worthy,A.J. Brown,Hollywood Brown,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Saquon Barkley,DeVonta Smith,Eagles,Jahan Dotson,Jalen Hurts,Xavier Worthy
DeVonta Smith,A.J. Brown,Jalen Hurts,Patrick Mahomes,Peyton Hendershot,Xavier Worthy
Eagles,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Travis Kelce,Xavier Worthy
Patrick Mahomes,Dallas Goedert,DeVonta Smith,Jalen Hurts,JuJu Smith-Schuster,Xavier Worthy
Xavier Worthy,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Travis Kelce
Saquon Barkley,DeVonta Smith,Jake Elliott,Jalen Hurts,Samaje Perine,Xavier Worthy
Patrick Mahomes,A.J. Brown,Jake Elliott,Justin Watson,Saquon Barkley,Xavier Worthy
Xavier Worthy,Dallas Goedert,Hollywood Brown,Jake Elliott,Patrick Mahomes,Saquon Barkley
Saquon Barkley,Eagles,Harrison Butker,Jake Elliott,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,A.J. Brown,Dallas Goedert,Jalen Hurts,Samaje Perine,Xavier Worthy
Patrick Mahomes,A.J. Brown,Hollywood Brown,Jalen Hurts,Samaje Perine,Xavier Worthy
DeVonta Smith,Harrison Butker,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Jake Elliott,Samaje Perine,Saquon Barkley,Travis Kelce,Xavier Worthy
Saquon Barkley,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Samaje Perine,Xavier Worthy
Patrick Mahomes,Hollywood Brown,Jalen Hurts,JuJu Smith-Schuster,Travis Kelce,Xavier Worthy
Dallas Goedert,DeVonta Smith,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Hollywood Brown,Dallas Goedert,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Jalen Hurts,Samaje Perine,Travis Kelce,Xavier Worthy
Saquon Barkley,DeAndre Hopkins,DeVonta Smith,Eagles,Jake Elliott,Jalen Hurts
A.J. Brown,Dallas Goedert,Jalen Hurts,Patrick Mahomes,Samaje Perine,Xavier Worthy
Jalen Hurts,DeVonta Smith,Eagles,Hollywood Brown,Jake Elliott,Saquon Barkley
Saquon Barkley,Dallas Goedert,Eagles,Jalen Hurts,JuJu Smith-Schuster,Xavier Worthy
Saquon Barkley,Eagles,Jalen Hurts,Peyton Hendershot,Travis Kelce,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Jalen Hurts,JuJu Smith-Schuster,Kareem Hunt,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Hollywood Brown,JuJu Smith-Schuster,Saquon Barkley,Xavier Worthy
Saquon Barkley,A.J. Brown,Eagles,Hollywood Brown,Jake Elliott,Xavier Worthy
Saquon Barkley,Dallas Goedert,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Hollywood Brown,Jalen Hurts,Patrick Mahomes,Samaje Perine,Saquon Barkley,Xavier Worthy
Patrick Mahomes,Dallas Goedert,Harrison Butker,Hollywood Brown,Jalen Hurts,Xavier Worthy
Saquon Barkley,Dallas Goedert,Jake Elliott,Noah Gray,Patrick Mahomes,Xavier Worthy
Travis Kelce,Dallas Goedert,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Travis Kelce,Eagles,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Xavier Worthy,Dallas Goedert,Patrick Mahomes,Samaje Perine,Saquon Barkley,Travis Kelce
Saquon Barkley,Dallas Goedert,Eagles,Jake Elliott,Travis Kelce,Xavier Worthy
Saquon Barkley,Chiefs,Eagles,Hollywood Brown,Patrick Mahomes,Xavier Worthy
DeVonta Smith,Eagles,Hollywood Brown,Jake Elliott,Jalen Hurts,Saquon Barkley
Jalen Hurts,Dallas Goedert,Eagles,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
Saquon Barkley,DeVonta Smith,Eagles,Jake Elliott,Jalen Hurts,JuJu Smith-Schuster
Travis Kelce,Dallas Goedert,Jalen Hurts,Patrick Mahomes,Samaje Perine,Xavier Worthy
Xavier Worthy,A.J. Brown,Dallas Goedert,Isiah Pacheco,Jalen Hurts,Kareem Hunt
Jalen Hurts,A.J. Brown,DeVonta Smith,Jake Elliott,Nikko Remigio,Saquon Barkley
Saquon Barkley,A.J. Brown,Jalen Hurts,JuJu Smith-Schuster,Samaje Perine,Xavier Worthy
