CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Patrick Mahomes,DeAndre Hopkins,DeVonta Smith,Jake Elliott,Jalen Hurts,Xavier Worthy
Jalen Hurts,A.J. Brown,Jahan Dotson,Jake Elliott,Patrick Mahomes,Xavier Worthy
Jalen Hurts,A.J. Brown,Eagles,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,Dallas Goedert,DeAndre Hopkins,Jake Elliott,Jalen Hurts,Xavier Worthy
Jake Elliott,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Jalen Hurts,A.J. Brown,Jake Elliott,Patrick Mahomes,Samaje Perine,Xavier Worthy
Xavier Worthy,A.J. Brown,Jahan Dotson,Jake Elliott,Patrick Mahomes,Saquon Barkley
Xavier Worthy,A.J. Brown,Dallas Goedert,Jahan Dotson,Jalen Hurts,Patrick Mahomes
Xavier Worthy,A.J. Brown,Hollywood Brown,Jahan Dotson,Jalen Hurts,Patrick Mahomes
Xavier Worthy,Jahan Dotson,Jake Elliott,Patrick Mahomes,Saquon Barkley,Travis Kelce
Patrick Mahomes,DeVonta Smith,Hollywood Brown,Jahan Dotson,Jalen Hurts,Xavier Worthy
Xavier Worthy,Chiefs,Jalen Hurts,Patrick Mahomes,Samaje Perine,Saquon Barkley
A.J. Brown,Eagles,Jalen Hurts,Patrick Mahomes,Samaje Perine,Xavier Worthy
Xavier Worthy,Dallas Goedert,Jahan Dotson,Jalen Hurts,Patrick Mahomes,Travis Kelce
Saquon Barkley,DeVonta Smith,Jahan Dotson,Jake Elliott,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeAndre Hopkins,Hollywood Brown,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Jalen Hurts,Kareem Hunt,Noah Gray,Xavier Worthy
Patrick Mahomes,DeVonta Smith,Jalen Hurts,Kareem Hunt,Samaje Perine,Xavier Worthy
