CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Jake Elliott,Eagles,Hollywood Brown,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Jalen Hurts,Jahan Dotson,Patrick Mahomes,Samaje Perine,Saquon Barkley,Xavier Worthy
Jalen Hurts,DeVonta Smith,Grant Calcaterra,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Jalen Hurts,DeVonta Smith,Harrison Butker,Jake Elliott,Travis Kelce,Xavier Worthy
Saquon Barkley,DeVonta Smith,Eagles,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeVonta Smith,Jake Elliott,Kareem Hunt,Xavier Worthy
Saquon Barkley,Chiefs,DeAndre Hopkins,Jake Elliott,Jalen Hurts,Xavier Worthy
Jalen Hurts,Noah Gray,Patrick Mahomes,Samaje Perine,Saquon Barkley,Xavier Worthy
Jalen Hurts,Grant Calcaterra,Noah Gray,Patrick Mahomes,Saquon Barkley,Xavier Worthy
JuJu Smith-Schuster,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Travis Kelce,Xavier Worthy
Saquon Barkley,DeVonta Smith,Eagles,Patrick Mahomes,Will Shipley,Xavier Worthy
Saquon Barkley,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Samaje Perine,Xavier Worthy
Saquon Barkley,DeAndre Hopkins,Eagles,Harrison Butker,Jalen Hurts,Xavier Worthy
Xavier Worthy,Dallas Goedert,DeAndre Hopkins,Hollywood Brown,Patrick Mahomes,Saquon Barkley
JuJu Smith-Schuster,Jalen Hurts,Kareem Hunt,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Patrick Mahomes,Chiefs,Eagles,Kareem Hunt,Saquon Barkley,Xavier Worthy
Jalen Hurts,Dallas Goedert,Jahan Dotson,Jake Elliott,Patrick Mahomes,Saquon Barkley
A.J. Brown,Eagles,Hollywood Brown,Jake Elliott,Saquon Barkley,Xavier Worthy
Patrick Mahomes,Harrison Butker,Isiah Pacheco,Jake Elliott,Saquon Barkley,Xavier Worthy
Saquon Barkley,Chiefs,Dallas Goedert,Eagles,Patrick Mahomes,Xavier Worthy
Xavier Worthy,DeAndre Hopkins,Harrison Butker,Kareem Hunt,Patrick Mahomes,Saquon Barkley
Saquon Barkley,A.J. Brown,Eagles,Harrison Butker,Jake Elliott,Xavier Worthy
Kenneth Gainwell,A.J. Brown,Dallas Goedert,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Hollywood Brown,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
Jalen Hurts,DeVonta Smith,Hollywood Brown,Jake Elliott,Kareem Hunt,Patrick Mahomes
Saquon Barkley,Dallas Goedert,Eagles,Noah Gray,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Chiefs,DeVonta Smith,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Saquon Barkley,DeVonta Smith,Harrison Butker,Jahan Dotson,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Chiefs,Harrison Butker,Jake Elliott,Patrick Mahomes,Xavier Worthy
Harrison Butker,A.J. Brown,Chiefs,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeVonta Smith,Hollywood Brown,Kareem Hunt,Xavier Worthy
Jalen Hurts,Chiefs,Samaje Perine,Saquon Barkley,Travis Kelce,Xavier Worthy
A.J. Brown,Chiefs,Jahan Dotson,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Jalen Hurts,Jake Elliott,Kareem Hunt,Patrick Mahomes,Samaje Perine,Saquon Barkley
Jalen Hurts,Dallas Goedert,DeVonta Smith,Harrison Butker,Kareem Hunt,Xavier Worthy
Saquon Barkley,Chiefs,DeAndre Hopkins,Harrison Butker,Jalen Hurts,Xavier Worthy
Jalen Hurts,A.J. Brown,Chiefs,Eagles,Kareem Hunt,Patrick Mahomes
Patrick Mahomes,Dallas Goedert,Johnny Wilson,Saquon Barkley,Travis Kelce,Xavier Worthy
Jalen Hurts,A.J. Brown,Chiefs,Harrison Butker,Jake Elliott,Patrick Mahomes
Jalen Hurts,DeAndre Hopkins,Jahan Dotson,Kareem Hunt,Patrick Mahomes,Saquon Barkley
Jalen Hurts,A.J. Brown,Jahan Dotson,Patrick Mahomes,Samaje Perine,Saquon Barkley
Jalen Hurts,DeVonta Smith,Grant Calcaterra,Kenneth Gainwell,Patrick Mahomes,Saquon Barkley
Saquon Barkley,Dallas Goedert,Eagles,Jalen Hurts,Patrick Mahomes,Samaje Perine
Saquon Barkley,A.J. Brown,Chiefs,Isiah Pacheco,Jake Elliott,Xavier Worthy
A.J. Brown,Dallas Goedert,DeVonta Smith,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Jalen Hurts,A.J. Brown,Chiefs,DeAndre Hopkins,Kareem Hunt,Patrick Mahomes
Patrick Mahomes,Chiefs,Harrison Butker,Hollywood Brown,Saquon Barkley,Xavier Worthy
Saquon Barkley,Dallas Goedert,Jalen Hurts,Kareem Hunt,Samaje Perine,Xavier Worthy
Saquon Barkley,A.J. Brown,Chiefs,Harrison Butker,Jake Elliott,Xavier Worthy
Patrick Mahomes,Chiefs,Harrison Butker,Isiah Pacheco,Saquon Barkley,Xavier Worthy
Saquon Barkley,Chiefs,Eagles,Jake Elliott,Patrick Mahomes,Travis Kelce
Saquon Barkley,A.J. Brown,Jahan Dotson,Jalen Hurts,Johnny Wilson,Patrick Mahomes
Saquon Barkley,Chiefs,Dallas Goedert,Jake Elliott,Travis Kelce,Xavier Worthy
Saquon Barkley,Dallas Goedert,Hollywood Brown,Noah Gray,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Dallas Goedert,Hollywood Brown,Patrick Mahomes,Samaje Perine,Xavier Worthy
Jalen Hurts,Chiefs,Dallas Goedert,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley
Saquon Barkley,Dallas Goedert,Kareem Hunt,Patrick Mahomes,Samaje Perine,Xavier Worthy
Travis Kelce,Grant Calcaterra,Hollywood Brown,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeVonta Smith,Jake Elliott,Kareem Hunt,Travis Kelce
A.J. Brown,Dallas Goedert,Harrison Butker,Jalen Hurts,Kareem Hunt,Xavier Worthy
Saquon Barkley,Hollywood Brown,Kareem Hunt,Patrick Mahomes,Samaje Perine,Xavier Worthy
Saquon Barkley,Harrison Butker,JuJu Smith-Schuster,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Chiefs,Dallas Goedert,DeVonta Smith,Jake Elliott,Patrick Mahomes
Saquon Barkley,Chiefs,DeAndre Hopkins,Eagles,Jalen Hurts,Travis Kelce
Saquon Barkley,Eagles,Harrison Butker,Jake Elliott,Jalen Hurts,Kareem Hunt
