CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Eagles,DeVonta Smith,Jake Elliott,Jalen Hurts,Saquon Barkley,Xavier Worthy
Jalen Hurts,Dallas Goedert,DeAndre Hopkins,Jake Elliott,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Dallas Goedert,Eagles,Jake Elliott,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Jake Elliott,Jalen Hurts,Kenneth Gainwell,Patrick Mahomes,Travis Kelce
Xavier Worthy,Eagles,Hollywood Brown,Jake Elliott,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Eagles,Harrison Butker,Jake Elliott,Jalen Hurts,Saquon Barkley
Jalen Hurts,Eagles,JuJu Smith-Schuster,Patrick Mahomes,Travis Kelce,Xavier Worthy
Xavier Worthy,DeVonta Smith,Jake Elliott,Kenneth Gainwell,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,Jake Elliott,Jalen Hurts,Samaje Perine,Travis Kelce,Xavier Worthy
Xavier Worthy,Hollywood Brown,Jahan Dotson,Jalen Hurts,Patrick Mahomes,Travis Kelce
Dallas Goedert,Eagles,Jake Elliott,Jalen Hurts,Saquon Barkley,Xavier Worthy
Xavier Worthy,Chiefs,Dallas Goedert,Jake Elliott,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Chiefs,Hollywood Brown,Jake Elliott,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Chiefs,Jalen Hurts,Noah Gray,Patrick Mahomes,Travis Kelce
Xavier Worthy,Isiah Pacheco,Jalen Hurts,Kenneth Gainwell,Patrick Mahomes,Travis Kelce
Jalen Hurts,DeAndre Hopkins,Harrison Butker,Hollywood Brown,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Dallas Goedert,Jahan Dotson,Jake Elliott,Jalen Hurts,Xavier Worthy
Xavier Worthy,Dallas Goedert,DeVonta Smith,Patrick Mahomes,Samaje Perine,Saquon Barkley
Saquon Barkley,Dallas Goedert,DeVonta Smith,Eagles,Jake Elliott,Xavier Worthy
Xavier Worthy,Eagles,Harrison Butker,Hollywood Brown,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Chiefs,Harrison Butker,Hollywood Brown,Jalen Hurts,Patrick Mahomes
Patrick Mahomes,Grant Calcaterra,Hollywood Brown,Jalen Hurts,Travis Kelce,Xavier Worthy
Xavier Worthy,A.J. Brown,Chiefs,Patrick Mahomes,Samaje Perine,Saquon Barkley
Xavier Worthy,Chiefs,Dallas Goedert,DeVonta Smith,Patrick Mahomes,Travis Kelce
Samaje Perine,A.J. Brown,Jalen Hurts,Patrick Mahomes,Travis Kelce,Xavier Worthy
Saquon Barkley,Hollywood Brown,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
