CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Xavier Worthy,DeVonta Smith,Hollywood Brown,Jake Elliott,Jalen Hurts,Patrick Mahomes
Xavier Worthy,DeVonta Smith,Eagles,Hollywood Brown,Jalen Hurts,Patrick Mahomes
Xavier Worthy,A.J. Brown,Jake Elliott,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Xavier Worthy,Eagles,Jalen Hurts,Patrick Mahomes,Samaje Perine,Saquon Barkley
Xavier Worthy,Jahan Dotson,Jake Elliott,Jalen Hurts,Patrick Mahomes,Travis Kelce
Xavier Worthy,A.J. Brown,Eagles,Jalen Hurts,Noah Gray,Patrick Mahomes
Xavier Worthy,Eagles,Jahan Dotson,Jalen Hurts,Patrick Mahomes,Travis Kelce
Xavier Worthy,Eagles,Hollywood Brown,Jake Elliott,Jalen Hurts,Saquon Barkley
Xavier Worthy,Chiefs,Eagles,Jalen Hurts,Patrick Mahomes,Travis Kelce
Xavier Worthy,Dallas Goedert,Hollywood Brown,Jake Elliott,Jalen Hurts,Patrick Mahomes
Xavier Worthy,Eagles,Hollywood Brown,Jake Elliott,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Dallas Goedert,Jake Elliott,Jalen Hurts,Kareem Hunt,Patrick Mahomes
Xavier Worthy,Dallas Goedert,Eagles,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Xavier Worthy,Dallas Goedert,Eagles,Hollywood Brown,Jalen Hurts,Patrick Mahomes
Dallas Goedert,DeVonta Smith,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Chiefs,DeVonta Smith,Hollywood Brown,Jalen Hurts,Patrick Mahomes
Xavier Worthy,Dallas Goedert,Eagles,Jake Elliott,Patrick Mahomes,Travis Kelce
JuJu Smith-Schuster,Eagles,Jalen Hurts,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Travis Kelce,Jahan Dotson,Jake Elliott,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Chiefs,Jahan Dotson,Jalen Hurts,Patrick Mahomes,Travis Kelce
Xavier Worthy,A.J. Brown,Harrison Butker,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Xavier Worthy,Chiefs,DeVonta Smith,Eagles,Patrick Mahomes,Travis Kelce
Travis Kelce,Eagles,Jahan Dotson,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Chiefs,Hollywood Brown,Jake Elliott,Jalen Hurts,Saquon Barkley
Xavier Worthy,Harrison Butker,Jahan Dotson,Jalen Hurts,Patrick Mahomes,Travis Kelce
Xavier Worthy,Harrison Butker,Hollywood Brown,Jake Elliott,Jalen Hurts,Saquon Barkley
Xavier Worthy,Chiefs,Hollywood Brown,Jake Elliott,Patrick Mahomes,Saquon Barkley
Xavier Worthy,Chiefs,Jalen Hurts,Kenneth Gainwell,Patrick Mahomes,Travis Kelce
Travis Kelce,Eagles,Jalen Hurts,Kenneth Gainwell,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Chiefs,Dallas Goedert,Hollywood Brown,Jalen Hurts,Patrick Mahomes
Xavier Worthy,Chiefs,Eagles,Hollywood Brown,Patrick Mahomes,Saquon Barkley
