CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Xavier Worthy,DeAndre Hopkins,Jalen Hurts,Patrick Mahomes,Samaje Perine,Saquon Barkley
Xavier Worthy,Eagles,Hollywood Brown,Jake Elliott,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,Jake Elliott,Jalen Hurts,Noah Gray,Travis Kelce,Xavier Worthy
Patrick Mahomes,DeAndre Hopkins,Jalen Hurts,Peyton Hendershot,Saquon Barkley,Xavier Worthy
Xavier Worthy,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Travis Kelce
JuJu Smith-Schuster,A.J. Brown,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,DeAndre Hopkins,Hollywood Brown,Jake Elliott,Saquon Barkley,Xavier Worthy
Xavier Worthy,Jake Elliott,Patrick Mahomes,Samaje Perine,Saquon Barkley,Travis Kelce
Xavier Worthy,Eagles,Noah Gray,Patrick Mahomes,Saquon Barkley,Travis Kelce
Patrick Mahomes,DeAndre Hopkins,Eagles,Hollywood Brown,Saquon Barkley,Xavier Worthy
Saquon Barkley,Eagles,Harrison Butker,Jake Elliott,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,A.J. Brown,Dallas Goedert,Jalen Hurts,Samaje Perine,Xavier Worthy
Dallas Goedert,A.J. Brown,DeVonta Smith,Jake Elliott,Jalen Hurts,Xavier Worthy
Patrick Mahomes,DeAndre Hopkins,Harrison Butker,Jake Elliott,Saquon Barkley,Xavier Worthy
Patrick Mahomes,Jalen Hurts,Noah Gray,Samaje Perine,Saquon Barkley,Xavier Worthy
Patrick Mahomes,DeAndre Hopkins,Eagles,Noah Gray,Saquon Barkley,Xavier Worthy
DeAndre Hopkins,Eagles,Patrick Mahomes,Saquon Barkley,Travis Kelce,Xavier Worthy
Xavier Worthy,Harrison Butker,Hollywood Brown,Jake Elliott,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,Jake Elliott,Samaje Perine,Saquon Barkley,Travis Kelce,Xavier Worthy
Patrick Mahomes,Hollywood Brown,Jalen Hurts,JuJu Smith-Schuster,Travis Kelce,Xavier Worthy
Saquon Barkley,DeAndre Hopkins,Eagles,Hollywood Brown,Patrick Mahomes,Xavier Worthy
Saquon Barkley,DeAndre Hopkins,Jake Elliott,Noah Gray,Patrick Mahomes,Xavier Worthy
Dallas Goedert,DeVonta Smith,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Dallas Goedert,A.J. Brown,Jahan Dotson,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Jake Elliott,Noah Gray,Patrick Mahomes,Saquon Barkley,Travis Kelce,Xavier Worthy
Patrick Mahomes,DeAndre Hopkins,Jahan Dotson,Saquon Barkley,Travis Kelce,Xavier Worthy
A.J. Brown,Dallas Goedert,Jalen Hurts,Patrick Mahomes,Samaje Perine,Xavier Worthy
Dallas Goedert,Jalen Hurts,Justin Watson,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Patrick Mahomes,Hollywood Brown,Jake Elliott,Noah Gray,Saquon Barkley,Xavier Worthy
Dallas Goedert,DeVonta Smith,Harrison Butker,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Jalen Hurts,Dallas Goedert,Harrison Butker,Hollywood Brown,Patrick Mahomes,Xavier Worthy
Saquon Barkley,Jake Elliott,Patrick Mahomes,Peyton Hendershot,Travis Kelce,Xavier Worthy
Saquon Barkley,Eagles,Justin Watson,Patrick Mahomes,Travis Kelce,Xavier Worthy
Dallas Goedert,A.J. Brown,Jalen Hurts,Noah Gray,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,DeAndre Hopkins,Justin Watson,Saquon Barkley,Travis Kelce,Xavier Worthy
Noah Gray,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Travis Kelce,Eagles,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Xavier Worthy
Patrick Mahomes,DeAndre Hopkins,Samaje Perine,Saquon Barkley,Travis Kelce,Xavier Worthy
