CPT,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5
Xavier Worthy,DeVonta Smith,Hollywood Brown,Jake Elliott,Jalen Hurts,Patrick Mahomes
Jalen Hurts,A.J. Brown,DeVonta Smith,Eagles,Jake Elliott,Xavier Worthy
Xavier Worthy,A.J. Brown,DeVonta Smith,Jalen Hurts,Justin Watson,Patrick Mahomes
Xavier Worthy,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Samaje Perine,Travis Kelce
Xavier Worthy,Chiefs,Dallas Goedert,DeVonta Smith,Jalen Hurts,Patrick Mahomes
A.J. Brown,Jake Elliott,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Xavier Worthy
Xavier Worthy,A.J. Brown,Dallas Goedert,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Xavier Worthy,A.J. Brown,Hollywood Brown,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes
Xavier Worthy,Hollywood Brown,Jalen Hurts,Nikko Remigio,Patrick Mahomes,Saquon Barkley
Xavier Worthy,DeVonta Smith,Harrison Butker,Isiah Pacheco,Jalen Hurts,Patrick Mahomes
Xavier Worthy,Jake Elliott,JuJu Smith-Schuster,Patrick Mahomes,Saquon Barkley,Travis Kelce
Saquon Barkley,DeVonta Smith,Eagles,Jalen Hurts,JuJu Smith-Schuster,Xavier Worthy
Xavier Worthy,Dallas Goedert,Hollywood Brown,Jake Elliott,Patrick Mahomes,Saquon Barkley
DeVonta Smith,Jalen Hurts,Patrick Mahomes,Samaje Perine,Travis Kelce,Xavier Worthy
Xavier Worthy,A.J. Brown,Harrison Butker,Jalen Hurts,Noah Gray,Patrick Mahomes
Xavier Worthy,Dallas Goedert,Jalen Hurts,Noah Gray,Patrick Mahomes,Travis Kelce
Saquon Barkley,Eagles,Harrison Butker,Jake Elliott,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,A.J. Brown,Dallas Goedert,Jalen Hurts,Samaje Perine,Xavier Worthy
DeVonta Smith,Chiefs,Jalen Hurts,Kareem Hunt,Patrick Mahomes,Xavier Worthy
Patrick Mahomes,A.J. Brown,Hollywood Brown,Jalen Hurts,Samaje Perine,Xavier Worthy
Xavier Worthy,Dallas Goedert,Hollywood Brown,Jalen Hurts,Kareem Hunt,Patrick Mahomes
Xavier Worthy,Dallas Goedert,DeVonta Smith,Noah Gray,Patrick Mahomes,Saquon Barkley
Patrick Mahomes,Jake Elliott,Samaje Perine,Saquon Barkley,Travis Kelce,Xavier Worthy
Saquon Barkley,Jalen Hurts,JuJu Smith-Schuster,Patrick Mahomes,Samaje Perine,Xavier Worthy
Patrick Mahomes,Hollywood Brown,Jalen Hurts,JuJu Smith-Schuster,Travis Kelce,Xavier Worthy
Dallas Goedert,DeVonta Smith,Hollywood Brown,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Hollywood Brown,Dallas Goedert,DeVonta Smith,Jalen Hurts,Patrick Mahomes,Xavier Worthy
Xavier Worthy,Dallas Goedert,Harrison Butker,Jalen Hurts,Kareem Hunt,Patrick Mahomes
